"","gene","baseMean","log2FC","stderror","padj"
"1","GWK60_H10021",420.266162690175,-3.11620944303375,0.274024853713578,3.50885653013716e-28
"2","GWK60_L14135",353.642182289869,-3.02790752271353,0.317741969765557,3.74461748035323e-20
"3","GWK60_J05181",336.663228899195,-2.97479177580886,0.838682701192657,0.00107627720817003
"4","GWK60_G09119",244140.017913343,-2.88701600950436,0.461851950929836,2.67569568102172e-09
"5","GWK60_H08679",105.099749349182,-2.84970373707745,0.440769757660878,7.05582184370979e-10
"6","GWK60_E02035",4668.67583789315,-2.82525889568861,0.183049365399284,2.39456612216571e-51
"7","GWK60_F05313",181.748341991093,-2.7846079312093,0.363214591216375,1.9263840489886e-13
"8","GWK60_L17083",336.354140597035,-2.7687252211577,0.242647947381035,2.31015160158296e-28
"9","GWK60_D04367",17.4495142700608,-2.67516133125522,0.746981735186486,0.000957773629893142
"10","GWK60_J00935",340.463317773586,-2.65391645702195,0.248652636514963,5.47081716262215e-25
"11","GWK60_J06193",13633.1429332537,-2.62029451676203,0.22086445746107,1.44706642338792e-30
"12","GWK60_B00627",418.780958858774,-2.61577171882205,0.271489524702453,1.41948424800119e-20
"13","GWK60_H09801",13672.7630276619,-2.43616961873095,0.503086962817218,5.39177029451659e-06
"14","GWK60_K02981",31914.949063568,-2.3952112401172,0.228413702547837,3.70754025846779e-24
"15","GWK60_L14861",3304.80522803842,-2.31640217225257,0.172070597048844,3.80898497802134e-39
"16","GWK60_H06039",2446.58705659013,-2.30320146592351,0.426348343474164,3.31370631019569e-07
"17","GWK60_I01705",496.817624340578,-2.2960161557399,0.645284769116561,0.00103758909301115
"18","GWK60_F00869",208.526838260146,-2.28406259818093,0.337915290309082,1.07218382082867e-10
"19","GWK60_M10153",2714.80719339507,-2.26254434826563,0.18228037154894,1.98471910238368e-33
"20","GWK60_G00209",587.460978112861,-2.25805416083152,0.296729313799442,2.88496243158632e-13
"21","GWK60_G03773",130.258616038535,-2.24615065432201,0.316417046295307,1.09309057421738e-11
"22","GWK60_G08833",1259.19871146707,-2.22842151474314,0.164691249273978,1.53658227969586e-39
"23","GWK60_L09427",35.5336764363854,-2.16131039921893,0.555678322889767,0.000308545819638427
"24","GWK60_J00957",2040.2084612728,-2.12815277228726,0.198657498690141,3.68712654988486e-25
"25","GWK60_L05423",3176.73525767187,-2.12748308427241,0.191741750939113,6.38859142197302e-27
"26","GWK60_E02145",1108.29311762684,-2.10013237216124,0.199553214588036,2.53532292025487e-24
"27","GWK60_L10241",3470.33129883555,-2.08226878314887,0.178931020961454,1.93660713956087e-29
"28","GWK60_G00385",1165.75027340641,-2.06507813413537,0.225661763840546,1.14213782707849e-18
"29","GWK60_C01903",180.703110536398,-2.06230193024964,0.349176040955553,2.05658413739637e-08
"30","GWK60_M13453",3241.00313813087,-2.04815748729834,0.163035212569639,3.16571993312691e-34
"31","GWK60_C01243",2770.25958370638,-2.0365841741788,0.159188746146623,2.07793524248678e-35
"32","GWK60_M06611",9319.13233349364,-2.02990684632627,0.159664916166535,5.42252685156591e-35
"33","GWK60_G02299",248.684523972748,-2.02901819802412,0.230827200235357,2.56660176686596e-17
"34","GWK60_L10351",53421.6050561463,-2.00981388821277,0.167285437050839,2.52385470350976e-31
"35","GWK60_L15631",2025.69171444706,-2.00211269021035,0.198477728409663,1.90143573744793e-22
"36","GWK60_K07183",1102.4378194785,-1.99832462963589,0.228310637566013,3.50708103879805e-17
"37","GWK60_K08173",1941.96900797375,-1.99375897479464,0.219487843375703,2.05747832240119e-18
"38","GWK60_K09075",2322.20253718938,-1.99009401973225,0.185914651163563,3.9712196654135e-25
"39","GWK60_J00319",204.880938684467,-1.98240670072432,0.419414353158849,9.20598609255231e-06
"40","GWK60_E05137",2716.58703374564,-1.97933922174465,0.156056580876173,7.64419179168404e-35
"41","GWK60_M03399",23.2406677759089,-1.9785704577045,0.606281011269495,0.00276159688350103
"42","GWK60_I05357",707.866484964587,-1.97240099172719,0.241989245358261,4.67293785778906e-15
"43","GWK60_D04565",28.1579747979929,-1.95534270998471,0.582316550498719,0.00203720922611916
"44","GWK60_F00847",2101.81557236125,-1.9540433108179,0.171853694481977,3.53297800582782e-28
"45","GWK60_E05159",4919.59436114803,-1.94530814700535,0.16524775675803,4.1851800395933e-30
"46","GWK60_H03179",3535.94128828942,-1.94496530884514,0.16375383573563,1.24946314986743e-30
"47","GWK60_E01771",46445.0640863113,-1.94322387307567,0.190100357294446,5.00850520716538e-23
"48","GWK60_J00363",2253.47628921421,-1.94024318234574,0.172035100395922,9.78092825163587e-28
"49","GWK60_L08921",2153.29760867936,-1.92536590732448,0.15197583321375,9.0254934274049e-35
"50","GWK60_D05401",48002.2777043247,-1.91613653268082,0.184719440163432,1.1156294418731e-23
"51","GWK60_F00275",8382.23333172733,-1.91446143612753,0.144562559929008,6.63529290121476e-38
"52","GWK60_L07557",1167.70486384481,-1.91234653706857,0.173571304192106,1.48146091368434e-26
"53","GWK60_D05071",3369.83046101777,-1.90954923468211,0.169838408323557,1.36181959676331e-27
"54","GWK60_D00957",24.2461695442214,-1.8882586794167,0.688266866401197,0.013055671399873
"55","GWK60_G05555",2229.07353871754,-1.88678905549349,0.134128405499528,1.05648308776001e-42
"56","GWK60_E00297",2108.16537635214,-1.88230228024985,0.16726929490878,1.24463091380826e-27
"57","GWK60_A03113",49660.1639225066,-1.8800970225198,0.209825020646092,6.05218249386973e-18
"58","GWK60_H00517",11851.7310152976,-1.86887238244995,0.54099330710766,0.00147437964629507
"59","GWK60_K06083",5192.6410106475,-1.86011337002801,0.14795015426352,2.84402561717479e-34
"60","GWK60_L12353",5926.8656414702,-1.85148096776224,0.176328498265437,3.22323121776559e-24
"61","GWK60_C01353",3161.09781662398,-1.83916263544986,0.114861709562489,2.75865158764472e-55
"62","GWK60_G00143",4272.37612327014,-1.83275204348857,0.160032694053589,1.49711415771782e-28
"63","GWK60_H02739",2828.07709537002,-1.83158239568241,0.187635627992361,4.37403646423894e-21
"64","GWK60_I05291",10952.0486791596,-1.82257755946005,0.15597991274519,1.1251488989019e-29
"65","GWK60_K01705",6752.78555818506,-1.82058106117049,0.156558115427436,2.081202706196e-29
"66","GWK60_J02629",4377.1296248866,-1.81590116660186,0.162341657300495,2.48350579955636e-27
"67","GWK60_F07139",255143.281568417,-1.80905536027248,0.11925298642733,1.22051911616087e-49
"68","GWK60_J10857",3548.53352414968,-1.80704910383316,0.177073296497623,5.8967030556231e-23
"69","GWK60_B03993",3775.1617884766,-1.80106523560952,0.160626602965542,1.86662646710167e-27
"70","GWK60_H01837",12575.3120551014,-1.80002233593455,0.164493542280605,3.24559840734475e-26
"71","GWK60_L07205",184.504876074764,-1.79561381675495,0.256809099568965,2.25187101934586e-11
"72","GWK60_I01463",2783.61583758752,-1.79500197707626,0.161707340506221,6.23126890554415e-27
"73","GWK60_A03267",29957.6365340253,-1.79197534459859,0.222131041900004,9.09365660195574e-15
