"","gene","baseMean","log2FC","stderror","padj"
"1","GWK60_H08679",135.402275620833,-3.33543030431308,0.424208523629355,1.40654683680949e-13
"2","GWK60_H10021",586.569574721859,-2.94866494427862,0.303107903102235,1.84252851576052e-20
"3","GWK60_E02035",6386.44864198539,-2.88055955262258,0.26381124308277,1.06388863472499e-25
"4","GWK60_J05181",467.962058905361,-2.82657130002692,0.781652192885138,0.00112513148431812
"5","GWK60_G03773",177.645164593871,-2.30559204253702,0.30927485788177,2.88937856146338e-12
"6","GWK60_J06193",19422.7649609,-2.2910403172401,0.349271894130083,1.00577518673535e-09
"7","GWK60_G00209",803.745389698434,-2.27762461319825,0.687110457963164,0.0029945491737265
"8","GWK60_M03399",30.9589007120677,-2.2452409803449,0.484022217778111,2.00540911071335e-05
"9","GWK60_G08833",1737.06013444785,-2.21043798582097,0.158452932820174,7.1469356011694e-42
"10","GWK60_L14135",531.681067629093,-2.18964325212739,0.242115471498151,1.02859451443987e-17
"11","GWK60_I05357",936.523397005849,-2.17412755711859,0.170876160480491,7.64692249598218e-35
"12","GWK60_G09119",362918.354355231,-2.14078354324378,0.869790116572631,0.0317406113542024
"13","GWK60_K02981",45689.9044577499,-2.06714449555859,0.590886747079826,0.00166555512773689
"14","GWK60_C01001",63.7834994221743,-2.06456446613665,0.414493871820917,4.3351645336729e-06
"15","GWK60_L05687",10.7032873915614,-2.06314914231685,0.873330686590279,0.0400996111159294
"16","GWK60_L05423",4410.4317888124,-2.04578358456381,0.117495507048909,2.93916268680526e-65
"17","GWK60_B00627",614.786913071959,-2.04558921254992,0.277337533505121,4.99977656187759e-12
"18","GWK60_L17083",502.388441570061,-2.02168709257167,0.419202810547813,8.96637742620412e-06
"19","GWK60_K11649",21.5725732886991,-2.01814849606931,0.728479869431024,0.0145160085142384
"20","GWK60_K07183",1515.78879324165,-2.00687817763366,0.338817685490295,3.87972894731061e-08
"21","GWK60_K06083",7020.98001052132,-1.97684340584586,0.23468255389577,1.89392407546284e-15
"22","GWK60_H06039",3523.65226707256,-1.94934072545898,0.703228367504634,0.0144505757354904
"23","GWK60_C01353",4291.66023840318,-1.91449191886752,0.151626749784126,2.55171798320425e-34
"24","GWK60_L14861",4790.30969721823,-1.89846344046653,0.262777244197213,1.3628393392422e-11
"25","GWK60_M03179",2443.06117555106,-1.89557368378853,0.334791435143847,1.54195910672926e-07
"26","GWK60_C01903",255.691451765008,-1.87837815163461,0.291728361071244,2.0598754412713e-09
"27","GWK60_L07205",251.667533958113,-1.86374405427302,0.232842251724896,5.07056210701918e-14
"28","GWK60_M02409",955.726019175233,-1.85602439030699,0.723305872299196,0.0247664028180324
"29","GWK60_M10153",3953.01187730275,-1.83942519684447,0.267019389673122,1.21247014534585e-10
"30","GWK60_F01221",228815.008141401,-1.78071495510267,0.210953067040258,1.66218045074409e-15
"31","GWK60_L10241",5028.68289477362,-1.72096254415629,0.248804372964661,1.01498810003145e-10
"32","GWK60_K07359",83.3206651808872,-1.71485525567262,0.480241106632554,0.00130928501347341
"33","GWK60_A00121",1283.68030127489,-1.71347795557921,0.264071407612634,1.54670822857426e-09
"34","GWK60_L08921",3058.59398703517,-1.69770990925492,0.271564008057959,6.30977212698364e-09
"35","GWK60_F05313",284.665579689849,-1.69741306405824,0.427209841365794,0.000303415699184164
"36","GWK60_C01815",1488.83883314293,-1.68805749597991,0.204582641695858,7.66895898218631e-15
"37","GWK60_M06611",13504.42219065,-1.68347602934978,0.32736010193628,2.04373906519929e-06
"38","GWK60_L10351",77420.8278458697,-1.66451201359647,0.300959537946401,3.04665631967928e-07
"39","GWK60_G02299",360.596589122892,-1.66146273874923,0.200112731442838,5.07589948411264e-15
"40","GWK60_D05401",68698.3400332413,-1.66097310303153,0.369160563760393,3.63217891319415e-05
"41","GWK60_J00935",532.326964064524,-1.6572445438398,0.260869901645861,3.49178840073393e-09
"42","GWK60_E01771",66792.8740102624,-1.65508052622645,0.351439845714024,1.47749499573358e-05
"43","GWK60_L15631",2939.3470193671,-1.64633650116852,0.265039654894638,7.86261073344014e-09
"44","GWK60_K08173",2820.83836761867,-1.64041948624132,0.3204226582281,2.26412827438851e-06
"45","GWK60_F07139",360608.408648952,-1.64031567667778,0.301596296739564,4.89177285960521e-07
"46","GWK60_J10945",8183.28972491242,-1.62794373638093,0.219626878941204,3.88986439275404e-12
"47","GWK60_M13453",4751.06079706428,-1.62200564836,0.271548458579737,2.98497527234132e-08
"48","GWK60_E05159",7112.1690767912,-1.62196090879007,0.266683724743295,1.64820968896427e-08
"49","GWK60_I02233",2274.64885484083,-1.6203527950403,0.184365998639645,9.42048208497517e-17
"50","GWK60_L07843",120.593253846835,-1.61070754810067,0.379650035051833,0.000104083511576452
"51","GWK60_K00451",306.739566796565,-1.60625074021454,0.195730664497765,1.1042532887006e-14
