"","gene","baseMean","log2FC","stderror","padj"
"1","CAGL0A02233g",7252.66914382164,-9.14560914533587,0.472811148654872,2.98640144502629e-80
"2","CAGL0J11550g",8045.69486943793,-8.02492953406332,0.509976668598735,8.79382607729119e-53
"3","CAGL0C00209g",136.590126412649,-5.70505388779196,0.577410504632433,1.52497822262733e-20
"4","CAGL0M03305g",271.169578479766,-4.78517031033475,0.72649352601147,4.42978480816272e-09
"5","CAGL0K00407g",1811.19259715387,-4.41399160176449,0.293973071840083,3.75139905057914e-48
"6","CAGL0G02937g",35.6399941177316,-4.39372831217747,0.970222603369628,0.000175777832626824
"7","CAGL0H04279g",22.9010611361761,-4.19986005485241,0.961818284422365,0.000326411846702567
"8","CAGL0E05984g",3078.39603767569,-4.15090508560124,0.780293599963989,5.11879282966039e-06
"9","CAGL0K10164g",7451.69254780874,-4.08475322017452,0.68028781453061,1.51253234797595e-07
"10","CAGL0H02563g",2350.15560792528,-4.06807243118169,0.629470781370682,9.57721347496705e-09
"11","CAGL0G01738g",4510.75444839084,-4.06182087222577,0.346182840649649,3.15210713132336e-29
"12","CAGL0H10076g",37.2096267521754,-4.05792861904162,0.773185783412232,7.34600904087443e-06
"13","CAGL0B01232g",1830.98991343706,-3.72134132652397,0.709704291432481,7.47052115076973e-06
"14","CAGL0K08932g",527.576661835167,-3.53010700182077,0.805551010895745,0.000312296949714699
"15","CAGL0I02838g",810.124135811566,-3.50797495002371,0.659065129331355,5.08444397293313e-06
"16","CAGL0C03740g",1012.3870885476,-3.43694211906103,0.361293220965328,4.99810971376082e-19
"17","CAGL0F05137g",71.4254558769523,-3.41927883462381,0.606508643482156,1.07662186799778e-06
"18","CAGL0F08261g",7875.09751634672,-3.29429238856574,0.439387082068847,9.79923191871967e-12
"19","CAGL0K04565g",61.2340175153834,-3.27099116755483,0.939325129883603,0.00707220619612587
"20","CAGL0M03465g",217.78040233183,-3.26442883716761,0.705197768274767,0.000112620237012714
"21","CAGL0F04631g",474.186976377909,-3.20296766593867,0.893715841700068,0.00531785261600481
"22","CAGL0E04466g",16.3908074210909,-3.18317394722338,0.911173524135621,0.00687734530073379
"23","CAGL0L10142g",52.459317587399,-3.18269970136386,0.63066952052056,1.79987139493119e-05
"24","CAGL0G05269g",4117.75503237409,-3.17329484838444,0.487815477561343,7.50129425822472e-09
"25","CAGL0A01826g",2485.18847915828,-3.12126511413809,0.710716524173424,0.000304711820537559
"26","CAGL0L06996g",54.3935045165068,-3.07440632083158,0.828450406738514,0.00348862902331519
"27","CAGL0J04004g",1893.93692063104,-3.0420579999496,0.567396505144667,4.31442290956836e-06
"28","CAGL0K08624g",42.737012402612,-2.995745850442,0.764375710810584,0.00165438409519833
"29","CAGL0B02563g",4941.84945598882,-2.96330130552932,0.507803616594642,3.9796160705765e-07
"30","CAGL0H07469g",199.69985248289,-2.93212877527635,0.460160217538989,1.64764615920591e-08
"31","CAGL0I10384g",3921.57379827692,-2.92386529941895,0.313387666332454,2.71422400249541e-18
"32","CAGL0H03575g",45.8806265038677,-2.91119215110075,0.648657554855674,0.000207709281670249
"33","CAGL0M01276g",148.114645083205,-2.91108749246115,0.731610753356555,0.0013423700029868
"34","CAGL0C03872g",14475.7540439151,-2.83390998845826,0.272473913372703,7.88019457606722e-23
"35","CAGL0K08360g",393.092171480931,-2.79660443496169,0.711076328141581,0.00158583000069267
"36","CAGL0L05434g",13291.0311108964,-2.76322971482354,0.230148923672673,1.40561016490114e-30
"37","CAGL0F07601g",50941.1900311901,-2.75094971479282,0.587919244995878,9.10706005513691e-05
"38","CAGL0F07777g",6380.32671695938,-2.73402278896328,0.36445567705987,9.77868396336804e-12
"39","CAGL0H02695g",1463.50202060891,-2.72862996493135,0.743163787965635,0.00400699803843071
"40","CAGL0G03289g",5967.54993966575,-2.7054224054976,0.683574010991914,0.00145119412652364
"41","CAGL0E02255g",443.370821673618,-2.65802966615172,0.822909243645498,0.0147404955889738
"42","CAGL0L04378g",317.087481485103,-2.65304450520572,0.890332717133961,0.0280782460645955
"43","CAGL0K10428g",119.314473578097,-2.63888189366974,0.478128221866551,1.93778734710743e-06
"44","CAGL0C00847g",1692.71097696974,-2.6384787534756,0.472016802258096,1.35369123775332e-06
"45","CAGL0I10494g",15691.0030457587,-2.6064855372172,0.631117600107184,0.000787329067739222
"46","CAGL0K05687g",2276.01565204,-2.5821867405481,0.326672211464992,5.29767253528946e-13
"47","CAGL0K05247g",945.25760283183,-2.58027025542256,0.59076237748356,0.000326403469505726
"48","CAGL0F04719g",2448.55994663778,-2.54728958337471,0.491385433269991,9.5111173656219e-06
"49","CAGL0D00154g",259.892848171456,-2.51098344094363,0.850280779649665,0.0298877269527431
"50","CAGL0I04180g",949.72262989308,-2.48233225825776,0.574327448021168,0.000391712303648802
"51","CAGL0I05390g",2391.1223405102,-2.47106139659069,0.487785361798871,1.65221777862715e-05
"52","CAGL0I07865g",1385.81883128537,-2.46650920118755,0.361650079992053,1.01243322853265e-09
"53","CAGL0J03080g",7281.72836815607,-2.46112879810164,0.343834417638193,1.10409429882121e-10
"54","CAGL0A01408g",53.7229371178342,-2.45580431155602,0.873947480864647,0.0422115302556249
"55","CAGL0I06336g",260.890475670545,-2.41286298194626,0.529962229921643,0.000159390833596115
"56","CAGL0M13189g",405.393240532356,-2.40710031368279,0.722135699876457,0.0109725513476533
"57","CAGL0E02915g",923.641011844546,-2.40101446979319,0.602734138906039,0.00132205041056781
"58","CAGL0J00451g",7191.76098527601,-2.38834148195208,0.56811385650182,0.000607702001172512
"59","CAGL0B01875g",39.2226845902393,-2.37189887722668,0.828655365897529,0.0373840321164933
"60","CAGL0G05544g",4590.75018542274,-2.35878937666181,0.36306780255439,7.77924358253793e-09
"61","CAGL0K03421g",717.322238878945,-2.35697588638234,0.780361526892491,0.0253014518210411
"62","CAGL0F05203g",121.130008009015,-2.28140778162497,0.45531787530208,2.10525574539062e-05
"63","CAGL0I06204g",6632.30354241781,-2.27469565399634,0.647280180690042,0.00647311866979633
"64","CAGL0M02189g",35.8530621437175,-2.19591736744679,0.705874504918485,0.020278183944834
"65","CAGL0H02123g",87.8722474908696,-2.14290589530556,0.401913578885409,4.92519287557555e-06
"66","CAGL0I06314g",196.054566297518,-2.11744622367425,0.622135503622817,0.00903649587274652
"67","CAGL0J06050g",452.608361282302,-2.1040037798241,0.651592687317831,0.0147590032372465
"68","CAGL0H01144g",67.4127112898425,-2.09552230624706,0.695051150237116,0.0256418552128941
"69","CAGL0H08888g",1642.83912439434,-2.05688407495803,0.420853354385864,3.63341063350797e-05
"70","CAGL0C01771g",1350.0433678528,-2.05339217845545,0.647189043253039,0.0172190951855654
"71","CAGL0A01606g",986.912478580953,-2.05146872145029,0.354111915307775,4.7767693350429e-07
"72","CAGL0J06028g",2299.94686226881,-2.04364661551612,0.699352110725151,0.0323030514791916
"73","CAGL0H02387g",6235.64055585881,-2.04314305767396,0.475396991131283,0.00042889960281218
"74","CAGL0K05137g",1225.64866901561,-2.03381789545002,0.530737005798655,0.00222856345104289
"75","CAGL0F05071g",1207.08241823405,-1.99328194341592,0.2751934497856,6.06507927222508e-11
"76","CAGL0M08514g",5857.51828080693,-1.94992505686018,0.512675953313302,0.00247732505383981
"77","CAGL0D00748g",11775.7416396895,-1.938234232104,0.404093601404509,5.36918251484353e-05
"78","CAGL0J08294g",761.961536323014,-1.93577436433753,0.369960388958796,7.65495249964361e-06
"79","CAGL0B03465g",1005.26511944891,-1.9281152440115,0.354604242780677,2.94577977847867e-06
"80","CAGL0C03223g",2933.03741443614,-1.91819012439259,0.340475438018942,1.08727206837938e-06
"81","CAGL0D00462g",632.189373194314,-1.91546035590061,0.526258388325102,0.00445037631656005
"82","CAGL0C04191g",8166.02785570409,-1.9105755687684,0.289788761485472,4.32818860138806e-09
"83","CAGL0H10362g",5295.72593730216,-1.89676159597367,0.315821429998793,1.51253234797595e-07
"84","CAGL0L04686g",311.715418998056,-1.87929181271801,0.654265511651489,0.0366023265590615
"85","CAGL0M10219g",309.405057792748,-1.84803851812409,0.397025585183352,0.000100693998987449
"86","CAGL0D06512g",1166.75761494739,-1.81817092627998,0.258350961595144,2.50388848239235e-10
"87","CAGL0J01331g",4864.10826765831,-1.81724564694328,0.268926053590272,1.53055668534878e-09
"88","CAGL0I00550g",224.620567669012,-1.81724350808143,0.37309770209611,3.9006870545862e-05
"89","CAGL0B02431g",2476.32247004348,-1.81509781013315,0.359349150848587,1.77154910691246e-05
"90","CAGL0G08624g",9217.92996761961,-1.81312638128124,0.339269967740808,4.69774247663564e-06
"91","CAGL0A00341g",640.97367749955,-1.77392899750571,0.395339266668248,0.000207709281670249
"92","CAGL0E02321g",1619.71289793065,-1.77001309089032,0.534603024379003,0.0116727371997407
"93","CAGL0H07117g",1429.51423826667,-1.76910373242646,0.321344957508395,2.07382722052812e-06
"94","CAGL0J04202g",66291.9695874132,-1.76587775969683,0.365017575707536,4.54287592888562e-05
"95","CAGL0K03883g",144.817688263245,-1.76101166375817,0.604661925751507,0.0329985435339502
"96","CAGL0F07579g",10244.5486360585,-1.74184068664175,0.503491029704044,0.00761292251209732
"97","CAGL0I05896g",1982.44281390357,-1.73630984992703,0.547359026348716,0.0172190951855654
"98","CAGL0L09603g",438.585745396563,-1.7235544383862,0.368920996560687,9.3766469856167e-05
"99","CAGL0A01474g",758.949655904268,-1.7220585832118,0.619262975821087,0.0448578659502287
"100","CAGL0H03971g",1814.00021749086,-1.7198339857441,0.351335094898284,3.56987098929233e-05
"101","CAGL0L01551g",565.11432560437,-1.70108209724904,0.292628214048695,4.36139256084389e-07
"102","CAGL0F06875g",12554.0579986671,-1.69257679761984,0.393136332777996,0.000418582219609421
"103","CAGL0H04543g",2651.04235934079,-1.6774765295465,0.249109199589484,1.72624006879892e-09
"104","CAGL0L02013g",7362.35907039461,-1.67527100148355,0.406989365144389,0.000825107491269242
"105","CAGL0M10285g",188.458981157118,-1.67005345127717,0.371274903984461,0.000199441169710873
"106","CAGL0H02491g",3929.68837051136,-1.66904550260951,0.407622608925629,0.000894957955146928
"107","CAGL0M05533g",9793.87966949412,-1.65943522890111,0.333179698699042,2.38680106217597e-05
"108","CAGL0L07766g",388.290292822165,-1.65389679867764,0.55336739130323,0.0273727306980387
"109","CAGL0L06248g",5705.47320274666,-1.64958592114338,0.577825940818405,0.0378900867283313
"110","CAGL0F02717g",3048.28955260685,-1.64176731535941,0.316567477435893,9.47749954023798e-06
