	Geneid	BG2_RPMI_DMSO_A	BG2_RPMI_VORI_A	BG2_RPMI_FLUC_A	BG2_RPMI_DMSO_B	BG2_RPMI_VORI_B	BG2_RPMI_FLUC_B	BG2_RPMI_DMSO_C	BG2_RPMI_VORI_C	BG2_RPMI_FLUC_C
0	GWK60_A00011	1	1	1	1	1	3	1	1	1
1	GWK60_A00033	100	169	93	116	194	17	123	19	26
2	GWK60_A00055	1490	2411	1982	1417	2422	304	1838	223	394
3	GWK60_A00077	4781	8038	6834	5852	7534	1569	5704	1015	1236
4	GWK60_A00099	14463	20284	15228	15459	18965	2859	17357	1804	2528
5	GWK60_A00121	2371	1412	816	2188	979	136	3000	63	146
6	GWK60_A00143	5403	8274	5540	4938	6905	984	5687	608	1004
7	GWK60_A00165	7842	9534	7975	6790	9143	939	7669	719	1147
8	GWK60_A00187	3945	5393	4339	4274	4896	771	4402	545	625
9	GWK60_A00209	2940	4799	4313	3204	4905	793	3374	467	649
10	GWK60_A00231	1354	4167	3293	1426	3368	410	2012	252	554
11	GWK60_A00253	12898	24534	18006	13471	30003	2870	16516	1635	2354
12	GWK60_A00275	1486	1560	1476	1334	1612	258	928	274	282
13	GWK60_A00297	13522	26993	22789	13801	28461	3530	16586	2638	3376
14	GWK60_A00319	9070	20620	11603	7382	14323	1480	10377	456	1113
15	GWK60_A00341	6823	16893	15556	6194	20183	3219	6772	2227	2312
16	GWK60_A00363	6295	5922	4202	5197	6281	691	5784	440	636
17	GWK60_A00385	13513	7148	4569	12152	5260	910	13447	602	740
18	GWK60_A00407	15782	36596	29560	16343	36387	6190	19050	5092	5560
19	GWK60_A00429	1605	2655	2210	1763	2327	226	2128	160	229
20	GWK60_A00451	541	1147	1166	631	1145	204	664	152	160
21	GWK60_A00473	2244	3022	2438	2252	3065	440	2368	315	436
22	GWK60_A00495	2633	3986	3529	2993	3744	634	3095	475	535
23	GWK60_A00517	3947	2936	2658	3449	3120	405	4042	267	416
24	GWK60_A00539	96	123	157	111	133	25	114	17	2
25	GWK60_A00583	7	20	29	11	1	3	27	5	7
26	GWK60_A00605	435	805	739	535	770	101	583	126	107
27	GWK60_A00627	1	1	1	1	1	1	1	1	1
28	GWK60_A00649	53	123	67	50	63	11	68	3	13
29	GWK60_A00671	4571	9371	7359	4312	9024	1479	4754	988	1103
30	GWK60_A00693	3923	6181	5013	3837	6004	930	4859	630	825
31	GWK60_A00715	5313	6954	6288	5843	7406	1035	6410	982	929
32	GWK60_A00737	1996	1184	938	1635	1477	199	1863	100	220
33	GWK60_A00759	329	314	397	259	459	34	289	27	65
34	GWK60_A00781	4977	8021	6845	4653	8211	1191	5936	994	1142
35	GWK60_A00803	1949	2484	2173	2251	2820	355	2580	259	423
36	GWK60_A00825	94	98	51	22	72	6	46	17	17
37	GWK60_A00847	1668	3978	3630	1957	4033	606	2255	447	525
38	GWK60_A00869	293550	173135	143249	255041	191769	32743	226668	27680	22798
39	GWK60_A00891	3301	4059	3928	4406	5440	966	4535	611	673
40	GWK60_A00913	1401	1191	861	1577	1320	131	1582	128	161
41	GWK60_A00935	46372	81137	58230	46221	68757	13268	48379	11141	10295
42	GWK60_A00957	10996	11981	8604	10817	10866	1581	11106	1064	1025
43	GWK60_A00979	5219	118026	95348	4990	144461	19450	4914	13663	18518
44	GWK60_A01001	68510	77678	57905	56824	71815	11155	67670	8178	10717
45	GWK60_A01023	3470	7824	5590	3292	6626	740	3779	662	788
46	GWK60_A01045	1819	1446	1038	2233	1392	182	2254	209	192
47	GWK60_A01067	126	141	91	106	210	48	55	23	49
48	GWK60_A01089	6102	8791	8559	6397	10637	1550	6866	1319	1214
49	GWK60_A01111	2629	3340	3293	2139	4104	334	1705	290	296
50	GWK60_A01133	1358	1352	1350	1602	1443	220	1482	140	240
51	GWK60_A01155	458	388	292	591	614	88	723	54	109
52	GWK60_A01177	51	63	42	41	20	13	7	7	7
53	GWK60_A01199	3995	6720	6433	3864	6707	1314	3744	1208	809
54	GWK60_A01221	32	80	82	19	48	7	10	5	7
55	GWK60_A01243	95	229	156	146	182	29	80	53	21
56	GWK60_A01265	30953	40316	34213	33027	46445	6820	32023	4656	4951
57	GWK60_A01287	462	629	415	487	539	116	459	44	52
58	GWK60_A01309	4687	4208	3184	4271	4451	646	5763	315	595
59	GWK60_A01353	199747	123165	101640	168012	151949	19867	168328	15901	19958
60	GWK60_A01375	194339	125739	96565	164790	143705	13994	184787	9002	13364
61	GWK60_A01397	196	224	135	174	284	17	164	27	27
62	GWK60_A01419	3477	4812	4148	3353	4637	1005	3945	675	729
