	Geneid	CBS138_RPMI_DMSO_A	CBS138_RPMI_VORI_A	CBS138_RPMI_FLUC_A	CBS138_RPMI_DMSO_B	CBS138_RPMI_VORI_B	CBS138_RPMI_FLUC_B	CBS138_RPMI_DMSO_C	CBS138_RPMI_VORI_C	CBS138_RPMI_FLUC_C
0	CAGL0A00165g	329	1277	953	653	873	1124	422	436	3425
1	CAGL0A00187g	541	1561	1755	1240	1434	1990	950	1120	7031
2	CAGL0A00209g	2460	6237	7252	5037	6009	7581	3992	1345	18963
3	CAGL0A00231g	243	172	375	292	305	235	426	118	1572
4	CAGL0A00253g	791	2009	2340	1336	2031	2071	1217	395	8426
5	CAGL0A00275g	1295	2665	2876	2133	2716	2933	1643	488	8892
6	CAGL0A00297g	492	1181	1772	966	1495	1725	884	400	6390
7	CAGL0A00319g	496	2138	1887	1165	1629	2283	780	782	7001
8	CAGL0A00341g	39	310	418	123	306	500	144	57	1181
9	CAGL0A00363g	4164	5470	9301	8355	9770	6314	8749	1019	47264
10	CAGL0A00385g	232	128	315	364	311	335	192	60	1317
11	CAGL0A00407g	2024	11692	7499	4843	7516	8321	3377	3303	24149
12	CAGL0A00429g	641	1820	7548	1058	5691	4104	1428	339	33486
13	CAGL0A00451g	1271	8199	8473	2598	8886	10147	2043	2937	35978
14	CAGL0A00473g	1001	1167	1453	1265	1329	1153	1153	220	5456
15	CAGL0A00495g	1268	342	1176	1371	796	656	1897	304	3304
16	CAGL0A00517g	1971	7721	8136	4010	7340	8949	2723	5791	32601
17	CAGL0A00539g	168	794	662	278	537	591	439	128	1571
18	CAGL0A00561g	57	181	209	127	178	247	114	187	814
19	CAGL0A00583g	184	622	673	370	496	723	260	399	2510
20	CAGL0A00605g	507	1189	1202	847	1084	1578	601	472	3941
21	CAGL0A00627g	553	892	755	950	769	762	779	345	2750
22	CAGL0A00649g	4	9	11	6	8	15	9	15	15
23	CAGL0A00715g	1	1	1	1	3	1	1	1	5
24	CAGL0A00737g	17	16	23	9	17	21	7	1	110
25	CAGL0A00781g	611	2598	2599	1149	2380	3435	938	1599	10303
26	CAGL0A00803g	625	1726	1650	1208	1566	2022	987	979	5722
27	CAGL0A00825g	1095	2012	2541	1747	2147	2523	1429	735	7244
28	CAGL0A00847g	243	341	337	447	359	330	318	65	1406
29	CAGL0A00869g	61	116	126	57	81	98	94	1	385
30	CAGL0A00891g	889	1572	2386	1277	1781	2216	1215	924	8489
31	CAGL0A00913g	492	987	940	927	815	930	572	351	3111
32	CAGL0A00935g	10	2	22	29	34	20	22	1	97
33	CAGL0A00957g	271	916	933	563	811	959	401	256	2568
34	CAGL0A00979g	30584	21492	25891	27855	21795	23429	17347	31047	113184
35	CAGL0A01001g	395	1017	933	1122	872	1171	505	274	2480
36	CAGL0A01023g	214	214	279	293	211	243	207	204	982
37	CAGL0A01045g	5201	18567	14219	11816	15892	22752	7153	13390	49948
38	CAGL0A01067g	1779	1756	4120	2800	3148	3568	2796	2165	14066
39	CAGL0A01089g	501	22950	26505	1145	30015	26174	605	5225	115764
40	CAGL0A01111g	9015	23816	18729	19084	19085	23495	12620	9459	59644
41	CAGL0A01133g	317	726	1127	525	1062	990	532	263	4541
42	CAGL0A01155g	352	485	281	554	333	433	366	83	1024
43	CAGL0A01177g	54	11	122	61	45	127	42	87	408
44	CAGL0A01193g	1108	4968	2472	2797	2861	3881	1352	1248	8410
45	CAGL0A01199g	604	322	1237	749	1058	776	468	591	5558
46	CAGL0A01221g	5227	9140	9074	11508	8225	10830	8854	953	30183
47	CAGL0A01243g	80	297	246	107	255	269	91	13	818
48	CAGL0A01284g	15	3	33	26	63	43	22	59	174
49	CAGL0A01325g	590	656	1756	1053	1657	2059	802	1244	6175
50	CAGL0A01366g	38	8	145	63	55	68	52	99	370
51	CAGL0A01408g	14	33	20	15	7	18	1	1	101
52	CAGL0A01430g	6598	17458	14396	10853	14417	18853	6976	4852	52092
53	CAGL0A01452g	62	81	102	67	99	130	75	87	470
54	CAGL0A01474g	311	353	652	853	503	420	1065	26	2415
55	CAGL0A01540g	54847	41954	50638	55113	45335	46402	30174	17473	157210
56	CAGL0A01562g	46637	35704	54220	43871	42435	39453	31599	7589	145917
57	CAGL0A01584g	84	193	174	159	150	166	129	98	586
58	CAGL0A01606g	144	222	332	217	342	422	252	174	1445
59	CAGL0A01628g	2774	1981	2262	4904	3042	3683	2713	2028	10509
60	CAGL0A01650g	566	2102	2763	773	2343	2454	870	493	8934
61	CAGL0A01672g	1478	3351	4983	2775	4237	5546	2236	3210	17765
62	CAGL0A01694g	120	717	453	199	351	514	151	322	1207
63	CAGL0A01716g	733	3767	2476	2119	2452	3136	1023	741	7363
64	CAGL0A01738g	2793	12675	9939	4918	10231	12828	3936	8214	34127
65	CAGL0A01760g	537	1364	1210	1078	982	1505	964	1128	3428
66	CAGL0A01782g	26669	24164	40904	37953	37088	35627	29377	5913	166866
67	CAGL0A01804g	2577	4995	5575	6653	5330	7343	4457	2735	30682
68	CAGL0A01826g	22	365	1194	111	830	538	170	53	5015
69	CAGL0A01848g	838	3152	2989	1386	2238	3146	1311	674	8601
70	CAGL0A01870g	177	1275	1007	433	973	1351	288	265	3647
71	CAGL0A01892g	5	1	1	3	1	1	1	1	1
72	CAGL0A01914g	2152	3617	3451	3418	2908	3423	2513	1901	12954
73	CAGL0A01958g	975	1234	1208	1405	1200	1428	908	1206	5238
74	CAGL0A01980g	353	600	594	437	517	578	382	333	1818
75	CAGL0A02002g	245	1175	1219	1072	1369	2118	751	1484	5082
76	CAGL0A02024g	284	845	898	393	622	836	327	240	2210
77	CAGL0A02046g	773	3115	2537	2089	2612	3457	1283	2760	12566
78	CAGL0A02090g	5616	6708	5059	7122	5327	5647	4164	1969	15534
79	CAGL0A02112g	5633	7842	7998	8269	6955	8112	5832	1534	29606
80	CAGL0A02134g	265	884	779	348	844	845	308	287	3309
81	CAGL0A02145g	41	404	274	125	342	408	47	246	1212
82	CAGL0A02189g	1989	1956	4711	2781	3781	3607	2284	180	16557
83	CAGL0A02211g	4839	4397	9642	4441	8833	8977	3623	322	28423
84	CAGL0A02233g	16	30	17	10	15	5	32	9	275
85	CAGL0A02255g	41	53	72	95	39	70	112	33	302
86	CAGL0A02277g	157	963	728	334	710	878	236	101	2453
87	CAGL0A02299g	2866	11637	9469	6132	10004	9467	4530	1104	31666
88	CAGL0A02321g	3459	5220	8947	5939	7131	7967	6188	826	37660
89	CAGL0A02343g	1	20	45	31	24	46	23	1	40
90	CAGL0A02365g	3956	7861	6674	6737	6798	8105	4010	2805	24915
91	CAGL0A02387g	1640	2172	3010	2207	2717	2972	1961	561	9298
92	CAGL0A02409g	1176	2758	3850	2145	3092	3454	2006	1301	14140
93	CAGL0A02431g	615	4178	1865	1320	1818	2863	784	1139	6759
94	CAGL0A02475g	2871	10801	6315	6559	6859	10147	3911	7822	23641
95	CAGL0A02486g	624	1074	1135	821	1075	1147	752	439	3414
96	CAGL0A02508g	426	832	1036	855	923	1052	600	131	3519
97	CAGL0A02530g	5783	23559	16132	16652	15129	21117	11892	11601	58962
98	CAGL0A02552g	1160	2891	2696	1860	2467	2818	1409	1855	9502
99	CAGL0A02574g	4220	15417	10402	6001	9562	11871	4813	5683	22244
100	CAGL0A02596g	828	2369	1836	2098	1671	2449	1278	1884	6217
101	CAGL0A02618g	2088	8905	4998	4178	5085	8512	2925	10736	16799
102	CAGL0A02629g	2091	6111	6168	3565	5236	6403	3204	1659	19465
103	CAGL0A02651g	1025	1860	1496	1460	1610	1740	1094	1195	5156
104	CAGL0A02673g	1699	2498	2017	2286	1965	2118	1428	2054	6274
105	CAGL0A02695g	2425	6727	6359	5772	6145	9459	3631	12853	26838
106	CAGL0A02706g	25	15	55	79	78	84	42	24	175
107	CAGL0A02728g	4860	14833	9960	11741	10607	14331	7089	11576	38775
108	CAGL0A02750g	1289	4202	3817	2243	3799	3678	1951	945	13063
109	CAGL0A02772g	290	383	434	534	449	413	369	166	1841
110	CAGL0A02794g	297	325	762	351	439	445	468	14	2497
111	CAGL0A02816g	528	3079	2398	1603	2282	2717	991	1386	8804
112	CAGL0A02838g	307	864	835	502	636	855	439	832	2889
113	CAGL0A02860g	364	659	804	532	574	798	477	348	2451
114	CAGL0A02882g	4659	15464	14359	14593	13785	17708	10279	7691	59710
115	CAGL0A02904g	153	622	597	285	444	671	334	205	2058
116	CAGL0A02926g	1036	3873	3351	1543	2929	3205	1554	816	10626
117	CAGL0A02948g	589	2090	1679	1119	1438	2107	932	696	5241
118	CAGL0A02970g	1	1	5	7	1	1	1	1	11
119	CAGL0A02992g	78	124	281	121	195	122	151	3	731
120	CAGL0A03014g	348	1215	819	819	810	1291	686	503	3462
121	CAGL0A03036g	5556	9901	16506	10110	14537	14137	11800	3571	48361
122	CAGL0A03051g	2387	3959	3896	3319	3352	3703	2546	1427	10269
123	CAGL0A03058g	770	1792	2640	1293	2290	2621	1197	1021	8864
124	CAGL0A03080g	2285	2992	1749	2177	1612	1997	1262	1583	6396
125	CAGL0A03102g	287	1269	2319	2344	1536	3550	4117	200	4678
126	CAGL0A03117g	2456	3871	5130	3303	4264	4315	3881	508	18010
127	CAGL0A03146g	920	2012	2784	1875	2211	3364	1567	1514	11009
128	CAGL0A03168g	54265	34504	78784	51380	56376	44910	53106	9586	258864
129	CAGL0A03190g	282	533	646	619	564	697	374	110	2805
130	CAGL0A03212g	3364	2746	3408	5976	3322	5186	4913	1947	13598
131	CAGL0A03234g	9384	6044	23723	11836	15852	13806	17343	3479	133432
132	CAGL0A03256g	182	285	255	343	207	180	234	313	907
133	CAGL0A03278g	26564	24211	24504	21743	17995	18489	16620	7938	68357
134	CAGL0A03300g	9	28	44	11	35	23	3	1	82
135	CAGL0A03322g	660	1121	1001	1058	1055	1340	692	851	4038
136	CAGL0A03344g	690	2620	2691	916	2257	2479	778	988	9335
137	CAGL0A03366g	13466	15510	22351	20934	19216	23739	14760	4096	85469
138	CAGL0A03388g	17570	10270	26635	23809	24876	24528	17869	1100	97675
139	CAGL0A03410g	3	6	25	5	9	11	1	1	16
140	CAGL0A03432g	381	496	691	568	570	742	467	152	2999
141	CAGL0A03454g	331	537	970	577	724	651	654	302	2947
142	CAGL0A03476g	1662	3781	4686	4225	4124	5260	3335	1354	16198
143	CAGL0A03498g	61	165	130	144	121	144	88	100	497
144	CAGL0A03542g	768	1453	4288	1496	2541	2306	1999	474	20468
145	CAGL0A03564g	128	692	775	294	490	655	263	170	1687
146	CAGL0A03586g	92	189	155	155	135	284	51	88	784
147	CAGL0A03608g	473	565	403	481	461	322	349	105	1084
148	CAGL0A03630g	701	1412	2278	1158	1782	2540	1115	1104	8235
149	CAGL0A03652g	1849	783	1030	2136	1165	1252	1465	1034	4728
150	CAGL0A03674g	233	298	160	347	281	205	217	87	847
151	CAGL0A03696g	1304	4065	3341	2318	2901	3778	1850	749	11494
152	CAGL0A03718g	3017	11306	13036	7380	11262	12557	5973	894	42102
153	CAGL0A03740g	462	979	1289	926	1312	2221	569	1024	6256
154	CAGL0A03784g	364	878	711	523	664	886	336	271	2541
155	CAGL0A03806g	1	1	1	1	1	1	1	1	1
156	CAGL0A03828g	302	485	320	719	278	328	497	151	869
157	CAGL0A03872g	979	4830	3806	2209	3369	4288	1809	1138	13400
158	CAGL0A03883g	2189	6978	3222	4154	3537	5638	2570	4290	9591
159	CAGL0A03905g	121	3185	1727	286	1227	1992	156	650	3391
160	CAGL0A03927g	1155	3880	2606	1924	2439	3135	1289	885	7983
161	CAGL0A03949g	431	936	1281	772	1125	1192	425	265	4112
162	CAGL0A03971g	867	1394	1385	1443	1112	1592	1244	572	4204
