GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
6412	translation	55 out of 174 genes, 31.6%	495 out of 5614 background genes, 8.8%	1.68e-15	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02937g:CAGL0G02475g:CAGL0G03575g:CAGL0G06490g:CAGL0G07227g:CAGL0H02409g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:TIF1:CAGL0J00737g:RPS12:CAGL0J07678g:CAGL0J09086g:RPL16A:RPL28:CAGL0K03135g:CAGL0K04587g:CAGL0K06149g:FRS2:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:GCN3:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L08110g:CAGL0L08118g:CAGL0L11462g:CAGL0M00814g:CAGL0M02497g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M12408g	2128:1677:2130:470:45948:6413:2000640:1900036:44237:1903833:16567:6414:6353:55:32259:27:28:463:1901195:42274:33962:30490:6432:6446:447:2182:462:2183:2184:42254:1903574:43039:6364:1904262:30488:2181:6412:461:2188:290:1990145:6415:479:1731:45947:1900153:6407:45901:6450:448:1732:16236
22613	ribonucleoprotein complex biogenesis	46 out of 174 genes, 26.4%	358 out of 5614 background genes, 6.4%	6.76e-15	0.00%	CAGL0A04521g:CAGL0B00880g:ARB1:CAGL0D00836g:CAGL0E01991g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0F02937g:CAGL0F07403g:CAGL0G02475g:CAGL0G02783g:CAGL0G03003g:CAGL0G06490g:CAGL0G07227g:CAGL0G09218g:CAGL0H01419g:CAGL0H02057g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:CAGL0I00792g:CAGL0I07931g:CAGL0I09350g:CAGL0J00737g:CAGL0J03344g:CAGL0J05412g:RPS12:CAGL0J07678g:CAGL0J09086g:RPL16A:CAGL0K03135g:CAGL0K06149g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L07832g:CAGL0L08118g:CAGL0L11462g:CAGL0M00814g:CAGL0M02497g:CAGL0M06303g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	398:1677:34473:6376:6413:2000640:44237:8298:55:6913:27:71028:1682:463:42274:33962:32204:71039:447:462:42254:6468:71038:492:480:31120:71040:294:71051:467:290:1990145:1731:45947:6450:1902794:71036:1732:43335:56:17148:71037:54:71035:6396:470:1522:34475:16567:973:28:34476:7117:33621:6139:30490:6446:71046:8033:278:6364:2181:71044:6412:46830:34965:461:71042:2188:6606:479:6409:42273:1900153:48026:6407:448:472:16236:493
42254	ribosome biogenesis	41 out of 174 genes, 23.6%	299 out of 5614 background genes, 5.3%	5.56e-14	0.00%	CAGL0A04521g:CAGL0B00880g:ARB1:CAGL0D00836g:CAGL0E01991g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0F02937g:CAGL0F07403g:CAGL0G02475g:CAGL0G03003g:CAGL0G06490g:CAGL0G07227g:CAGL0G09218g:CAGL0H01419g:CAGL0H02057g:CAGL0H08019g:CAGL0I00792g:CAGL0I07931g:CAGL0I09350g:CAGL0J00737g:CAGL0J03344g:CAGL0J05412g:RPS12:CAGL0J09086g:RPL16A:CAGL0K03135g:CAGL0K06149g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L07832g:CAGL0L08118g:CAGL0L11462g:CAGL0M00814g:CAGL0M02497g:CAGL0M06303g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	34473:6413:2000640:44237:8298:55:6913:27:71028:1682:463:42274:32204:71039:447:462:42254:6468:71038:492:480:31120:71040:294:71051:467:1990145:6450:1902794:71036:43335:56:17148:71037:54:71035:6396:470:1522:34475:16567:973:28:7117:34476:6139:33621:30490:71046:8033:278:6364:2181:71044:6412:46830:34965:461:71042:6606:479:6409:42273:1900153:6407:448:472:16236
10467	gene expression	83 out of 174 genes, 47.7%	1297 out of 5614 background genes, 23.1%	2.37e-10	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00880g:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:CAGL0G10109g:CAGL0H01419g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:TIF1:CAGL0I07799g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:CAGL0K06149g:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L02799g:GCN3:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07458g:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	398:1677:34473:6376:51131:6413:2000640:44237:32968:6353:8298:55:27:30433:71028:1682:463:1901195:42274:33962:42797:32204:71039:6367:447:2182:6458:462:42254:6468:71038:7021:480:71040:294:71051:467:34605:45047:290:1990145:1731:45947:6400:1902794:6450:71036:1732:140454:17148:71037:2128:71035:6396:2130:6360:470:6457:35719:45948:140455:6383:1522:1900036:71629:1903833:34475:6511:16567:6414:32259:42780:973:28:34476:6139:33621:30490:6351:6432:6446:31048:6366:71046:42026:6386:8033:2183:2184:1903574:43039:1904262:30488:6364:71044:2181:6412:1990481:46830:34965:461:2188:71042:6626:6415:479:6409:61504:42273:1900153:48026:6407:45901:6508:448:472:80009:45041:16236
6364	rRNA processing	28 out of 174 genes, 16.1%	213 out of 5614 background genes, 3.8%	2.21e-08	0.00%	CAGL0A04521g:CAGL0B00880g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0G03003g:CAGL0G07227g:CAGL0H01419g:CAGL0H08019g:CAGL0I00792g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:RPS12:CAGL0J09086g:RPL16A:CAGL0K03135g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L07832g:CAGL0L08118g:CAGL0M00814g:CAGL0M02497g:CAGL0M06303g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	34473:6413:2000640:44237:8298:55:27:71028:1682:42274:463:32204:71039:447:462:6468:71038:480:71040:294:71051:467:1990145:6450:1902794:71036:17148:71037:71035:6396:470:34475:973:28:34476:6139:33621:30490:71046:8033:6364:2181:71044:6412:46830:34965:461:71042:479:6409:42273:1900153:6407:448:472:16236
42274	ribosomal small subunit biogenesis	20 out of 174 genes, 11.5%	112 out of 5614 background genes, 2.0%	6.76e-08	0.00%	CAGL0A04521g:CAGL0B00880g:CAGL0E01991g:CAGL0F02299g:CAGL0G07227g:CAGL0H01419g:CAGL0H08019g:CAGL0I00792g:CAGL0J00737g:CAGL0J03344g:RPS12:CAGL0K03135g:CAGL0K06149g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L08118g:CAGL0M00814g:CAGL0M06303g:CAGL0M11836g	6413:2000640:8298:55:1682:42274:447:462:6468:480:294:1990145:6450:17148:28:30490:8033:6364:6412:46830:34965:461:479:42273:1900153:6407:472
141188	nucleic acid catabolic process	40 out of 174 genes, 23.0%	437 out of 5614 background genes, 7.8%	1.03e-07	0.00%	CAGL0A03256g:CAGL0A04521g:CAGL0B00880g:CTH2:CAGL0E02315g:CAGL0E02585g:CAGL0E03223g:CAGL0F02299g:CAGL0G03003g:CAGL0G07227g:CAGL0H01419g:CAGL0H02057g:CAGL0H08019g:CAGL0H08415g:CAGL0H10252g:CAGL0I00792g:NUC1:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:RPS12:CAGL0J09086g:RPL16A:CAGL0K02937g:CAGL0K03135g:CAGL0K08360g:CAGL0K08382g:CAGL0L04510g:CAGL0L04840g:CAGL0L07832g:CAGL0L08118g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03619g:CAGL0M06303g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g	34473:6974:7131:31297:6413:2000640:44237:8298:55:27:71028:1682:42274:463:33962:51607:32204:71039:447:6338:462:6325:42254:6468:71038:6401:480:6310:31120:71040:294:71051:467:290:1990145:1731:45947:712:34080:6450:6400:1902794:71036:6915:724:17148:71037:6265:2128:71035:6396:2130:470:727:1522:34475:70481:32259:42780:973:28:34476:6139:33621:30490:6351:6446:71046:6386:30466:8033:6308:6309:30488:6364:6302:2181:71044:6412:1990481:46830:34965:461:71042:31573:479:6409:61504:42273:1900153:6407:448:472:6357:956:6879:80009:16236:33314
42255	ribosome assembly	14 out of 174 genes, 8.0%	51 out of 5614 background genes, 0.9%	1.15e-07	0.00%	CAGL0B00880g:CAGL0F02937g:CAGL0G02475g:CAGL0G09218g:CAGL0I07931g:CAGL0J00737g:CAGL0J05412g:RPS12:CAGL0K06149g:CAGL0L04510g:CAGL0L08118g:CAGL0L11462g:CAGL0M02497g:CAGL0M10241g	55:27:462:42254:492:1990145:54:470:16567:28:30490:6364:2181:6412:479:1900153:6407:16236
9059	macromolecule biosynthetic process	84 out of 174 genes, 48.3%	1487 out of 5614 background genes, 26.5%	1.85e-07	0.00%	CAGL0A01562g:CAGL0A03168g:EFT2:CAGL0A03278g:CAGL0A03388g:CAGL0A04521g:CAGL0B00880g:CAGL0D00616g:CAGL0D00858g:CAGL0D05214g:CAGL0E01991g:CAGL0E02013g:CAGL0E02585g:CAGL0E03223g:RPL9A:CAGL0F01045g:CAGL0F01683g:CAGL0F02299g:CAGL0F02937g:CAGL0G02475g:CAGL0G03003g:CAGL0G03575g:CAGL0G05874g:CAGL0G06490g:CAGL0G07227g:CAGL0G10109g:CAGL0H01419g:CAGL0H02123g:CAGL0H02409g:CAGL0H08019g:HSP10:CAGL0H08415g:CAGL0H08734g:CAGL0H10252g:CAGL0I00792g:CAGL0I01298g:TIF1:CAGL0I07799g:CAGL0I07931g:CAGL0J00737g:CAGL0J03344g:CAGL0J06006g:RPS12:CAGL0J07678g:CAGL0J09086g:YDJ1:RPL16A:RPL28:CAGL0K02937g:CAGL0K03135g:CAGL0K04587g:CAGL0K06149g:FRS2:CAGL0K08360g:CAGL0K08382g:CAGL0K08888g:CAGL0K10906g:CAGL0K12826g:CAGL0L02799g:GCN3:CAGL0L04510g:CAGL0L04840g:CAGL0L06754g:CAGL0L06886g:CAGL0L07458g:CAGL0L07832g:CAGL0L08110g:CAGL0L08118g:CAGL0L11176g:CAGL0L11462g:CAGL0L11660g:CAGL0L12408g:CAGL0M00814g:CAGL0M02497g:CAGL0M03487g:CAGL0M03619g:CAGL0M03861g:CAGL0M06303g:CAGL0M06523g:CAGL0M07029g:CAGL0M08118g:CAGL0M10241g:CAGL0M11836g:CAGL0M12408g	398:1677:34473:6376:51131:6413:2000640:44237:32968:6353:8298:55:27:30433:71028:1682:6281:463:1901195:42274:33962:7004:42797:32204:71039:6367:447:2182:6458:462:6284:42254:6468:71038:7021:480:71040:294:71051:467:70987:34605:45047:290:1990145:1731:45947:6400:1902794:6450:71036:6289:1732:140454:17148:71037:2128:71035:6396:2130:6360:470:6457:35719:45948:140455:6383:1522:1900036:71629:1903833:34475:6511:16567:6414:32259:42780:973:28:34476:6139:33621:30490:6351:6432:6446:31048:6366:71046:42026:6386:8033:2183:2184:1903574:43039:1904262:30488:6364:71044:2181:6412:1990481:6285:46830:34965:461:2188:71042:6626:6415:479:6409:61504:42273:1900153:48026:6407:45901:6508:448:472:80009:45041:16236
22618	protein-RNA complex assembly	19 out of 174 genes, 10.9%	110 out of 5614 background genes, 2.0%	3.67e-07	0.00%	CAGL0B00880g:CAGL0F02937g:CAGL0G02475g:CAGL0G02783g:CAGL0G09218g:CAGL0H02123g:CAGL0H02409g:CAGL0I07931g:CAGL0J00737g:CAGL0J05412g:RPS12:CAGL0J07678g:CAGL0K06149g:CAGL0L04510g:CAGL0L08118g:CAGL0L11462g:CAGL0M02497g:CAGL0M07029g:CAGL0M10241g	398:1677:6376:6413:55:27:33962:462:42254:492:290:1990145:1731:45947:6450:1732:54:470:16567:28:30490:6446:6364:2181:6412:2188:479:1900153:48026:6407:16236:493
