GOID	GO term	Frequency	Gene(s)	Organism
16070	RNA metabolic process	138 out of 355 genes, 38.9%	CAGL0M13519g CAGL0K09284g CAGL0J10890g CAGL0E05478g CAGL0G02629g CAGL0E03069g CAGL0L03806g CAGL0G07227g CAGL0J09086g CAGL0M02409g CAGL0H07975g CAGL0L10516g CAGL0L08118g CAGL0I01826g CAGL0G00264g CAGL0J09614g HHT2 CAGL0J01265g CAGL0J11792g CAGL0I07975g CAGL0L11638g CAGL0L02893g CAGL0K06215g RIX1 CAGL0I05588g CAGL0L04026g CAGL0J09746g RPL16A CAGL0E05874g CAGL0H02123g CAGL0J09460g CAGL0K01859g CAGL0G10021g CAGL0M11110g CAGL0D00880g CAGL0M11616g CAGL0J00737g CAGL0L07678g CAGL0J01848g CAGL0F01925g CAGL0H06985g CAGL0K01991g CAGL0J07766g CAGL0H02937g CAGL0F01023g CAGL0L02799g CAGL0C01419g CAGL0E02585g CAGL0L04950g CAGL0L04510g CAGL0L03047g CAGL0M04279g CAGL0K08382g CAGL0H05709g CAGL0G06248g CAGL0J10802g CAGL0M07678g CAGL0G07535g CAGL0M07227g CAGL0H03773g DBP3 CAGL0M01430g CAGL0J10252g CAGL0K01551g CAGL0K09460g CAGL0F07139g CAGL0F04983g CAGL0I09790g CAGL0C01639g CAGL0K03795g CAGL0E05764g CAGL0E00979g CAGL0E05434g CAGL0J01045g CAGL0M03487g CAGL0L02849g CAGL0K02233g CAGL0L08756g CAGL0M10197g CAGL0K08360g CAGL0J04928g CAGL0H08415g CAGL0L05566g CAGL0A04015g CAGL0J03234g CAGL0E02673g CAGL0J02376g CAGL0E01925g CAGL0B04125g CAGL0F00561g CAGL0M04719g CAGL0J11066g CAGL0I03608g CAGL0G00484g CAGL0J02816g CAGL0E05500g CAGL0C00737g CAGL0J00473g CAGL0F07645g CAGL0M10681g CAGL0I01606g CAGL0E02343g CAGL0J10032g CAGL0D04884g CAGL0H03685g CAGL0J04070g CAGL0A03652g CAGL0L04840g CAGL0L09669g CAGL0J01023g CAGL0L11660g CAGL0M05203g CAGL0M01056g CAGL0I06006g HTZ1 CAGL0L03846g CAGL0E03223g CAGL0B00352g CAGL0H02057g CAGL0G04411g CAGL0I03234g CAGL0M09845g CAGL0M04829g CAGL0I10560g CAGL0K02211g CAGL0L03872g CAGL0H09724g CAGL0F02299g CAGL0B00880g CAGL0L03025g CAGL0H02431g CAGL0B04169g CAGL0I00792g CAGL0K03135g CAGL0K09614g CAGL0L00341g CAGL0G07843g CAGL0H08778g	Candida glabrata
42254	ribosome biogenesis	126 out of 355 genes, 35.5%	CAGL0M13519g CAGL0K09284g CAGL0J10890g CAGL0G02629g CAGL0E03069g CAGL0L03806g CAGL0G07227g CAGL0J09086g CAGL0M02409g CAGL0L10516g SDA1 CAGL0L08118g CAGL0J03476g CAGL0I01826g CAGL0J09614g CAGL0E01991g CAGL0J01265g CAGL0I07975g CAGL0L11638g CAGL0L02893g CAGL0K06215g RIX1 CAGL0E03289g RPL16A CAGL0G08041g CAGL0E05874g CAGL0K01859g CAGL0M11110g CAGL0D00880g CAGL0G05742g CAGL0M11616g CAGL0L10890g CAGL0J00737g CAGL0L07678g CAGL0F01925g CAGL0D02838g CAGL0H06985g CAGL0H02937g CAGL0F01023g CAGL0F06853g CAGL0E02585g CAGL0L04950g CAGL0L04510g CAGL0L03047g CAGL0M04279g CAGL0K08382g CAGL0H05709g CAGL0G06248g CAGL0J10802g CAGL0M07678g CAGL0G07535g CAGL0D03674g CAGL0M07227g CAGL0H03773g DBP3 CAGL0L02871g CAGL0M01430g CAGL0J10252g CAGL0K01551g CAGL0K09460g CAGL0I02376g CAGL0F07139g CAGL0F04983g CAGL0I09790g CAGL0C01639g CAGL0K03795g CAGL0F02937g CAGL0J01045g CAGL0I02926g CAGL0L05170g CAGL0K02233g CAGL0L08756g CAGL0M10197g CAGL0J04928g CAGL0A04015g CAGL0D00836g CAGL0J03234g CAGL0E02673g CAGL0J02376g CAGL0M04719g CAGL0C03369g CAGL0J11066g CAGL0L06314g CAGL0I03608g CAGL0I10670g CAGL0I02398g CAGL0G00484g ARB1 CAGL0C00737g CAGL0D00220g CAGL0J00473g CAGL0F07645g CAGL0L05500g CAGL0M10681g CAGL0I01606g CAGL0E02343g CAGL0M05775g CAGL0J10032g CAGL0D04884g CAGL0A03652g CAGL0L04840g CAGL0L09669g CAGL0J00957g CAGL0M01056g CAGL0L03846g CAGL0I06490g CAGL0E03223g CAGL0B00352g CAGL0F06809g CAGL0H02057g CAGL0G04411g CAGL0I03234g CAGL0M09845g CAGL0K06149g CAGL0M04829g CAGL0I10560g CAGL0K02211g CAGL0H09724g CAGL0F02299g CAGL0B00880g CAGL0B04169g CAGL0I00792g CAGL0K03135g CAGL0K09614g CAGL0L00341g CAGL0G07843g	Candida glabrata
50789	regulation of biological process	69 out of 355 genes, 19.4%	CAGL0D01716g CAGL0I05764g CAGL0D04642g CAGL0B00792g SDA1 CAGL0I01914g CAGL0G09273g CAGL0I09438g CAGL0G00264g HHT2 CAGL0M05445g CAGL0I03344g CAGL0J01265g CAGL0F09075g RIX1 CAGL0E03289g CAGL0G08041g CAGL0H02123g CAGL0J09460g CAGL0M11616g CAGL0I08547g GAT1 CAGL0I01936g CAGL0F06853g CAGL0C01419g CAGL0E02585g CAGL0L04510g CAGL0I09856g CAGL0D03674g CAGL0M07227g CAGL0M01430g CAGL0E05434g CAGL0I02926g CAGL0M10197g CAGL0J04928g CAGL0F05885g CAGL0B00374g TSA1 CAGL0C02519g CAGL0G07249g CAGL0F00561g CAGL0A00231g CAGL0C03369g CAGL0L01397g CAGL0J08822g CAGL0K00605g CAGL0J02816g EFT2 HMT1 CAGL0M10681g CAGL0L04840g TOS8 CAGL0L04928g CAGL0L08448g HTZ1 CAGL0J11638g CAGL0L03846g CAGL0G05379g CAGL0E03223g CAGL0H05379g CAGL0F06809g CAGL0G04411g CAGL0I06248g CAGL0I10560g CAGL0M09801g CAGL0F02299g CAGL0D04620g PMA1 CAGL0H08778g	Candida glabrata
8150	biological_process	53 out of 355 genes, 14.9%	DUR3 CAGL0J05390g CAGL0K07337g EGT2 CAGL0M02805g CAGL0C04389g PIR1 CAGL0G08019g CAGL0L06424g CAGL0M11154g CAGL0F01177g CAGL0H07183g CAGL0H06127g CAGL0J08844g CAGL0F04103g CAGL0D05236g CAGL0E06534g CAGL0B00594g CAGL0L05786g CAGL0J10912g CAGL0G05808g CAGL0M11088g CAGL0E05456g CAGL0G05632g CAGL0H08712g CAGL0E01573g CAGL0H10076g CAGL0D03124g CAGL0H07205g BMT5 CAGL0E00517g CAGL0L08976g CAGL0K11880g SRP40 CAGL0M05599g CAGL0E05522g CAGL0J11154g CAGL0M10021g CAGL0A01474g CAGL0J06374g HHF2 CAGL0C03740g CAGL0J02222g CAGL0I09834g CAGL0A03674g CAGL0I00550g CAGL0E02915g CAGL0K09042g CAGL0K12804g CAGL0K01155g CAGL0A03828g CAGL0L08536g CAGL0C01617g	Candida glabrata
6996	organelle organization	49 out of 355 genes, 13.8%	CAGL0J10890g CAGL0F00407g CAGL0L10516g CAGL0I01914g CAGL0L08118g CAGL0J03476g HHT2 CAGL0I07975g RIX1 CAGL0E03289g CAGL0G08041g CAGL0M11616g CAGL0L10890g CAGL0J00737g CAGL0H00704g CAGL0H04455g CAGL0I01936g CAGL0E02585g CAGL0L05346g CAGL0M09086g CAGL0L04510g CAGL0H05709g CAGL0K01551g CAGL0K09460g CAGL0A04169g CAGL0F02937g CAGL0M10197g CAGL0F05885g CAGL0L10252g CAGL0I04818g CAGL0M05775g CAGL0J10032g CAGL0L04928g CAGL0L08448g CAGL0J00957g HTZ1 CAGL0J11638g CAGL0F06809g CAGL0K06149g CAGL0L11176g CAGL0M09801g CAGL0H10516g CAGL0B00880g CAGL0D04620g CAGL0E03245g CAGL0B04169g PMA1 CAGL0L00341g CAGL0M02519g	Candida glabrata
6810	transport	42 out of 355 genes, 11.8%	CAGL0M02409g SDA1 CAGL0G09273g CAGL0G02453g CAGL0I09724g TPO3 CAGL0F04499g CAGL0G08041g CAGL0L01551g CAGL0D02838g CAGL0H00704g CAGL0H05709g CAGL0G07535g CAGL0D03674g CAGL0M07227g CAGL0K09460g CAGL0L04356g CAGL0C01639g CAGL0E01353g CAGL0M10197g RSB1 CAGL0F05885g CAGL0D00836g CAGL0L10868g FTR1 CAGL0C03369g CAGL0L06314g CAGL0I02398g ARB1 CAGL0D00220g HMT1 CAGL0L04928g CAGL0L08448g CAGL0F06809g TPO4 CAGL0I10560g CAGL0K00473g TPO1_1 CAGL0H09724g CAGL0F02299g CAGL0B04433g PMA1	Candida glabrata
6412	translation	34 out of 355 genes, 9.6%	CAGL0E02013g CAGL0M12408g CAGL0A03278g CAGL0G07227g CAGL0J09086g CAGL0G09669g CAGL0L08118g CAGL0E01991g CAGL0E03289g RPL16A CAGL0G08041g TIF3 CAGL0J00737g RPL9A CAGL0L04510g CAGL0K08382g CAGL0F01683g CAGL0L08110g CAGL0A03168g CAGL0F02937g CAGL0D00858g CAGL0K06567g CAGL0J03234g CAGL0M03861g CAGL0K10906g CAGL0J02816g CAGL0A03388g EFT2 CAGL0L04840g CAGL0K06149g CAGL0J07678g CAGL0I00792g CAGL0K03135g CAGL0M06523g	Candida glabrata
7049	cell cycle	26 out of 355 genes, 7.3%	CAGL0D01716g ZPR1 CAGL0D04642g CAGL0I01914g HHT2 RIX1 CAGL0L01551g CAGL0I01936g CAGL0M09086g CAGL0I09856g CAGL0G05566g CAGL0F05885g CAGL0L10252g CAGL0F05709g CAGL0A00231g CAGL0L01397g CAGL0J11066g CAGL0J08822g CAGL0K00605g CAGL0D02860g CAGL0I04818g CWP1.2 CAGL0J11638g CAGL0F06809g CAGL0H10516g CAGL0D04620g	Candida glabrata
6259	DNA metabolic process	16 out of 355 genes, 4.5%	CAGL0D01716g CAGL0J03146g CAGL0D04642g HHT2 KRE29 RIX1 CAGL0L07700g CAGL0L01397g CAGL0J11066g CAGL0J08822g CAGL0K00605g CAGL0D02860g CAGL0J11638g CAGL0L11176g CAGL0J04950g CAGL0E03245g	Candida glabrata
36211	protein modification process	12 out of 355 genes, 3.4%	CAGL0F00407g CAGL0F09075g CAGL0L04026g CAGL0C04565g CAGL0J02816g HMT1 CAGL0J04576g CAGL0J11638g CAGL0F06809g CAGL0I06248g CAGL0K06457g CAGL0M02519g	Candida glabrata
