GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
6112	energy reserve metabolic process	8 out of 265 genes, 3.0%	18 out of 5614 background genes, 0.3%	0.00035	0.00%	CAGL0F04719g:CAGL0F04895g:CAGL0G02717g:CAGL0J03080g:CAGL0K03421g:UGP1:CAGL0M03377g:CAGL0M12551g	5980:5976:71704:19388:6874:5992:5975:6112:6078:19255:5978:6011:30003:51156
15980	energy derivation by oxidation of organic compounds	20 out of 265 genes, 7.5%	125 out of 5614 background genes, 2.2%	0.00066	0.00%	COX12:CAGL0B02431g:CAGL0D00748g:CAGL0F04565g:CAGL0F04719g:CAGL0F04895g:CAGL0G02717g:CAGL0H02491g:CAGL0I00748g:COX6:SDH1:CAGL0J03080g:CAGL0K01705g:CAGL0K02893g:CAGL0K03421g:CAGL0L00649g:UGP1:SUN4:CAGL0M03377g:CAGL0M12551g	6122:6096:45333:9060:5975:6112:6120:51156:6099:22900:71704:19655:42776:19388:6078:6116:6123:5978:30003:43065:71852:5992:5980:5976:42981:6874:19654:19427:19255:33617:6085:6011
6091	generation of precursor metabolites and energy	21 out of 265 genes, 7.9%	138 out of 5614 background genes, 2.5%	0.00084	0.00%	COX12:CAGL0B02431g:CAGL0D00748g:CAGL0F04565g:CAGL0F04719g:CAGL0F04895g:CAGL0G02717g:CAGL0H02491g:CAGL0I00748g:COX6:SDH1:CAGL0J03080g:CAGL0K01705g:CAGL0K02893g:CAGL0K03421g:CAGL0K04235g:CAGL0L00649g:UGP1:SUN4:CAGL0M03377g:CAGL0M12551g	6122:6096:45333:9060:5975:6112:6120:51156:6099:22900:71704:19655:42776:19388:6078:6116:5978:6123:30003:43065:71852:34599:5992:6098:5980:5976:42981:19427:19654:6874:19255:6085:33617:6011
9062	fatty acid catabolic process	6 out of 265 genes, 2.3%	14 out of 5614 background genes, 0.2%	0.01267	1.00%	CAGL0A00341g:CAGL0A03740g:CAGL0F05071g:CAGL0H06787g:CAGL0L02167g:CAGL0L09273g	19752:19629:6635:6631:1561:46521
16042	lipid catabolic process	8 out of 265 genes, 3.0%	30 out of 5614 background genes, 0.5%	0.02912	1.60%	CAGL0A00341g:CAGL0A03740g:CAGL0E02321g:CAGL0F05071g:CAGL0H03575g:CAGL0H06787g:CAGL0L02167g:CAGL0L09273g	19752:19629:32120:6635:70583:6631:1561:46488:9395:46521:30474:6660
5977	glycogen metabolic process	6 out of 265 genes, 2.3%	16 out of 5614 background genes, 0.3%	0.03118	1.67%	CAGL0F04719g:CAGL0F04895g:CAGL0G02717g:CAGL0K03421g:UGP1:CAGL0M03377g	5975:51156:71704:19388:6078:5978:30003:5992:5980:5976:6874:19255:6011
44282	small molecule catabolic process	12 out of 265 genes, 4.5%	68 out of 5614 background genes, 1.2%	0.03617	1.43%	CAGL0A00341g:CAGL0A03740g:CAGL0C04191g:CAGL0F05071g:PDC5:CAGL0H06787g:CAGL0K03421g:CAGL0L02167g:CAGL0L04422g:CAGL0L09273g:CAGL0L12254g:CAGL0M02981g	19752:15961:19629:15959:5975:1901907:9058:6635:6523:51156:9450:6631:1561:71704:19388:6524:5978:30003:46521:6067:34599:1901911:6559:6166:5992:1901909:6148:6540:6798:6874:46115:71545:6569:19255:949:6011
5975	carbohydrate metabolic process	18 out of 265 genes, 6.8%	138 out of 5614 background genes, 2.5%	0.04084	1.25%	CAGL0F03003g:CAGL0F04719g:CAGL0F04895g:SCW4:CAGL0G02717g:TPS2:TDH3:CAGL0H02387g:FBP1:CAGL0I00748g:CAGL0J00451g:CAGL0K01705g:CAGL0K03421g:CAGL0K04235g:ATH1:UGP1:CAGL0M02981g:CAGL0M03377g	6096:6006:70413:5975:51156:71704:19655:6075:19388:6078:5993:6116:5978:30003:71466:34599:10508:6166:282:5992:6094:6148:15771:34605:6098:747:5980:5991:5976:44419:42981:7232:31505:6874:9758:46115:72593:19255:1900745:6915:6011:6972:15886
19395	fatty acid oxidation	5 out of 265 genes, 1.9%	11 out of 5614 background genes, 0.2%	0.04586	1.11%	CAGL0A00341g:CAGL0A03740g:CAGL0F05071g:CAGL0H06787g:CAGL0L02167g	6635:6631:1561:46521
34440	lipid oxidation	5 out of 265 genes, 1.9%	11 out of 5614 background genes, 0.2%	0.04586	1.00%	CAGL0A00341g:CAGL0A03740g:CAGL0F05071g:CAGL0H06787g:CAGL0L02167g	6635:6631:1561:46521
5991	trehalose metabolic process	5 out of 265 genes, 1.9%	11 out of 5614 background genes, 0.2%	0.04586	0.91%	TPS2:CAGL0H02387g:CAGL0K03421g:ATH1:UGP1	70413:5975:51156:71704:19388:6078:5993:5978:30003:71466:34599:10508:5992:15771:34605:5991:44419:6874:9758:19255:6011
72329	monocarboxylic acid catabolic process	6 out of 265 genes, 2.3%	18 out of 5614 background genes, 0.3%	0.06673	1.67%	CAGL0A00341g:CAGL0A03740g:CAGL0F05071g:CAGL0H06787g:CAGL0L02167g:CAGL0L09273g	19752:19629:6635:6631:1561:46521
5984	disaccharide metabolic process	5 out of 265 genes, 1.9%	12 out of 5614 background genes, 0.2%	0.07560	1.69%	TPS2:CAGL0H02387g:CAGL0K03421g:ATH1:UGP1	70413:5975:51156:71704:19388:6078:5993:5978:30003:71466:34599:10508:5992:15771:34605:5991:44419:6874:9758:19255:6011
16054	organic acid catabolic process	9 out of 265 genes, 3.4%	43 out of 5614 background genes, 0.8%	0.07737	1.57%	CAGL0A00341g:CAGL0A03740g:CAGL0C04191g:CAGL0F05071g:PDC5:CAGL0H06787g:CAGL0L02167g:CAGL0L09273g:CAGL0L12254g	19752:19629:9058:6635:6523:9450:6631:1561:6524:46521:6067:34599:6559:6540:6569:949
46395	carboxylic acid catabolic process	9 out of 265 genes, 3.4%	43 out of 5614 background genes, 0.8%	0.07737	1.47%	CAGL0A00341g:CAGL0A03740g:CAGL0C04191g:CAGL0F05071g:PDC5:CAGL0H06787g:CAGL0L02167g:CAGL0L09273g:CAGL0L12254g	19752:19629:9058:6635:6523:9450:6631:1561:6524:46521:6067:34599:6559:6540:6569:949
46351	disaccharide biosynthetic process	4 out of 265 genes, 1.5%	7 out of 5614 background genes, 0.1%	0.08438	1.62%	TPS2:CAGL0H02387g:CAGL0K03421g:UGP1	70413:5975:51156:71704:19388:6078:5978:30003:71466:34599:10508:5992:34605:5991:6874:9758:19255:6011
5992	trehalose biosynthetic process	4 out of 265 genes, 1.5%	7 out of 5614 background genes, 0.1%	0.08438	1.53%	TPS2:CAGL0H02387g:CAGL0K03421g:UGP1	70413:5975:51156:71704:19388:6078:5978:30003:71466:34599:10508:5992:34605:5991:6874:9758:19255:6011
9312	oligosaccharide biosynthetic process	4 out of 265 genes, 1.5%	7 out of 5614 background genes, 0.1%	0.08438	1.44%	TPS2:CAGL0H02387g:CAGL0K03421g:UGP1	70413:5975:51156:71704:19388:6078:5978:30003:71466:34599:10508:5992:34605:5991:6874:9758:19255:6011
