GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
170034	L-amino acid biosynthetic process	18 out of 193 genes, 9.3%	72 out of 5614 background genes, 1.3%	7.98e-09	0.00%	CAGL0A00363g:CAGL0A02574g:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:162:42450:9098:6807:9085:6555:6541:6281:71266:19878:6102:9097:9082:19346:6207
170038	proteinogenic amino acid biosynthetic process	18 out of 193 genes, 9.3%	75 out of 5614 background genes, 1.3%	1.68e-08	0.00%	CAGL0A00363g:CAGL0A02574g:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
1901607	alpha-amino acid biosynthetic process	18 out of 193 genes, 9.3%	84 out of 5614 background genes, 1.5%	1.27e-07	0.00%	CAGL0A00363g:CAGL0A02574g:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
8652	amino acid biosynthetic process	18 out of 193 genes, 9.3%	86 out of 5614 background genes, 1.5%	1.92e-07	0.00%	CAGL0A00363g:CAGL0A02574g:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
170033	L-amino acid metabolic process	18 out of 193 genes, 9.3%	93 out of 5614 background genes, 1.7%	7.44e-07	0.00%	CAGL0A00363g:CAGL0A02574g:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
170039	proteinogenic amino acid metabolic process	18 out of 193 genes, 9.3%	97 out of 5614 background genes, 1.7%	1.52e-06	0.00%	CAGL0A00363g:CAGL0A02574g:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
16053	organic acid biosynthetic process	20 out of 193 genes, 10.4%	133 out of 5614 background genes, 2.4%	8.76e-06	0.00%	CAGL0A00363g:CAGL0A02574g:ILV5:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:BAT1:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:2:9083:9081:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
46394	carboxylic acid biosynthetic process	20 out of 193 genes, 10.4%	133 out of 5614 background genes, 2.4%	8.76e-06	0.00%	CAGL0A00363g:CAGL0A02574g:ILV5:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:BAT1:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:2:9083:9081:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
1901605	alpha-amino acid metabolic process	18 out of 193 genes, 9.3%	110 out of 5614 background genes, 2.0%	1.21e-05	0.00%	CAGL0A00363g:CAGL0A02574g:LYS9:CAGL0C04917g:ARG1:IDP1:CAGL0F06875g:MET13:LYS12:CAGL0G04741g:LEU2:CAGL0I08987g:CAGL0I09592g:CAGL0I10791g:CAGL0J06402g:LYS21:CAGL0K03465g:STR3	19752:6526:9099:6520:9086:16558:6537:162:42450:6807:9098:6541:6555:9085:6281:71266:19878:6102:9097:9082:19346:6207
7155	cell adhesion	9 out of 193 genes, 4.7%	30 out of 5614 background genes, 0.5%	0.00020	0.00%	CAGL0A01584g:EPA6:EPA3:TIR5:EPA23:CAGL0I09856g:AWP2:KSS1:CAGL0K12078g	7124:44406:6468:2000221:44011:122:98609:43709:7155:1403:36164:90606:433:90033:128:10973:36267:34756:752:71475:42710:1402:750:278:60237:71466
