GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
5975	carbohydrate metabolic process	24 out of 256 genes, 9.4%	140 out of 5614 background genes, 2.5%	8.56e-06	0.00%	NTH2:CAGL0E05610g:CAGL0F04719g:CAGL0F04895g:PFK1:CAGL0F08261g:CAGL0G03883g:CAGL0G09515g:CAGL0H02387g:CAGL0H02695g:FBP1:CAGL0I00748g:GCY1:CAGL0I10054g:CAGL0J00451g:CAGL0K03421g:FKS2:ATH1:MLS1:CAGL0L10043g:CAGL0L10582g:CAGL0M02981g:CTS1:PYK1	6096:70414:920:6006:30148:32889:61610:34975:5975:71590:61621:51156:9311:6002:19655:71704:6075:19388:6078:42843:51085:42026:6116:5993:5978:42866:30003:35617:34599:6097:30476:6166:70370:6032:5992:6094:71218:6148:15771:7165:5980:9651:5991:44419:31505:10507:42981:6874:46115:6357:51453:72593:19255:43335:35690:6011:6090:30437:71592:19568
44282	small molecule catabolic process	14 out of 256 genes, 5.5%	71 out of 5614 background genes, 1.3%	0.00187	0.00%	CAGL0A00341g:CAGL0C04191g:CAGL0D04026g:CAGL0E05610g:CAGL0F05071g:PDC5:GDH2:CAGL0H06787g:GCY1:CAGL0K03421g:CAGL0L02167g:CAGL0L04422g:CAGL0L12254g:CAGL0M02981g	15961:6096:6536:15959:5975:61610:1901907:9058:6635:6523:61621:51156:9450:1561:71704:19388:42843:6524:5978:42866:30003:46521:6067:34599:1901911:6520:6559:6166:5992:9448:1901909:6148:6540:6807:6798:19551:6874:46115:71545:6569:19255:949:6011:6090:19568
6091	generation of precursor metabolites and energy	19 out of 256 genes, 7.4%	134 out of 5614 background genes, 2.4%	0.00576	0.00%	CAGL0B02431g:SDH2:CAGL0D00748g:CAGL0E05610g:CAGL0F04719g:CAGL0F04895g:PFK1:CAGL0F08261g:CAGL0H02491g:CAGL0H02695g:CAGL0I00748g:SDH1:CAGL0J03080g:CAGL0K03421g:CAGL0L00649g:SUN4:CYT1:PYK1:CAGL0M12551g	6122:6096:45333:32889:5975:6112:6120:61621:51156:6099:22900:6002:71704:19655:42776:19388:6116:5978:42866:6123:30003:43065:71852:5992:5980:42981:19427:19654:6874:51453:19255:6085:6011:6090
44281	small molecule metabolic process	45 out of 256 genes, 17.6%	522 out of 5614 background genes, 9.3%	0.01060	0.00%	CAGL0A00341g:CAGL0A01716g:PEX7:CAGL0B02431g:CAGL0B03465g:IDP2:CAGL0C01749g:CAGL0C04191g:PRO1:CAGL0D04026g:CAGL0E05610g:CAGL0F01111g:RIB1:CAGL0F05071g:RIB7:CAGL0F06875g:CAGL0F07183g:CAGL0F07777g:PFK1:CAGL0F08173g:CAGL0F08261g:PDC5:GDH2:CAGL0H02893g:FBP1:CAGL0H06787g:CAGL0H10362g:CAGL0I00418g:CAGL0I00748g:GCY1:CAGL0I07601g:CAGL0J00451g:CAGL0K03421g:CAGL0K07788g:CAGL0K10978g:CAGL0L00649g:GLT1:CAGL0L02167g:MLS1:CAGL0L04422g:SUN4:CAGL0L10043g:CAGL0L12254g:CAGL0M02981g:PYK1	15961:6096:6006:32889:61610:5975:1901907:97054:6636:6635:61621:51156:6598:9231:6631:1561:6002:71704:19878:6102:6116:5978:46521:71852:6067:6629:6520:6559:6744:6537:16558:9448:6094:1904524:6540:6807:9085:9187:19551:42981:19654:46115:71545:51453:19255:949:6085:6011:6090:19568:19358:16560:6536:15959:71590:9159:1:9058:19676:6120:6523:6561:9450:19655:42776:19388:19483:31509:42843:6524:42866:6020:30003:43065:34599:1901911:6097:6166:5992:1901909:6148:32264:6606:70682:7165:9651:6798:32194:183:19427:6874:6357:6569:72593:6625:6633:71592
16052	carbohydrate catabolic process	9 out of 256 genes, 3.5%	39 out of 5614 background genes, 0.7%	0.03206	1.20%	NTH2:CAGL0E05610g:CAGL0F04895g:PFK1:CAGL0F08261g:GCY1:CAGL0K03421g:ATH1:PYK1	6096:32889:61610:5975:61621:51156:6002:71704:5978:5991:51453:19255:6011:6090:19568:19388:42843:5993:42866:30003:34599:5992:15771:5980:44419:6874
15980	energy derivation by oxidation of organic compounds	15 out of 256 genes, 5.9%	102 out of 5614 background genes, 1.8%	0.03405	1.00%	CAGL0B02431g:SDH2:CAGL0D00748g:CAGL0F04719g:CAGL0F04895g:CAGL0H02491g:CAGL0H02695g:CAGL0I00748g:SDH1:CAGL0J03080g:CAGL0K03421g:CAGL0L00649g:SUN4:CYT1:CAGL0M12551g	5975:51156:6099:71704:6116:5978:6123:71852:42981:19654:19255:6085:6011:6122:45333:6112:6120:22900:19655:42776:19388:30003:43065:5992:5980:19427:6874
9311	oligosaccharide metabolic process	6 out of 256 genes, 2.3%	17 out of 5614 background genes, 0.3%	0.04673	1.14%	NTH2:CAGL0G03883g:CAGL0H02387g:CAGL0K03421g:ATH1:CAGL0L10582g	5975:51156:71704:5978:70370:5991:19255:43335:6011:70414:34975:9311:19388:51085:42026:5993:30003:35617:5992:71218:15771:44419:6874
32787	monocarboxylic acid metabolic process	15 out of 256 genes, 5.9%	108 out of 5614 background genes, 1.9%	0.06683	1.75%	CAGL0A00341g:PEX7:CAGL0C04191g:CAGL0D04026g:CAGL0E05610g:CAGL0F05071g:PFK1:CAGL0F08261g:CAGL0H06787g:CAGL0H10362g:CAGL0I00418g:CAGL0L00649g:CAGL0L02167g:MLS1:PYK1	6096:32889:6636:6635:61621:6631:1561:6002:46521:6629:16558:9448:6540:19654:51453:6085:6090:6536:16560:1:9450:42866:34599:6097:70682:19427:6625:6633
6112	energy reserve metabolic process	6 out of 256 genes, 2.3%	18 out of 5614 background genes, 0.3%	0.06743	1.78%	CAGL0F04719g:CAGL0F04895g:CAGL0H02695g:CAGL0J03080g:CAGL0K03421g:CAGL0M12551g	5975:51156:71704:5978:19255:6011:6112:19388:30003:5992:5980:6874
5991	trehalose metabolic process	5 out of 256 genes, 2.0%	12 out of 5614 background genes, 0.2%	0.07856	1.60%	NTH2:CAGL0G03883g:CAGL0H02387g:CAGL0K03421g:ATH1	5975:51156:71704:5978:70370:5991:19255:43335:6011:70414:34975:19388:51085:42026:5993:30003:35617:5992:71218:15771:44419:6874
43436	oxoacid metabolic process	26 out of 256 genes, 10.2%	263 out of 5614 background genes, 4.7%	0.09278	2.00%	CAGL0A00341g:PEX7:IDP2:CAGL0C04191g:PRO1:CAGL0D04026g:CAGL0E05610g:CAGL0F05071g:CAGL0F06875g:CAGL0F07777g:PFK1:CAGL0F08261g:PDC5:GDH2:CAGL0H06787g:CAGL0H10362g:CAGL0I00418g:CAGL0K07788g:CAGL0K10978g:CAGL0L00649g:GLT1:CAGL0L02167g:MLS1:CAGL0L04422g:CAGL0L12254g:PYK1	15961:6096:32889:1901907:97054:6636:6635:61621:6598:6631:1561:6002:19878:6102:46521:6067:6629:6520:6559:6537:16558:9448:6540:6807:9085:19551:19654:71545:51453:949:6085:6090:6536:16560:15959:1:9058:19676:6523:6561:9450:19483:6524:42866:34599:1901911:6097:1901909:70682:6798:19427:6569:6625:6633
6082	organic acid metabolic process	26 out of 256 genes, 10.2%	264 out of 5614 background genes, 4.7%	0.09875	1.83%	CAGL0A00341g:PEX7:IDP2:CAGL0C04191g:PRO1:CAGL0D04026g:CAGL0E05610g:CAGL0F05071g:CAGL0F06875g:CAGL0F07777g:PFK1:CAGL0F08261g:PDC5:GDH2:CAGL0H06787g:CAGL0H10362g:CAGL0I00418g:CAGL0K07788g:CAGL0K10978g:CAGL0L00649g:GLT1:CAGL0L02167g:MLS1:CAGL0L04422g:CAGL0L12254g:PYK1	15961:6096:32889:1901907:97054:6636:6635:61621:6598:6631:1561:6002:19878:6102:46521:6067:6629:6520:6559:6537:16558:9448:6540:6807:9085:19551:19654:71545:51453:949:6085:6090:6536:16560:15959:1:9058:19676:6523:6561:9450:19483:6524:42866:34599:1901911:6097:1901909:70682:6798:19427:6569:6625:6633
