GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
96	sulfur amino acid metabolic process	10 out of 169 genes, 5.9%	32 out of 5614 background genes, 0.6%	9.00e-06	0.00%	MET3:MET15:MET13:CAGL0I01276g:MET6:CAGL0J08316g:SAM2:ADI1:CAGL0L02321g:STR3	9092:6520:6556:9086:8652:19509:19379:9058:6535:10134:96:71269:6555:46084:71266:103:19346:19280
16129	phytosteroid biosynthetic process	9 out of 169 genes, 5.3%	27 out of 5614 background genes, 0.5%	2.54e-05	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
6696	ergosterol biosynthetic process	9 out of 169 genes, 5.3%	27 out of 5614 background genes, 0.5%	2.54e-05	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
97384	cellular lipid biosynthetic process	9 out of 169 genes, 5.3%	27 out of 5614 background genes, 0.5%	2.54e-05	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
1902653	secondary alcohol biosynthetic process	9 out of 169 genes, 5.3%	28 out of 5614 background genes, 0.5%	3.66e-05	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
16128	phytosteroid metabolic process	9 out of 169 genes, 5.3%	29 out of 5614 background genes, 0.5%	5.17e-05	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
8204	ergosterol metabolic process	9 out of 169 genes, 5.3%	29 out of 5614 background genes, 0.5%	5.17e-05	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
16126	sterol biosynthetic process	9 out of 169 genes, 5.3%	31 out of 5614 background genes, 0.6%	9.88e-05	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
6694	steroid biosynthetic process	9 out of 169 genes, 5.3%	33 out of 5614 background genes, 0.6%	0.00017	0.00%	ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	7005:6696:16126:16104:6879:35690:8610:8204
8202	steroid metabolic process	10 out of 169 genes, 5.9%	43 out of 5614 background genes, 0.8%	0.00020	0.00%	ATF2:ERG1:ERG11:ERG3:ERG24:ERG7:CAGL0K03927g:ERG25:ERG2:ERG5	1901089:7005:9636:6696:8202:16126:16104:6879:35690:8610:8204
6790	sulfur compound metabolic process	13 out of 169 genes, 7.7%	83 out of 5614 background genes, 1.5%	0.00046	0.00%	MET3:MET15:MET13:CAGL0I01276g:MET6:CAGL0J08316g:SAM2:DUG3:VHT1:MET8:ADI1:CAGL0L02321g:STR3	9092:6520:6556:9086:6768:8652:19509:19379:9058:6535:10134:96:71269:6555:46084:55085:71266:19354:6751:103:19280:19346
