"","gene","baseMean","log2FC","stderror","padj","gene_id_cbs138"
"1","GWK60_A00121",938.741811387398,-1.71321683254116,0.14986854312618,1.88138757161026e-28,"CAGL0A00231g"
"2","GWK60_A00385",5006.24849027611,-1.56491207282555,0.117367743761536,2.03821653789018e-38,"CAGL0A00495g"
"3","GWK60_A01045",890.83844801883,-1.07266688215543,0.153060200847185,2.03227285699277e-11,"CAGL0A01155g"
"4","GWK60_A01375",74865.879838453,-1.18696967828714,0.118269456895489,3.10873749071267e-22,"CAGL0A01562g"
"5","GWK60_A02035",28406.8500678329,-1.50621772402072,0.411171514757227,0.000716203796708359,"CAGL0A02211g"
"6","GWK60_A02849",387.352806084123,-1.18067960594439,0.256675407218872,1.63884856517557e-05,"CAGL0A02992g"
"7","GWK60_A03047",141102.207081074,-1.33320840524497,0.140252588739854,4.61940011888355e-20,"CAGL0A03168g"
"8","GWK60_A03113",49660.1639225066,-1.88009702267295,0.209825052303681,6.05225665851477e-18,"CAGL0A03234g"
"9","GWK60_A03135",425.698803155245,-1.26251344423164,0.176799461753348,8.18183285050264e-12,"CAGL0A03256g"
"10","GWK60_A03157",40417.6992489631,-1.43734742515929,0.122657178025837,7.6697529995594e-30,"CAGL0A03278g"
"11","GWK60_A03267",29957.6365340253,-1.7919753449254,0.22213107404169,9.09374340445445e-15,"CAGL0A03388g"
"12","GWK60_A03421",10146.8881740519,-1.09652010576902,0.221132490470546,3.12202697131502e-06,"CAGL0A03542g"
"13","GWK60_A03531",3302.40741362156,-1.35632700946801,0.184112566473623,1.67187289817976e-12,"CAGL0A03652g"
"14","GWK60_A03553",191.771029038896,-1.74194598557872,0.395193124224505,3.77662419720294e-05,"CAGL0A03674g"
"15","GWK60_A03707",818.829583643703,-1.18870935606721,0.187385094307576,1.50934256886988e-09,"CAGL0A03828g"
"16","GWK60_A03905",8493.2793075964,-1.3592261315353,0.132081517506795,2.50454840338294e-23,"CAGL0A04015g"
"17","GWK60_A04059",3314.99688204055,-1.34713652083408,0.122336625758323,1.56805258150363e-26,"CAGL0A04169g"
"18","GWK60_A04411",52009.4203710553,-1.19234934274684,0.126059743952736,7.13282848417897e-20,"CAGL0A04521g"
"19","GWK60_B00121",3206.13476357342,-1.03797537454926,0.149642131622085,3.27949723338711e-11,"CAGL0B00286g"
"20","GWK60_B00187",2510.05208260125,-1.62357809371737,0.169426945015896,2.2894812563908e-20,"CAGL0B00352g"
"21","GWK60_B00209",1106.02020421047,-1.32701734888797,0.150969035849862,2.56661917348896e-17,"CAGL0B00374g"
"22","GWK60_B00407",75950.591330698,-1.35667281891138,0.150841158461349,4.48628112772835e-18,"CAGL0B00594g"
"23","GWK60_B00627",418.780958858774,-2.61577171795746,0.271489521667772,1.41948280353735e-20,"CAGL0B00792g"
