"","gene","baseMean.x","log2FC.x","stderror.x","padj.x","gene_id_bg2","gene.y","baseMean.y","log2FC.y","stderror.y","padj.y"
"1","CAGL0A00495g",1690.99678549882,-1.57026935501745,0.278583523867722,1.87909845691794e-07,"GWK60_A00385","GWK60_A00385",5006.24849027611,-1.56491207415647,0.117367717739882,2.03813544504174e-38
"2","CAGL0A01155g",497.159332338749,-1.17848546049395,0.224460264694866,1.38458604270172e-06,"GWK60_A01045","GWK60_A01045",890.83844801883,-1.07266688335105,0.153060190608787,2.03226593604676e-11
"3","CAGL0A03652g",2080.19533505045,-1.46058701084219,0.238894547354027,1.30103335990069e-08,"GWK60_A03531","GWK60_A03531",3302.40741362156,-1.35632700956944,0.184112542167569,1.67186069974203e-12
"4","CAGL0A03674g",309.955910019483,-1.21900071047794,0.25347250887727,1.15110180234246e-05,"GWK60_A03553","GWK60_A03553",191.771029038896,-1.74194598977626,0.395193153382347,3.77662968124442e-05
"5","CAGL0A03828g",532.014099379644,-1.5469656093347,0.206966144759662,1.93997599138209e-12,"GWK60_A03707","GWK60_A03707",818.829583643703,-1.18870935568548,0.187385084008072,1.50933917107701e-09
"6","CAGL0A04015g",6378.52774345534,-1.53438199062732,0.238570731800077,1.92762829966071e-09,"GWK60_A03905","GWK60_A03905",8493.2793075964,-1.35922613208409,0.13208149077795,2.50449412382268e-23
"7","CAGL0A04169g",1220.57267314039,-1.35129487802246,0.170772308088823,7.82215872675009e-14,"GWK60_A04059","GWK60_A04059",3314.99688204055,-1.34713652056016,0.122336602047771,1.56801547024438e-26
"8","CAGL0B00352g",1692.28620332034,-1.60894581032434,0.174247554479028,1.84372422390848e-18,"GWK60_B00187","GWK60_B00187",2510.05208260125,-1.62357809212715,0.16942692303657,2.28945389970378e-20
"9","CAGL0B00374g",665.436815900131,-1.16107633449305,0.196901336745455,4.50478527492932e-08,"GWK60_B00209","GWK60_B00209",1106.02020421047,-1.32701734741836,0.15096902259642,2.56660176686596e-17
"10","CAGL0B00594g",31109.1508914912,-1.02683793116147,0.186589441039054,3.80263482202148e-07,"GWK60_B00407","GWK60_B00407",75950.591330698,-1.35667281892288,0.150841129145207,4.4862097419439e-18
"11","CAGL0B00792g",267.020790441015,-2.03985125608491,0.326004852605868,5.60891441755087e-09,"GWK60_B00627","GWK60_B00627",418.780958858774,-2.61577171882205,0.271489524702452,1.4194842480007e-20
"12","CAGL0B01397g",2338.56760908134,-1.03396125432758,0.232573028180722,5.5356384321138e-05,"GWK60_B01199","GWK60_B01199",3631.68539165855,-1.16243803220057,0.166494215567166,2.40494196307576e-11
"13","CAGL0B02970g",912.471228849569,-1.95417086497891,0.341669497661903,1.20202923014497e-07,"GWK60_B02849","GWK60_B02849",1842.17613934098,-1.11157188219184,0.157647406366292,1.51424849404782e-11
"14","CAGL0B04125g",2378.18461845068,-1.33652902389589,0.195854092828507,1.64038734023831e-10,"GWK60_B03993","GWK60_B03993",3775.1617884766,-1.80106523560952,0.160626602965542,1.86662646710167e-27
"15","CAGL0B04169g",1754.9997630304,-1.55135572924779,0.16797203973002,1.83340629489987e-18,"GWK60_B04037","GWK60_B04037",2490.00557876511,-1.58164823858402,0.199156928990163,2.41587023945966e-14
"16","CAGL0B04433g",2149.59231353227,-1.59614985609519,0.300356830050812,1.01579575582214e-06,"GWK60_B04301","GWK60_B04301",3546.47719166502,-1.75120434412979,0.180893029920247,9.32782292841007e-21
"17","CAGL0B04873g",201.202933988466,-1.1846637399435,0.245032752002427,1.02061109742776e-05,"GWK60_B04719","GWK60_B04719",309.550470541083,-1.07617363634269,0.209124713167626,1.246164114727e-06
"18","CAGL0C00737g",1211.48457384477,-1.34411835078177,0.221625685496049,1.73122710751787e-08,"GWK60_C00561","GWK60_C00561",1931.3007626322,-1.27969175693586,0.157991377805546,7.01293684955421e-15
"19","CAGL0C01419g",37.3761518289105,-1.63903968022464,0.548352413513382,0.00921117877904053,"GWK60_C01001","GWK60_C01001",51.2658661657257,-1.29096759626801,0.48617916859564,0.0166208659227323
"20","CAGL0C01617g",33.3021268723536,-1.4235196231375,0.463890244005626,0.00739451633357783,"GWK60_C01221","GWK60_C01221",68.5580291538759,-1.16171570200156,0.403356567706687,0.00889920217959163
"21","CAGL0C01639g",2288.57486342282,-1.96653187954472,0.179024832409689,5.81211730430494e-26,"GWK60_C01243","GWK60_C01243",2770.25958370638,-2.0365841741788,0.159188746146623,2.07793524248678e-35
"22","CAGL0C01749g",765.032518443783,-1.86414562310038,0.277245607787965,3.07393879805035e-10,"GWK60_C01353","GWK60_C01353",3161.09781662398,-1.83916263544986,0.114861709562493,2.75865158766804e-55
"23","CAGL0C02211g",750.041582238125,-2.51259070994892,0.210375985003693,1.40860016175857e-30,"GWK60_C01815","GWK60_C01815",1104.44587221578,-1.57498128082169,0.168822031780993,2.32547880957556e-19
"24","CAGL0C02519g",1546.69095166677,-1.61660405815719,0.212872838826413,8.38544642748924e-13,"GWK60_C02123","GWK60_C02123",2305.84941322173,-1.66263906454329,0.153279927923248,9.1331875464653e-26
"25","CAGL0C03369g",5563.80182160931,-1.32481133681494,0.209893432379509,3.98972151145616e-09,"GWK60_C02981","GWK60_C02981",10640.1583520046,-1.31041000415171,0.157783424545275,1.34519270498167e-15
"26","CAGL0C03531g",2595.49631318454,-1.0579936299688,0.219050586995721,1.04398318187514e-05,"GWK60_C03135","GWK60_C03135",2619.82496381164,-1.04287118029815,0.118680669348827,2.6226279800361e-17
"27","CAGL0C03740g",298.058037176336,-1.6454726620293,0.253173214176004,1.26552608512859e-09,"GWK60_C03355","GWK60_C03355",4241.51623933576,-1.16776563417657,0.161749315743819,4.71331773742741e-12
"28","CAGL0C04565g",213.771374702079,-1.37027732481513,0.295054945840423,2.40178247445937e-05,"GWK60_C04081","GWK60_C04081",252.426485723525,-1.0563332255471,0.228274183912098,1.44795500802798e-05
"29","CAGL0D00220g",1290.97038310968,-1.67548993620812,0.229536263818932,6.66542671810726e-12,"GWK60_I00099","GWK60_I00099",1735.78133751855,-1.57677616297744,0.167254122490387,9.40036398613721e-20
"30","CAGL0D00550g",5449.8771643261,-1.26511846287644,0.23125034380781,4.53142462237672e-07,"GWK60_D00649","GWK60_D00649",10397.4178305179,-1.39881679502536,0.14377427921191,5.89127569179371e-21
"31","CAGL0D00880g",1986.87277764604,-1.42205370587696,0.235265971530661,1.93426852043121e-08,"GWK60_D01001","GWK60_D01001",4115.92948990905,-1.60841147579145,0.158886489259379,1.33671419708584e-22
"32","CAGL0D01562g",2271.72540986686,-1.12343771440728,0.323398483502891,0.002169189408524,"GWK60_D01683","GWK60_D01683",3493.67323454663,-1.13681274462423,0.124819274955824,1.68147779714311e-18
"33","CAGL0D01716g",2358.59422258288,-1.33772894966755,0.251264247459291,9.67961463474257e-07,"GWK60_D01837","GWK60_D01837",2794.15119207702,-1.14444637210333,0.131415387189572,5.01555335882483e-17
"34","CAGL0D02706g",1128.05971675692,-1.14341303182782,0.186774034947239,1.25438604648621e-08,"GWK60_D02871","GWK60_D02871",2233.89405237092,-1.36185105113239,0.143181625247497,4.39744130415309e-20
"35","CAGL0D02838g",1321.15796545858,-1.57351602601557,0.199029205084056,8.21621461149368e-14,"GWK60_D03003","GWK60_D03003",1758.65121188264,-1.61187652677577,0.156340647136112,2.07667116968032e-23
"36","CAGL0D03124g",2838.86585447766,-1.40647214689507,0.185659534957306,9.62506689742117e-13,"GWK60_D03289","GWK60_D03289",3820.47333071411,-1.55710118983315,0.19781299102904,4.07303311041466e-14
"37","CAGL0D03674g",3938.3537673777,-1.34728920749055,0.171847536745196,1.35027731000936e-13,"GWK60_D03839","GWK60_D03839",5449.06071527375,-1.18262325552085,0.185842323847013,1.33802629475828e-09
"38","CAGL0D04180g",1804.00856800519,-1.32936673310765,0.188482517797354,3.59250165994793e-11,"GWK60_D04345","GWK60_D04345",2906.75755817938,-1.30254485889159,0.176868689178043,1.69863109593872e-12
"39","CAGL0D04620g",224.332441865474,-2.16672845485488,0.392947390958325,3.60477911942637e-07,"GWK60_D04785","GWK60_D04785",330.269795144512,-1.57395224995955,0.229940145596921,6.04425049821024e-11
"40","CAGL0D04642g",472.92953178071,-1.35656700463273,0.206535035713204,8.19650872921945e-10,"GWK60_D04807","GWK60_D04807",375.286336865303,-1.0148207847217,0.199187650086071,1.60992220628875e-06
"41","CAGL0D04884g",2065.06593380874,-1.41663069399159,0.202521588394485,5.29183991403462e-11,"GWK60_D05071","GWK60_D05071",3369.83046101777,-1.90954923468211,0.169838408323559,1.36181959676476e-27
"42","CAGL0D05236g",460.000126189096,-1.61208116267967,0.209180729835333,3.67402572033395e-13,"GWK60_D05423","GWK60_D05423",294.747921807798,-1.07845402241156,0.216461169594162,2.79310909591331e-06
"43","CAGL0D05500g",1581.50754092778,-1.24264995352623,0.207453885819631,2.65259488539686e-08,"GWK60_D05687","GWK60_D05687",1903.37953815922,-1.28297186500335,0.173564750547797,1.39786666407729e-12
"44","CAGL0D05588g",1478.81763664286,-1.02951874878817,0.207448296323636,5.60203492255217e-06,"GWK60_D05775","GWK60_D05775",2276.7368547196,-1.19742321385434,0.163228967629711,2.07774478211775e-12
"45","CAGL0E00517g",1441.83943142407,-1.69562039959672,0.247757164016743,1.43971582516598e-10,"GWK60_E00297","GWK60_E00297",2108.16537635214,-1.88230228024985,0.16726929490878,1.24463091380881e-27
"46","CAGL0E00979g",1786.2560924432,-1.24166844273679,0.181834477997161,1.59612435618285e-10,"GWK60_E00759","GWK60_E00759",2157.28876902184,-1.55305632531983,0.14672919513236,1.36325729158543e-24
"47","CAGL0E01925g",825.701505638371,-1.52076439462159,0.182254383261211,2.89485352612724e-15,"GWK60_E01705","GWK60_E01705",937.301547609976,-1.25452981365083,0.151208649914534,1.440507985637e-15
"48","CAGL0E02255g",868.379038829294,-2.95808681022397,0.353842326582252,2.55472556576747e-15,"GWK60_E02035","GWK60_E02035",4668.67583789315,-2.82525889568862,0.183049365399283,2.39456612215925e-51
"49","CAGL0E02343g",841.696177487563,-1.61648313492593,0.192664011594713,2.04217108100652e-15,"GWK60_E02145","GWK60_E02145",1108.29311762684,-2.10013237216124,0.199553214588036,2.53532292025487e-24
"50","CAGL0E02673g",1399.3989380187,-1.6849612496788,0.201371010467126,2.45627781565724e-15,"GWK60_E02453","GWK60_E02453",1768.78342669383,-1.57779281504828,0.167876274560004,1.2269401597771e-19
"51","CAGL0E02937g",1746.00016657532,-1.22095710015273,0.199536996057573,1.27441076756456e-08,"GWK60_E02717","GWK60_E02717",2496.17361332775,-1.22559074653808,0.163420474037057,6.50491926056091e-13
"52","CAGL0E02959g",755.635160182615,-1.00215175717756,0.168338216379994,3.2743607208493e-08,"GWK60_E02739","GWK60_E02739",1116.58114639002,-1.0728626872715,0.153450483075334,2.25443892613363e-11
"53","CAGL0E03069g",1977.0665999256,-1.35645817907211,0.212013733085454,2.36699509187826e-09,"GWK60_E02827","GWK60_E02827",2271.60021882668,-1.64001180784398,0.183611968642045,7.74165304965271e-18
"54","CAGL0E03245g",6335.1071787504,-1.85203956816357,0.223857493484345,4.97941773588312e-15,"GWK60_E02981","GWK60_E02981",9339.46329448716,-1.7455459435292,0.200503847428137,5.11001653785905e-17
"55","CAGL0E05434g",566.193868756725,-1.17053236049477,0.235892650632614,5.61128382067999e-06,"GWK60_E05093","GWK60_E05093",1227.15023933331,-1.08876500369911,0.182177029815224,1.38183387173259e-08
