"","gene","baseMean.x","log2FC.x","stderror.x","padj.x","gene_id_bg2","gene.y","baseMean.y","log2FC.y","stderror.y","padj.y"
"1","CAGL0A00451g",5965.39308531247,1.49368073894766,0.165636337420639,1.1856646315659e-17,"GWK60_A00341","GWK60_A00341",6152.06768530472,1.16994098129494,0.130246326208035,4.96425173392747e-18
"2","CAGL0A01089g",13696.7847416658,4.47723467781301,0.210367722571556,8.1857315630408e-97,"GWK60_A00979","GWK60_A00979",29811.4570208671,4.29034235299518,0.127717977116048,1.13696884267308e-243
"3","CAGL0A01870g",749.495912005287,1.13817786099577,0.203124447841148,2.25372012962598e-07,"GWK60_A01683","GWK60_A01683",1893.87901214202,1.50798426671271,0.154490318930369,4.37409027254641e-21
"4","CAGL0A02145g",210.163474578575,1.51719243462532,0.308934096667917,7.08564343720763e-06,"GWK60_A01969","GWK60_A01969",284.730114568496,1.19946272735741,0.272578599960041,3.89171719715376e-05
"5","CAGL0A03905g",855.447273492433,2.26785182397498,0.271918218094918,2.92343064550676e-15,"GWK60_A03795","GWK60_A03795",1524.26587713839,1.31259230980892,0.166086592112899,3.22256212215983e-14
"6","CAGL0A04477g",2410.4341806872,1.21188783680164,0.153899025029022,1.03114886028306e-13,"GWK60_A04367","GWK60_A04367",3614.33485423575,1.15823699928586,0.111272639146178,7.87111978953083e-24
"7","CAGL0B00946g",18145.2997603536,1.44107002715248,0.166235227865705,2.14210517531206e-16,"GWK60_B00781","GWK60_B00781",16482.6701241003,1.10091148847485,0.116700488263625,8.89698559952927e-20
"8","CAGL0B01012g",256.526457353357,1.2863396578675,0.361425580858295,0.00162855826485519,"GWK60_B00847","GWK60_B00847",533.666075127853,1.62966353531605,0.248461212734217,3.90462078463549e-10
"9","CAGL0B01925g",2031.1698009506,1.02915375994595,0.179076631476315,1.03822672358737e-07,"GWK60_B01771","GWK60_B01771",5165.30480418576,1.0621610049787,0.11712186705542,2.33157911863391e-18
"10","CAGL0B02233g",1130.98774803203,1.29427360865398,0.190073458028252,1.78489901535092e-10,"GWK60_B02079","GWK60_B02079",1936.16432436636,1.02618524507568,0.106298962387033,1.19232571768376e-20
"11","CAGL0B02755g",6778.49098873008,2.36458375460973,0.148543787925032,3.93873128048299e-54,"GWK60_B02607","GWK60_B02607",4474.44086072153,1.72527894329248,0.12131749936579,1.22176150988043e-43
"12","CAGL0B02838g",5395.09321305612,2.98464776158519,0.348826561458129,5.16534424109938e-16,"GWK60_B02717","GWK60_B02717",7263.82312243798,3.04840023096057,0.134719041086442,1.7246211062143e-110
