	BG2_protein	CBS138_protein	sacCer_protein
Number of genes	5220	5213	6014
Number of genes in orthogroups	5195	5180	5333
Number of unassigned genes	25	33	681
Percentage of genes in orthogroups	99.5	99.4	88.7
Percentage of unassigned genes	0.5	0.6	11.3
Number of orthogroups containing species	4890	4887	4520
Percentage of orthogroups containing species	98.3	98.2	90.9
Number of species-specific orthogroups	1	1	71
Number of genes in species-specific orthogroups	11	10	370
Percentage of genes in species-specific orthogroups	0.2	0.2	6.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	85	88	455
'1	4667	4660	4000
'2	196	200	437
'3	17	19	49
'4	2	2	16
'5	2	2	6
'6	1	0	2
'7	0	0	2
'8	1	1	1
'9	0	0	1
'10	2	1	1
11-15	1	1	0
16-20	0	1	0
21-50	1	0	4
51-100	0	0	1
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	1.7	1.8	9.1
'1	93.8	93.7	80.4
'2	3.9	4.0	8.8
'3	0.3	0.4	1.0
'4	0.0	0.0	0.3
'5	0.0	0.0	0.1
'6	0.0	0.0	0.0
'7	0.0	0.0	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.0	0.0	0.0
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.1
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	4667	4660	4000
'2	392	400	874
'3	51	57	147
'4	8	8	64
'5	10	10	30
'6	6	0	12
'7	0	0	14
'8	8	8	8
'9	0	0	9
'10	20	10	10
11-15	11	11	0
16-20	0	16	0
21-50	22	0	114
51-100	0	0	51
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	89.4	89.4	66.5
'2	7.5	7.7	14.5
'3	1.0	1.1	2.4
'4	0.2	0.2	1.1
'5	0.2	0.2	0.5
'6	0.1	0.0	0.2
'7	0.0	0.0	0.2
'8	0.2	0.2	0.1
'9	0.0	0.0	0.1
'10	0.4	0.2	0.2
11-15	0.2	0.2	0.0
16-20	0.0	0.3	0.0
21-50	0.4	0.0	1.9
51-100	0.0	0.0	0.8
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
