!
!Date: 05/27/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
MSN2	YMR037C	AAC1	YMR056C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	AAD6	YFL056C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ADD37	YMR184W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ADH1	YOL086C	positive	transcription		transcription factor	positive	transcription		high-throughput	RNA-sequencing evidence	CEN.PK	Kuang Z, et al. (2017) PMID:28949295
MSN2	YMR037C	ADP1	YCR011C		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
MSN2	YMR037C	ADY2	YCR010C	negative	transcription		transcription factor	negative	transcription		high-throughput	RNA-sequencing evidence	CEN.PK	Kuang Z, et al. (2017) PMID:28949295
MSN2	YMR037C	AGE1	YDR524C		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
MSN2	YMR037C	AGP1	YCL025C	negative	transcription		transcription factor	negative	transcription		high-throughput	RNA-sequencing evidence	CEN.PK	Kuang Z, et al. (2017) PMID:28949295
MSN2	YMR037C	AIM17	YHL021C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
MSN2	YMR037C	AIM23	YJL131C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	AIM26	YKL037W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	AIM32	YML050W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	AIM41	YOR215C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ALD4	YOR374W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ANR2	YKL047W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	APD1	YBR151W	positive	transcription		transcription factor	positive	transcription		high-throughput	RNA-sequencing evidence	CEN.PK	Kuang Z, et al. (2017) PMID:28949295
MSN2	YMR037C	ARC19	YKL013C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ARO10	YDR380W	negative	transcription		transcription factor	negative	transcription		high-throughput	RNA-sequencing evidence	CEN.PK	Kuang Z, et al. (2017) PMID:28949295
MSN2	YMR037C	ARO8	YGL202W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ASK1	YKL052C		transcription		transcription factor		transcription		high-throughput	chromatin immunoprecipitation-chip evidence	W303	MacIsaac KD, et al. (2006) PMID:16522208
MSN2	YMR037C	ASP3-1	YLR155C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
MSN2	YMR037C	ASP3-2	YLR157C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
MSN2	YMR037C	ASP3-3	YLR158C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
MSN2	YMR037C	ASP3-4	YLR160C		transcription		transcription factor		transcription		high-throughput	DNA to cDNA expression microarray evidence	S288C	Hu Z, et al. (2007) PMID:17417638
MSN2	YMR037C	ATC1	YDR184C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ATG29	YPL166W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ATG39	YLR312C		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
MSN2	YMR037C	ATG42	YBR139W		transcription	cellular response to heat	transcription factor		transcription	cellular response to heat	high-throughput	chromatin immunoprecipitation-chip evidence	S288C	Venters BJ, et al. (2011) PMID:21329885
