!
!Date: 05/27/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Regulator	Regulator Systematic Name	Target	Target Systematic Name	Direction	Regulation of	Happens During	Regulator Type	Direction	Regulation Of	Happens During	Method	Evidence	Strain Background	Reference
UPC2	YDR213W	ERG1	YGR175C	positive	transcription	cellular response to iron ion starvation	transcription factor	positive	transcription	cellular response to iron ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Jordá T, et al. (2022) PMID:36382795
UPC2	YDR213W	ERG11	YHR007C	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	transcription factor	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Woods K and Höfken T (2016) PMID:26448198
UPC2	YDR213W	ERG11	YHR007C	positive	transcription	cellular response to iron ion starvation	transcription factor	positive	transcription	cellular response to iron ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Jordá T, et al. (2022) PMID:36382795
UPC2	YDR213W	ERG2	YMR202W	positive	transcription	cellular response to iron ion starvation	transcription factor	positive	transcription	cellular response to iron ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Jordá T, et al. (2022) PMID:36382795
UPC2	YDR213W	ERG25	YGR060W	positive	transcription	cellular response to iron ion starvation	transcription factor	positive	transcription	cellular response to iron ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Jordá T, et al. (2022) PMID:36382795
UPC2	YDR213W	ERG3	YLR056W	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	transcription factor	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Woods K and Höfken T (2016) PMID:26448198
UPC2	YDR213W	ERG3	YLR056W	positive	transcription	cellular response to iron ion starvation	transcription factor	positive	transcription	cellular response to iron ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Jordá T, et al. (2022) PMID:36382795
UPC2	YDR213W	ERG5	YMR015C	positive	transcription	cellular response to iron ion starvation	transcription factor	positive	transcription	cellular response to iron ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Jordá T, et al. (2022) PMID:36382795
UPC2	YDR213W	ERG7	YHR072W	positive	transcription	cellular response to iron ion starvation	transcription factor	positive	transcription	cellular response to iron ion starvation	manually curated	quantitative reverse transcription polymerase chain reaction evidence	S288C	Jordá T, et al. (2022) PMID:36382795
UPC2	YDR213W	FHN1	YGR131W	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	transcription factor	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Woods K and Höfken T (2016) PMID:26448198
UPC2	YDR213W	FLO11	YIR019C	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	transcription factor	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Woods K and Höfken T (2016) PMID:26448198
UPC2	YDR213W	NCP1	YHR042W	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	transcription factor	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Woods K and Höfken T (2016) PMID:26448198
UPC2	YDR213W	NPR1	YNL183C	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	transcription factor	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Woods K and Höfken T (2016) PMID:26448198
UPC2	YDR213W	PRM1	YNL279W	positive	transcription	cellular response to pheromone	transcription factor	positive	transcription	cellular response to pheromone	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Höfken T (2017) PMID:28986257
UPC2	YDR213W	PRM4	YPL156C	positive	transcription	cellular response to pheromone	transcription factor	positive	transcription	cellular response to pheromone	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Höfken T (2017) PMID:28986257
UPC2	YDR213W	PRR2	YDL214C	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	transcription factor	positive	transcription	regulation of filamentous growth of a population of unicellular organisms in response to starvation	manually curated	beta-galactosidase reporter gene assay evidence	Sigma1278b	Woods K and Höfken T (2016) PMID:26448198
