identity,coverage,qlength,slength,alength,bitscore,E-value,norm_bitscore,qcov,scov,query_y,subject_y
100.0,100.0,103.0,103.0,103.0,207.0,4.1100000000000003e-72,2.0097087378640777,1.0,1.0,QNG12155.1,XP_002999509.1
95.461,100.0,1401.0,1396.0,1410.0,2416.0,0.0,1.7244825124910779,1.0,1.0,QNG12159.1,XP_002999510.1
97.059,100.0,1462.0,1460.0,1462.0,2830.0,0.0,1.9357045143638851,1.0,1.0,QNG12161.1,XP_002999512.1
98.261,100.0,115.0,115.0,115.0,237.0,1.38e-83,2.0608695652173914,1.0,1.0,QNG12233.1,XP_002999513.1
100.0,100.0,76.0,76.0,76.0,159.0,4.939999999999999e-54,2.0921052631578947,1.0,1.0,QNG12313.1,XP_002999514.1
98.701,100.0,77.0,77.0,77.0,152.0,2.46e-51,1.974025974025974,1.0,1.0,QNG12372.1,XP_002999515.1
98.649,100.0,74.0,74.0,74.0,147.0,1.84e-49,1.9864864864864864,1.0,1.0,QNG12385.1,XP_002999516.1
100.0,100.0,71.0,71.0,71.0,145.0,1.5399999999999998e-48,2.0422535211267605,1.0,1.0,QNG12426.1,XP_002999517.1
100.0,100.0,94.0,94.0,94.0,191.0,3.44e-66,2.0319148936170213,1.0,1.0,QNG12473.1,XP_002999519.1
100.0,100.0,84.0,84.0,84.0,170.0,6.780000000000001e-58,2.0238095238095237,1.0,1.0,QNG12476.1,XP_002999520.1
100.0,100.0,149.0,149.0,149.0,309.0,7.63e-111,2.0738255033557045,1.0,1.0,QNG12567.1,XP_002999521.1
100.0,100.0,82.0,82.0,82.0,167.0,7.92e-57,2.0365853658536586,1.0,1.0,QNG12573.1,XP_002999522.1
100.0,100.0,34.0,34.0,34.0,75.1,1.2300000000000002e-21,2.2088235294117644,1.0,1.0,QNG12595.1,XP_002999523.1
100.0,100.0,73.0,73.0,73.0,149.0,6.16e-50,2.041095890410959,1.0,1.0,QNG12628.1,XP_002999524.1
100.0,100.0,80.0,80.0,80.0,167.0,7.33e-57,2.0875,1.0,1.0,QNG12720.1,XP_002999525.1
100.0,100.0,37.0,37.0,37.0,73.9,4.1200000000000005e-21,1.9972972972972975,1.0,1.0,QNG12744.1,XP_002999526.1
100.0,100.0,63.0,63.0,63.0,112.0,7.91e-36,1.7777777777777777,1.0,1.0,QNG12815.1,XP_002999527.1
100.0,100.0,70.0,70.0,70.0,144.0,3.99e-48,2.057142857142857,1.0,1.0,QNG12849.1,XP_002999528.1
100.0,100.0,76.0,76.0,76.0,147.0,2.34e-49,1.9342105263157894,1.0,1.0,QNG12856.1,XP_002999529.1
100.0,100.0,79.0,79.0,79.0,155.0,3.1199999999999998e-52,1.9620253164556962,1.0,1.0,QNG12955.1,XP_002999530.1
100.0,100.0,49.0,49.0,49.0,103.0,2.2e-32,2.1020408163265305,1.0,1.0,QNG12972.1,XP_002999531.1
100.0,100.0,120.0,120.0,120.0,244.0,3.5600000000000005e-86,2.033333333333333,1.0,1.0,QNG12992.1,XP_002999532.1
98.901,100.0,91.0,146.0,91.0,183.0,2.97e-62,2.010989010989011,1.0,0.6232876712328768,QNG13025.1,XP_002999533.1
100.0,100.0,102.0,102.0,102.0,212.0,3.3699999999999997e-74,2.0784313725490198,1.0,1.0,QNG13107.1,XP_002999535.1
100.0,100.0,133.0,133.0,133.0,263.0,3.92e-93,1.9774436090225564,1.0,1.0,QNG13140.1,XP_002999536.1
98.571,100.0,70.0,70.0,70.0,142.0,1.7e-47,2.0285714285714285,1.0,1.0,QNG13233.1,XP_002999537.1
100.0,100.0,50.0,50.0,50.0,101.0,1.18e-31,2.02,1.0,1.0,QNG13421.1,XP_002999538.1
99.01,100.0,101.0,101.0,101.0,203.0,1.47e-70,2.00990099009901,1.0,1.0,QNG13454.1,XP_002999539.1
100.0,100.0,67.0,67.0,67.0,125.0,7.68e-41,1.8656716417910448,1.0,1.0,QNG13539.1,XP_002999540.1
100.0,100.0,93.0,93.0,93.0,191.0,5.31e-66,2.053763440860215,1.0,1.0,QNG13597.1,XP_002999541.1
99.286,100.0,140.0,140.0,140.0,289.0,3.2400000000000003e-103,2.0642857142857145,1.0,1.0,QNG13810.1,XP_002999543.1
100.0,100.0,95.0,95.0,95.0,187.0,1.3600000000000001e-64,1.9684210526315788,1.0,1.0,QNG13928.1,XP_002999544.1
100.0,100.0,108.0,108.0,108.0,219.0,9.180000000000001e-77,2.0277777777777777,1.0,1.0,QNG14021.1,XP_002999546.1
100.0,100.0,78.0,78.0,78.0,155.0,2.52e-52,1.9871794871794872,1.0,1.0,QNG14038.1,XP_002999547.1
99.146,100.0,820.0,820.0,820.0,1578.0,0.0,1.924390243902439,1.0,1.0,QNG14182.1,XP_002999548.1
100.0,100.0,61.0,61.0,61.0,124.0,1.1199999999999999e-40,2.0327868852459017,1.0,1.0,QNG14239.1,XP_002999550.1
100.0,100.0,70.0,70.0,70.0,138.0,1.1399999999999999e-45,1.9714285714285715,1.0,1.0,QNG14339.1,XP_002999551.1
100.0,100.0,72.0,72.0,72.0,148.0,1.51e-49,2.0555555555555554,1.0,1.0,QNG14432.1,XP_002999552.1
98.889,100.0,90.0,90.0,90.0,181.0,5.27e-62,2.011111111111111,1.0,1.0,QNG14446.1,XP_002999553.1
100.0,100.0,93.0,93.0,93.0,189.0,4.09e-65,2.032258064516129,1.0,1.0,QNG14515.1,XP_002999554.1
100.0,100.0,84.0,84.0,84.0,173.0,2.87e-59,2.0595238095238093,1.0,1.0,QNG14586.1,XP_002999555.1
100.0,100.0,88.0,88.0,88.0,170.0,5.76e-58,1.9318181818181819,1.0,1.0,QNG16120.1,XP_002999556.1
100.0,100.0,57.0,57.0,57.0,114.0,1.42e-36,2.0,1.0,1.0,QNG16129.1,XP_002999557.1
100.0,100.0,85.0,85.0,85.0,168.0,3.24e-57,1.9764705882352942,1.0,1.0,QNG16165.1,XP_002999558.1
100.0,100.0,82.0,82.0,82.0,171.0,2.81e-58,2.0853658536585367,1.0,1.0,QNG14666.1,XP_002999559.1
100.0,100.0,85.0,85.0,85.0,175.0,8.25e-60,2.0588235294117645,1.0,1.0,QNG14691.1,XP_002999560.1
100.0,100.0,63.0,63.0,63.0,127.0,1.6099999999999999e-41,2.015873015873016,1.0,1.0,QNG14756.1,XP_002999562.1
73.576,83.0,4336.0,5492.0,3499.0,4584.0,1.78e-06,1.0571955719557196,0.8069649446494465,0.6371085214857976,QNG16703.1,XP_002999563.1
100.0,100.0,71.0,71.0,71.0,144.0,2.4699999999999997e-48,2.028169014084507,1.0,1.0,QNG14944.1,XP_002999566.1
99.14,93.0,1083.0,1271.0,681.0,798.0,0.0,0.7368421052631579,0.628808864265928,0.5357985837922895,QNG14947.1,XP_002999568.1
100.0,100.0,94.0,94.0,94.0,183.0,6.65e-63,1.946808510638298,1.0,1.0,QNG15007.1,XP_002999570.1
100.0,100.0,68.0,68.0,68.0,145.0,1.8099999999999997e-48,2.1323529411764706,1.0,1.0,QNG15132.1,XP_002999572.1
100.0,100.0,106.0,106.0,106.0,201.0,2.2499999999999998e-69,1.8962264150943395,1.0,1.0,QNG15146.1,XP_002999573.1
100.0,100.0,74.0,74.0,74.0,152.0,1.97e-51,2.054054054054054,1.0,1.0,QNG15218.1,XP_002999574.1
98.42,63.0,1208.0,1170.0,443.0,790.0,3.35e-99,0.6539735099337748,0.3667218543046358,0.3786324786324786,QNG15392.1,XP_002999575.1
100.0,100.0,94.0,94.0,94.0,200.0,1.01e-69,2.127659574468085,1.0,1.0,QNG15541.1,XP_002999577.1
100.0,100.0,142.0,142.0,142.0,288.0,8.860000000000001e-103,2.028169014084507,1.0,1.0,QNG15646.1,XP_002999578.1
100.0,100.0,64.0,64.0,64.0,119.0,2.8899999999999997e-38,1.859375,1.0,1.0,QNG15653.1,XP_002999579.1
100.0,100.0,93.0,93.0,93.0,184.0,3.06e-63,1.978494623655914,1.0,1.0,QNG15702.1,XP_002999580.1
99.0,100.0,100.0,100.0,100.0,199.0,5.649999999999999e-69,1.99,1.0,1.0,QNG15728.1,XP_002999581.1
