Orthogroup	BG2_protein	CBS138_protein
OG0000001	QNG13052.1	XP_445700.1
OG0000001	QNG15956.1	XP_447262.1
OG0000001	QNG16708.1	XP_449350.1
OG0000001	QNG15394.1	XP_448232.1
OG0000001	QNG13322.1	XP_445979.1
OG0000001	QNG14606.1, QNG13050.1, QNG12527.1	XP_445189.1
OG0000001	QNG14878.1, QNG14879.1, QNG12107.1, QNG13323.1	XP_445980.1
OG0000001	QNG15398.1	XP_002999576.1
OG0000001	QNG13324.1	XP_445981.1
OG0000001	QNG16704.1	XP_449348.1
OG0000001	QNG12557.1	XP_445219.1
OG0000006	QNG12741.1, QNG15599.1	XP_448432.1, XP_445408.1
OG0000006	QNG12893.1	XP_445544.1
OG0000006	QNG13867.1	XP_446529.1
OG0000006	QNG13844.1	XP_446506.1
OG0000007	QNG14851.1	XP_447690.2, XP_002999571.1, XP_447689.1, XP_002999565.1, XP_002999564.1, XP_002999563.1, XP_449203.2, XP_446806.1, XP_446805.1, XP_447260.1, XP_002999584.1, XP_002999534.1, XP_445761.1, XP_002999597.1, XP_002999598.1, XP_445192.1
OG0000009	QNG14546.1	XP_447201.1
OG0000009	QNG12683.1	XP_445350.1
OG0000009	QNG14547.1	XP_447202.1
OG0000009	QNG12682.1	XP_445348.1, XP_445347.1, XP_445349.1, XP_445346.1
OG0000009	QNG12438.1, QNG12685.1	XP_445352.1
OG0000010	QNG12756.1	XP_002999585.1
OG0000010	QNG12312.1, QNG15396.1	XP_448233.1
OG0000010	QNG14140.1, QNG14880.1, QNG15395.1	XP_002999542.1
OG0000011	QNG16285.1	XP_449106.1
OG0000011	QNG15643.1	XP_448476.1
OG0000011	QNG12349.1	XP_445015.1
OG0000011	QNG14508.1	XP_447164.1
OG0000013	QNG16199.1, QNG14316.1, QNG14317.1, QNG14319.1, QNG14321.1, QNG14318.1, QNG14320.1	XP_446980.1
OG0000013	QNG16198.1	XP_002999586.1, XP_446981.1
OG0000014	QNG12434.1	XP_445098.1
OG0000014	QNG12435.1	XP_445099.1
OG0000014	QNG12437.1	XP_445101.1
OG0000014	QNG12433.1	XP_445097.1
OG0000014	QNG12436.1	XP_445100.1
OG0000015	QNG16316.1	XP_449074.1
OG0000015	QNG13829.1	XP_446491.1
OG0000015	QNG17053.1	XP_449691.1
OG0000016	QNG15303.1	XP_448141.1
OG0000016	QNG16474.1	XP_448915.1
OG0000016	QNG14072.1	XP_446739.1
OG0000017	QNG15054.1	XP_447893.1
OG0000018	QNG16542.1	XP_449187.1
OG0000018	QNG15861.1	XP_448689.1
OG0000018	QNG16033.1	XP_447339.1
OG0000018	QNG16058.1	XP_447364.1
OG0000021	QNG12521.1	XP_445184.1
OG0000021	QNG12792.1	XP_445447.1
OG0000021	QNG14288.1	XP_446953.1
OG0000022	QNG12529.1	XP_445191.1
OG0000022	QNG14616.1	XP_448803.1
OG0000022	QNG14994.1	XP_447832.1
OG0000023	QNG15385.1	XP_448224.1
OG0000023	QNG13141.1	XP_445790.1
OG0000023	QNG15386.1	XP_448225.1
OG0000024	QNG15568.1	XP_448401.1
OG0000024	QNG13744.1	XP_446406.1
OG0000024	QNG17312.1	XP_449945.1
OG0000025	QNG13910.1	XP_446574.1
OG0000025	QNG16084.1	XP_447392.1
OG0000025	QNG16013.1	XP_447319.1
OG0000027	QNG14100.1	XP_446765.1
OG0000027	QNG12479.1	XP_445142.1
OG0000027	QNG12480.1	XP_445143.1
OG0000028	QNG13208.1	XP_445860.1
OG0000028	QNG12656.1	XP_445319.1
OG0000029	QNG16999.1	XP_445354.1, XP_449637.1, XP_447226.1
OG0000030	QNG17000.1, QNG14570.1	XP_445355.1
OG0000030	QNG12688.1	XP_447225.1, XP_449638.1
OG0000031	QNG13714.1	XP_446377.1
OG0000031	QNG17313.1	XP_449946.1
OG0000031	QNG13745.1	XP_446407.1
OG0000032	QNG16519.1	XP_449164.1
OG0000032	QNG13774.1	XP_446436.1
OG0000032	QNG13828.1	XP_446490.1
OG0000033	QNG12157.1	XP_444824.1
OG0000033	QNG14608.1	XP_445420.1
OG0000034	QNG12407.1	XP_445072.1
OG0000034	QNG16835.1	XP_449477.1
OG0000035	QNG13430.1	XP_446088.1
OG0000035	QNG16780.1	XP_449421.1
OG0000036	QNG14086.1	XP_446753.1
OG0000036	QNG17073.1	XP_449711.1
OG0000037	QNG14893.1	XP_447731.1
OG0000037	QNG14105.1	XP_446770.1
OG0000038	QNG14561.1	XP_447215.1
OG0000038	QNG14560.1	XP_447216.1
OG0000039	QNG17076.1	XP_449714.1
OG0000039	QNG14678.1	XP_447519.1
OG0000039	QNG14679.1	XP_447520.1
OG0000040	QNG14937.1	XP_447774.1
OG0000040	QNG14750.1	XP_447590.1
OG0000041	QNG15709.1	XP_448539.1
OG0000041	QNG14838.1	XP_447677.1
OG0000042	QNG15031.1	XP_447870.1
OG0000042	QNG15038.1	XP_447877.1
OG0000043	QNG15810.1	XP_448640.1
OG0000043	QNG15505.1	XP_448339.1
OG0000044	QNG15720.1	XP_448550.1
OG0000044	QNG15719.1	XP_448549.1
OG0000044	QNG15718.1	XP_448548.1
OG0000045	QNG16695.1	XP_449340.1
OG0000045	QNG15942.1	XP_448771.1
OG0000046	QNG16154.1	XP_447461.1
OG0000046	QNG17028.1	XP_449665.1
