Orthogroup	Species	BG2_protein	Orthologs
OG0000001	CBS138_protein	QNG13052.1	XP_445700.1
OG0000001	CBS138_protein	QNG15956.1	XP_447262.1
OG0000001	CBS138_protein	QNG16708.1	XP_449350.1
OG0000001	CBS138_protein	QNG15394.1	XP_448232.1
OG0000001	CBS138_protein	QNG13322.1	XP_445979.1
OG0000001	CBS138_protein	QNG14606.1, QNG13050.1, QNG12527.1	XP_445189.1
OG0000001	CBS138_protein	QNG14878.1, QNG14879.1, QNG12107.1, QNG13323.1	XP_445980.1
OG0000001	CBS138_protein	QNG15398.1	XP_002999576.1
OG0000001	CBS138_protein	QNG13324.1	XP_445981.1
OG0000001	CBS138_protein	QNG16704.1	XP_449348.1
OG0000001	CBS138_protein	QNG12557.1	XP_445219.1
OG0000006	sacCer_protein	QNG12741.1, QNG15599.1	NP_010052.1, NP_014190.1
OG0000006	CBS138_protein	QNG12741.1, QNG15599.1	XP_448432.1, XP_445408.1
OG0000006	sacCer_protein	QNG12893.1	NP_012500.3
OG0000006	CBS138_protein	QNG12893.1	XP_445544.1
OG0000006	sacCer_protein	QNG13867.1	NP_013076.1, NP_009396.2
OG0000006	CBS138_protein	QNG13867.1	XP_446529.1
OG0000006	sacCer_protein	QNG13844.1	NP_011029.3, NP_009478.1
OG0000006	CBS138_protein	QNG13844.1	XP_446506.1
OG0000007	CBS138_protein	QNG14851.1	XP_447690.2, XP_002999571.1, XP_447689.1, XP_002999565.1, XP_002999564.1, XP_002999563.1, XP_449203.2, XP_446806.1, XP_446805.1, XP_447260.1, XP_002999584.1, XP_002999534.1, XP_445761.1, XP_002999597.1, XP_002999598.1, XP_445192.1
OG0000008	sacCer_protein	QNG12177.1	NP_011960.2
OG0000008	sacCer_protein	QNG12179.1	NP_011964.1
OG0000008	sacCer_protein	QNG12198.1, QNG12178.1	NP_010632.1, NP_011962.1
OG0000009	CBS138_protein	QNG14546.1	XP_447201.1
OG0000009	CBS138_protein	QNG12683.1	XP_445350.1
OG0000009	CBS138_protein	QNG14547.1	XP_447202.1
OG0000009	CBS138_protein	QNG12682.1	XP_445348.1, XP_445347.1, XP_445349.1, XP_445346.1
OG0000009	CBS138_protein	QNG12438.1, QNG12685.1	XP_445352.1
OG0000010	CBS138_protein	QNG12756.1	XP_002999585.1
OG0000010	CBS138_protein	QNG12312.1, QNG15396.1	XP_448233.1
OG0000010	CBS138_protein	QNG14140.1, QNG14880.1, QNG15395.1	XP_002999542.1
OG0000011	sacCer_protein	QNG16285.1	NP_009624.4
OG0000011	CBS138_protein	QNG16285.1	XP_449106.1
OG0000011	sacCer_protein	QNG15643.1, QNG12349.1	NP_010796.1, NP_009905.3
OG0000011	CBS138_protein	QNG15643.1	XP_448476.1
OG0000011	CBS138_protein	QNG12349.1	XP_445015.1
OG0000011	sacCer_protein	QNG14508.1	NP_009625.1
OG0000011	CBS138_protein	QNG14508.1	XP_447164.1
OG0000013	CBS138_protein	QNG16199.1, QNG14316.1, QNG14317.1, QNG14319.1, QNG14321.1, QNG14318.1, QNG14320.1	XP_446980.1
OG0000013	CBS138_protein	QNG16198.1	XP_002999586.1, XP_446981.1
OG0000014	CBS138_protein	QNG12434.1	XP_445098.1
OG0000014	CBS138_protein	QNG12435.1	XP_445099.1
OG0000014	CBS138_protein	QNG12437.1	XP_445101.1
OG0000014	CBS138_protein	QNG12433.1	XP_445097.1
OG0000014	CBS138_protein	QNG12436.1	XP_445100.1
OG0000015	sacCer_protein	QNG16316.1	NP_010203.1
OG0000015	CBS138_protein	QNG16316.1	XP_449074.1
OG0000015	sacCer_protein	QNG13829.1, QNG17053.1	NP_011601.3, NP_013235.1, NP_013145.1
OG0000015	CBS138_protein	QNG13829.1	XP_446491.1
OG0000015	CBS138_protein	QNG17053.1	XP_449691.1
OG0000016	sacCer_protein	QNG15303.1	NP_014333.1, NP_012143.2
OG0000016	CBS138_protein	QNG15303.1	XP_448141.1
OG0000016	sacCer_protein	QNG16474.1	NP_012968.4
OG0000016	CBS138_protein	QNG16474.1	XP_448915.1
OG0000016	sacCer_protein	QNG14072.1	NP_012419.1
OG0000016	CBS138_protein	QNG14072.1	XP_446739.1
OG0000017	sacCer_protein	QNG15054.1	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1
OG0000017	CBS138_protein	QNG15054.1	XP_447893.1
OG0000018	sacCer_protein	QNG16542.1, QNG15861.1, QNG16033.1, QNG16058.1	NP_015154.1, NP_012049.1
OG0000018	CBS138_protein	QNG16542.1	XP_449187.1
OG0000018	CBS138_protein	QNG15861.1	XP_448689.1
OG0000018	CBS138_protein	QNG16033.1	XP_447339.1
OG0000018	CBS138_protein	QNG16058.1	XP_447364.1
OG0000021	sacCer_protein	QNG12521.1	NP_013275.1
OG0000021	CBS138_protein	QNG12521.1	XP_445184.1
OG0000021	sacCer_protein	QNG12792.1	NP_010217.1
OG0000021	CBS138_protein	QNG12792.1	XP_445447.1
OG0000021	sacCer_protein	QNG14288.1	NP_014389.3
OG0000021	CBS138_protein	QNG14288.1	XP_446953.1
OG0000022	sacCer_protein	QNG12529.1, QNG14616.1, QNG14994.1	NP_010981.3, NP_010982.1, NP_010976.1
OG0000022	CBS138_protein	QNG12529.1	XP_445191.1
OG0000022	CBS138_protein	QNG14616.1	XP_448803.1
OG0000022	CBS138_protein	QNG14994.1	XP_447832.1
OG0000023	sacCer_protein	QNG15385.1	NP_013719.1
OG0000023	CBS138_protein	QNG15385.1	XP_448224.1
OG0000023	sacCer_protein	QNG13141.1	NP_014632.1
OG0000023	CBS138_protein	QNG13141.1	XP_445790.1
OG0000023	sacCer_protein	QNG15386.1	NP_013721.1
OG0000023	CBS138_protein	QNG15386.1	XP_448225.1
OG0000024	sacCer_protein	QNG15568.1, QNG13744.1	NP_013446.1, NP_011546.3
OG0000024	CBS138_protein	QNG15568.1	XP_448401.1
OG0000024	CBS138_protein	QNG13744.1	XP_446406.1
OG0000024	sacCer_protein	QNG17312.1	NP_014036.1
OG0000024	CBS138_protein	QNG17312.1	XP_449945.1
OG0000025	sacCer_protein	QNG13910.1	NP_013473.1
OG0000025	CBS138_protein	QNG13910.1	XP_446574.1
OG0000025	sacCer_protein	QNG16084.1, QNG16013.1	NP_010884.1, NP_012579.1
OG0000025	CBS138_protein	QNG16084.1	XP_447392.1
OG0000025	CBS138_protein	QNG16013.1	XP_447319.1
OG0000027	sacCer_protein	QNG14100.1	NP_011713.1
OG0000027	CBS138_protein	QNG14100.1	XP_446765.1
OG0000027	sacCer_protein	QNG12479.1, QNG12480.1	NP_012549.3
OG0000027	CBS138_protein	QNG12479.1	XP_445142.1
OG0000027	CBS138_protein	QNG12480.1	XP_445143.1
OG0000028	sacCer_protein	QNG13208.1	NP_013029.3, NP_011828.1
OG0000028	CBS138_protein	QNG13208.1	XP_445860.1
OG0000028	sacCer_protein	QNG12656.1	NP_013052.1, NP_013030.1
OG0000028	CBS138_protein	QNG12656.1	XP_445319.1
OG0000029	sacCer_protein	QNG14571.1, QNG12687.1	NP_009564.1
OG0000029	sacCer_protein	QNG16999.1	NP_014367.1
OG0000029	CBS138_protein	QNG16999.1	XP_445354.1, XP_449637.1, XP_447226.1
OG0000030	sacCer_protein	QNG17000.1, QNG14570.1, QNG12688.1	NP_014368.1, NP_009563.1
OG0000030	CBS138_protein	QNG17000.1, QNG14570.1	XP_445355.1
OG0000030	CBS138_protein	QNG12688.1	XP_447225.1, XP_449638.1
OG0000031	sacCer_protein	QNG13714.1, QNG17313.1	NP_014038.1
OG0000031	CBS138_protein	QNG13714.1	XP_446377.1
OG0000031	CBS138_protein	QNG17313.1	XP_449946.1
OG0000031	sacCer_protein	QNG13745.1	NP_013447.1
OG0000031	CBS138_protein	QNG13745.1	XP_446407.1
OG0000032	sacCer_protein	QNG16519.1	NP_015321.1
OG0000032	CBS138_protein	QNG16519.1	XP_449164.1
OG0000032	sacCer_protein	QNG13774.1, QNG13828.1	NP_011600.3
OG0000032	CBS138_protein	QNG13774.1	XP_446436.1
OG0000032	CBS138_protein	QNG13828.1	XP_446490.1
OG0000033	sacCer_protein	QNG12157.1, QNG14608.1	NP_015518.1, NP_013048.1, NP_013047.1
OG0000033	CBS138_protein	QNG12157.1	XP_444824.1
OG0000033	CBS138_protein	QNG14608.1	XP_445420.1
OG0000034	sacCer_protein	QNG12407.1	NP_013591.1
OG0000034	CBS138_protein	QNG12407.1	XP_445072.1
OG0000034	sacCer_protein	QNG16835.1	NP_015023.1, NP_014006.1
OG0000034	CBS138_protein	QNG16835.1	XP_449477.1
OG0000035	sacCer_protein	QNG13430.1	NP_010694.1
OG0000035	CBS138_protein	QNG13430.1	XP_446088.1
OG0000035	sacCer_protein	QNG16780.1	NP_014973.1, NP_014796.3
OG0000035	CBS138_protein	QNG16780.1	XP_449421.1
OG0000036	sacCer_protein	QNG14086.1	NP_015121.1
OG0000036	CBS138_protein	QNG14086.1	XP_446753.1
OG0000036	sacCer_protein	QNG17073.1	NP_012371.2, NP_012755.1
OG0000036	CBS138_protein	QNG17073.1	XP_449711.1
OG0000037	sacCer_protein	QNG14893.1	NP_012483.3
OG0000037	CBS138_protein	QNG14893.1	XP_447731.1
OG0000037	sacCer_protein	QNG14105.1	NP_012542.1, NP_011708.3
OG0000037	CBS138_protein	QNG14105.1	XP_446770.1
OG0000038	sacCer_protein	QNG14561.1, QNG14560.1	NP_010927.1, NP_014653.1, NP_014652.1
OG0000038	CBS138_protein	QNG14561.1	XP_447215.1
OG0000038	CBS138_protein	QNG14560.1	XP_447216.1
OG0000039	sacCer_protein	QNG17076.1, QNG14678.1, QNG14679.1	NP_012757.1
OG0000039	CBS138_protein	QNG17076.1	XP_449714.1
OG0000039	CBS138_protein	QNG14678.1	XP_447519.1
OG0000039	CBS138_protein	QNG14679.1	XP_447520.1
OG0000040	sacCer_protein	QNG14937.1, QNG14750.1	NP_014032.1, NP_014555.1, NP_009703.3
OG0000040	CBS138_protein	QNG14937.1	XP_447774.1
OG0000040	CBS138_protein	QNG14750.1	XP_447590.1
OG0000041	sacCer_protein	QNG15709.1	NP_012257.1, NP_013974.1
OG0000041	CBS138_protein	QNG15709.1	XP_448539.1
OG0000041	sacCer_protein	QNG14838.1	NP_014962.3
OG0000041	CBS138_protein	QNG14838.1	XP_447677.1
OG0000042	sacCer_protein	QNG15031.1	NP_014873.3
