# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "start_to_stop" "-g" "ID" "-a" "/Users/s1964600/Work/isoform_analysis_Dec2023/data/mock_annotations/CBS138_GCF_000002545.3/mock_long_gene_400.gtf" "-o" "87_counts.txt" "87_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	87_aln.bam
CAGL0A00165g	NC_005967.2	17637	18876	-	1240	1276
CAGL0A00187g	NC_005967.2	19087	21757	-	2671	1560
CAGL0A00209g	NC_005967.2	22260	24840	+	2581	6236
CAGL0A00231g	NC_005967.2	25241	28022	+	2782	171
CAGL0A00253g	NC_005967.2	27515	28586	-	1072	2008
CAGL0A00275g	NC_005967.2	29069	30269	+	1201	2664
CAGL0A00297g	NC_005967.2	29779	30775	-	997	1180
CAGL0A00319g	NC_005967.2	30978	32907	+	1930	2137
CAGL0A00341g	NC_005967.2	33056	34025	+	970	309
CAGL0A00363g	NC_005967.2	33595	36349	-	2755	5469
CAGL0A00385g	NC_005967.2	36762	40371	-	3610	127
CAGL0A00407g	NC_005967.2	41556	42720	+	1165	11691
CAGL0A00429g	NC_005967.2	42236	44030	-	1795	1819
CAGL0A00451g	NC_005967.2	47557	51280	+	3724	8198
CAGL0A00473g	NC_005967.2	50737	53497	-	2761	1166
CAGL0A00495g	NC_005967.2	54614	57722	-	3109	341
CAGL0A00517g	NC_005967.2	58830	62598	+	3769	7720
CAGL0A00539g	NC_005967.2	62016	63225	-	1210	793
CAGL0A00561g	NC_005967.2	63310	64948	-	1639	180
CAGL0A00583g	NC_005967.2	65286	67626	+	2341	621
CAGL0A00605g	NC_005967.2	66881	69203	-	2323	1188
CAGL0A00627g	NC_005967.2	69832	70885	+	1054	891
CAGL0A00649g	NC_005967.2	70937	71720	+	784	8
CAGL0A00715g	NC_005967.2	73333	74023	+	691	0
CAGL0A00737g	NC_005967.2	74767	76816	+	2050	15
CAGL0A00781g	NC_005967.2	77746	81766	+	4021	2597
CAGL0A00803g	NC_005967.2	81025	84913	-	3889	1725
CAGL0A00825g	NC_005967.2	85331	86825	+	1495	2011
CAGL0A00847g	NC_005967.2	86151	87540	-	1390	340
CAGL0A00869g	NC_005967.2	87841	90796	+	2956	115
CAGL0A00891g	NC_005967.2	90094	92752	-	2659	1571
CAGL0A00913g	NC_005967.2	92985	97665	+	4681	986
CAGL0A00935g	NC_005967.2	96972	98052	-	1081	1
CAGL0A00957g	NC_005967.2	98272	99883	+	1612	915
CAGL0A00979g	NC_005967.2	100010	100646	-	637	21491
CAGL0A01001g	NC_005967.2	101642	102701	+	1060	1016
CAGL0A01023g	NC_005967.2	102793	104428	+	1636	213
CAGL0A01045g	NC_005967.2	104465	106316	-	1852	18566
CAGL0A01067g	NC_005967.2	106866	109191	+	2326	1755
CAGL0A01089g	NC_005967.2	108609	110616	-	2008	22949
CAGL0A01111g	NC_005967.2	111480	112089	+	610	23815
CAGL0A01133g	NC_005967.2	112037	114842	+	2806	725
CAGL0A01155g	NC_005967.2	114809	117038	+	2230	484
CAGL0A01177g	NC_005967.2	117020	119972	+	2953	10
CAGL0A01193g	NC_005967.2	119731	120442	+	712	4967
CAGL0A01199g	NC_005967.2	121067	123308	+	2242	321
CAGL0A01221g	NC_005967.2	125780	127061	+	1282	9139
CAGL0A01243g	NC_005967.2	127106	129101	-	1996	296
CAGL0A01284g	NC_005967.2	131362	135967	+	4606	2
CAGL0A01325g	NC_005967.2	136262	138095	+	1834	655
CAGL0A01366g	NC_005967.2	140305	145093	+	4789	7
CAGL0A01408g	NC_005967.2	145388	147233	+	1846	32
CAGL0A01430g	NC_005967.2	147313	149836	+	2524	17457
CAGL0A01452g	NC_005967.2	149750	152594	+	2845	80
CAGL0A01474g	NC_005967.2	153155	155333	+	2179	352
CAGL0A01540g	NC_005967.2	155462	156342	-	881	41953
CAGL0A01562g	NC_005967.2	157645	158512	+	868	35703
CAGL0A01584g	NC_005967.2	158780	159437	+	658	192
CAGL0A01606g	NC_005967.2	158792	159914	-	1123	221
CAGL0A01628g	NC_005967.2	161327	163001	+	1675	1980
CAGL0A01650g	NC_005967.2	163770	164526	+	757	2101
CAGL0A01672g	NC_005967.2	164436	166920	-	2485	3350
CAGL0A01694g	NC_005967.2	166842	169167	-	2326	716
CAGL0A01716g	NC_005967.2	169567	170602	+	1036	3766
CAGL0A01738g	NC_005967.2	170940	172749	+	1810	12674
CAGL0A01760g	NC_005967.2	172208	174425	-	2218	1363
