Orthogroup	Species	CBS138_protein	Orthologs
OG0000001	BG2_protein	XP_445700.1	QNG13052.1
OG0000001	BG2_protein	XP_447262.1	QNG15956.1
OG0000001	BG2_protein	XP_449350.1	QNG16708.1
OG0000001	BG2_protein	XP_448232.1	QNG15394.1
OG0000001	BG2_protein	XP_445979.1	QNG13322.1
OG0000001	BG2_protein	XP_445189.1	QNG14606.1, QNG13050.1, QNG12527.1
OG0000001	BG2_protein	XP_445980.1	QNG14878.1, QNG14879.1, QNG12107.1, QNG13323.1
OG0000001	BG2_protein	XP_002999576.1	QNG15398.1
OG0000001	BG2_protein	XP_445981.1	QNG13324.1
OG0000001	BG2_protein	XP_449348.1	QNG16704.1
OG0000001	BG2_protein	XP_445219.1	QNG12557.1
OG0000006	sacCer_protein	XP_448432.1, XP_445408.1	NP_010052.1, NP_014190.1
OG0000006	BG2_protein	XP_448432.1, XP_445408.1	QNG12741.1, QNG15599.1
OG0000006	sacCer_protein	XP_445544.1	NP_012500.3
OG0000006	BG2_protein	XP_445544.1	QNG12893.1
OG0000006	sacCer_protein	XP_446529.1	NP_013076.1, NP_009396.2
OG0000006	BG2_protein	XP_446529.1	QNG13867.1
OG0000006	sacCer_protein	XP_446506.1	NP_011029.3, NP_009478.1
OG0000006	BG2_protein	XP_446506.1	QNG13844.1
OG0000007	BG2_protein	XP_447690.2, XP_002999571.1, XP_447689.1, XP_002999565.1, XP_002999564.1, XP_002999563.1, XP_449203.2, XP_446806.1, XP_446805.1, XP_447260.1, XP_002999584.1, XP_002999534.1, XP_445761.1, XP_002999597.1, XP_002999598.1, XP_445192.1	QNG14851.1
OG0000009	BG2_protein	XP_447201.1	QNG14546.1
OG0000009	BG2_protein	XP_445350.1	QNG12683.1
OG0000009	BG2_protein	XP_447202.1	QNG14547.1
OG0000009	BG2_protein	XP_445348.1, XP_445347.1, XP_445349.1, XP_445346.1	QNG12682.1
OG0000009	BG2_protein	XP_445352.1	QNG12438.1, QNG12685.1
OG0000010	BG2_protein	XP_002999585.1	QNG12756.1
OG0000010	BG2_protein	XP_448233.1	QNG12312.1, QNG15396.1
OG0000010	BG2_protein	XP_002999542.1	QNG14140.1, QNG14880.1, QNG15395.1
OG0000011	sacCer_protein	XP_449106.1	NP_009624.4
OG0000011	BG2_protein	XP_449106.1	QNG16285.1
OG0000011	sacCer_protein	XP_448476.1, XP_445015.1	NP_010796.1, NP_009905.3
