Orthogroup	CBS138_protein	BG2_protein
OG0000001	XP_445700.1	QNG13052.1
OG0000001	XP_447262.1	QNG15956.1
OG0000001	XP_449350.1	QNG16708.1
OG0000001	XP_448232.1	QNG15394.1
OG0000001	XP_445979.1	QNG13322.1
OG0000001	XP_445189.1	QNG14606.1, QNG13050.1, QNG12527.1
OG0000001	XP_445980.1	QNG14878.1, QNG14879.1, QNG12107.1, QNG13323.1
OG0000001	XP_002999576.1	QNG15398.1
OG0000001	XP_445981.1	QNG13324.1
OG0000001	XP_449348.1	QNG16704.1
OG0000001	XP_445219.1	QNG12557.1
OG0000006	XP_448432.1, XP_445408.1	QNG12741.1, QNG15599.1
OG0000006	XP_445544.1	QNG12893.1
OG0000006	XP_446529.1	QNG13867.1
OG0000006	XP_446506.1	QNG13844.1
OG0000007	XP_447690.2, XP_002999571.1, XP_447689.1, XP_002999565.1, XP_002999564.1, XP_002999563.1, XP_449203.2, XP_446806.1, XP_446805.1, XP_447260.1, XP_002999584.1, XP_002999534.1, XP_445761.1, XP_002999597.1, XP_002999598.1, XP_445192.1	QNG14851.1
OG0000009	XP_447201.1	QNG14546.1
OG0000009	XP_445350.1	QNG12683.1
OG0000009	XP_447202.1	QNG14547.1
OG0000009	XP_445348.1, XP_445347.1, XP_445349.1, XP_445346.1	QNG12682.1
OG0000009	XP_445352.1	QNG12438.1, QNG12685.1
OG0000010	XP_002999585.1	QNG12756.1
OG0000010	XP_448233.1	QNG12312.1, QNG15396.1
OG0000010	XP_002999542.1	QNG14140.1, QNG14880.1, QNG15395.1
OG0000011	XP_449106.1	QNG16285.1
OG0000011	XP_448476.1	QNG15643.1
OG0000011	XP_445015.1	QNG12349.1
OG0000011	XP_447164.1	QNG14508.1
OG0000013	XP_446980.1	QNG16199.1, QNG14316.1, QNG14317.1, QNG14319.1, QNG14321.1, QNG14318.1, QNG14320.1
OG0000013	XP_002999586.1, XP_446981.1	QNG16198.1
OG0000014	XP_445098.1	QNG12434.1
OG0000014	XP_445099.1	QNG12435.1
OG0000014	XP_445101.1	QNG12437.1
OG0000014	XP_445097.1	QNG12433.1
OG0000014	XP_445100.1	QNG12436.1
OG0000015	XP_449074.1	QNG16316.1
OG0000015	XP_446491.1	QNG13829.1
OG0000015	XP_449691.1	QNG17053.1
OG0000016	XP_448141.1	QNG15303.1
OG0000016	XP_448915.1	QNG16474.1
OG0000016	XP_446739.1	QNG14072.1
OG0000017	XP_447893.1	QNG15054.1
