Orthogroup	CBS138_protein	sacCer_protein
OG0000006	XP_448432.1, XP_445408.1	NP_010052.1, NP_014190.1
OG0000006	XP_445544.1	NP_012500.3
OG0000006	XP_446529.1	NP_013076.1, NP_009396.2
OG0000006	XP_446506.1	NP_011029.3, NP_009478.1
OG0000011	XP_449106.1	NP_009624.4
OG0000011	XP_448476.1, XP_445015.1	NP_010796.1, NP_009905.3
OG0000011	XP_447164.1	NP_009625.1
OG0000015	XP_449074.1	NP_010203.1
OG0000015	XP_446491.1, XP_449691.1	NP_011601.3, NP_013235.1, NP_013145.1
OG0000016	XP_448141.1	NP_014333.1, NP_012143.2
OG0000016	XP_448915.1	NP_012968.4
OG0000016	XP_446739.1	NP_012419.1
OG0000017	XP_447893.1	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1
OG0000018	XP_449187.1, XP_448689.1, XP_447339.1, XP_447364.1	NP_015154.1, NP_012049.1
OG0000021	XP_445184.1	NP_013275.1
OG0000021	XP_445447.1	NP_010217.1
OG0000021	XP_446953.1	NP_014389.3
OG0000022	XP_445191.1, XP_448803.1, XP_447832.1	NP_010981.3, NP_010982.1, NP_010976.1
OG0000023	XP_448224.1	NP_013719.1
OG0000023	XP_445790.1	NP_014632.1
OG0000023	XP_448225.1	NP_013721.1
OG0000024	XP_448401.1, XP_446406.1	NP_013446.1, NP_011546.3
OG0000024	XP_449945.1	NP_014036.1
OG0000025	XP_446574.1	NP_013473.1
OG0000025	XP_447392.1, XP_447319.1	NP_010884.1, NP_012579.1
OG0000027	XP_446765.1	NP_011713.1
OG0000027	XP_445142.1, XP_445143.1	NP_012549.3
OG0000028	XP_445860.1	NP_013029.3, NP_011828.1
OG0000028	XP_445319.1	NP_013052.1, NP_013030.1
OG0000029	XP_445354.1, XP_449637.1, XP_447226.1	NP_014367.1
OG0000030	XP_445355.1, XP_447225.1, XP_449638.1	NP_014368.1, NP_009563.1
OG0000031	XP_446377.1, XP_449946.1	NP_014038.1
OG0000031	XP_446407.1	NP_013447.1
OG0000032	XP_449164.1	NP_015321.1
OG0000032	XP_446436.1, XP_446490.1	NP_011600.3
OG0000033	XP_444824.1, XP_445420.1	NP_015518.1, NP_013048.1, NP_013047.1
OG0000034	XP_445072.1	NP_013591.1
OG0000034	XP_449477.1	NP_015023.1, NP_014006.1
OG0000035	XP_446088.1	NP_010694.1
