"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"1","CAGL0A00341g",269.112198921792,1.26120992782325,0.316601823955313,0.000353985162166353,"","CAL0126869","YGL010W","MPO1","S000002978"
"2","CAGL0A00429g",4111.79678651023,1.95880650805294,0.315710417196541,7.74052052562652e-09,"ERG4","CAL0126621","YGL012W","ERG4","S000002980"
"3","CAGL0A00451g",5965.39308531247,1.49368073894766,0.165636337420639,1.1856646315659e-17,"PDR1","CAL0126583","YGL013C","PDR1","S000002981"
"4","CAGL0A01089g",13696.7847416658,4.47723467781301,0.210367722571556,8.1857315630408e-97,"","CAL0126673","YPL272C","PBI1","S000006193"
"5","CAGL0A01826g",565.356722545206,2.66569141039346,0.764635975911942,0.00208007034967599,"HXT5","CAL0126791","YDR345C","HXT3","S000002753"
"6","CAGL0A02145g",210.163474578575,1.51719243462532,0.308934096667917,7.08564343720763e-06,"","CAL0126901","YHR016C","YSC84","S000001058"
"7","CAGL0A03905g",855.447273492433,2.26785182397498,0.271918218094918,2.92343064550676e-15,"HMX1","CAL0126925","YLR205C","HMX1","S000004195"
"8","CAGL0A04477g",2410.4341806872,1.21188783680164,0.153899025029022,1.03114886028306e-13,"","CAL0126763","YBL067C","UBP13","S000000163"
"9","CAGL0B00946g",18145.2997603536,1.44107002715248,0.166235227865705,2.14210517531206e-16,"","CAL0127160","YCL028W","RNQ1","S000000533"
"10","CAGL0B01012g",256.526457353357,1.2863396578675,0.361425580858295,0.00162855826485519,"","CAL0127012","YCL025C","AGP1","S000000530"
"11","CAGL0B01078g",407.759446508762,1.82033576577675,0.239381859355278,7.83481032236965e-13,"","CAL0127818","YLR177W","YLR177W","S000004167"
"12","CAGL0B01727g",236.808886667719,1.21334657668737,0.265603792051865,3.34955940117391e-05,"","CAL0127060","YDR109C","YDR109C","S000002516"
"13","CAGL0B01925g",2031.1698009506,1.02915375994595,0.179076631476315,1.03822672358737e-07,"","CAL0127716","YDR122W","KIN1","S000002529"
"14","CAGL0B02211g",1501.76967502501,1.2893751863092,0.197262452016506,9.95529974639439e-10,"CCH1","CAL0127760","YGR217W","CCH1","S000003449"
"15","CAGL0B02739g",1384.64170583225,1.42625187315743,0.199734354206275,2.01165687290283e-11,"STE11","CAL0127090","YLR362W","STE11","S000004354"
