# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "start_to_stop" "-g" "ID" "-a" "/Users/s1964600/Work/isoform_analysis_Dec2023/data/mock_annotations/CBS138_GCF_000002545.3/mock_long_gene_400.gtf" "-o" "82_counts.txt" "82_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	82_aln.bam
CAGL0A00165g	NC_005967.2	17637	18876	-	1240	374
CAGL0A00187g	NC_005967.2	19087	21757	-	2671	725
CAGL0A00209g	NC_005967.2	22260	24840	+	2581	3089
CAGL0A00231g	NC_005967.2	25241	28022	+	2782	299
CAGL0A00253g	NC_005967.2	27515	28586	-	1072	762
CAGL0A00275g	NC_005967.2	29069	30269	+	1201	1749
CAGL0A00297g	NC_005967.2	29779	30775	-	997	630
CAGL0A00319g	NC_005967.2	30978	32907	+	1930	718
CAGL0A00341g	NC_005967.2	33056	34025	+	970	70
CAGL0A00363g	NC_005967.2	33595	36349	-	2755	2682
CAGL0A00385g	NC_005967.2	36762	40371	-	3610	410
CAGL0A00407g	NC_005967.2	41556	42720	+	1165	2394
CAGL0A00429g	NC_005967.2	42236	44030	-	1795	949
CAGL0A00451g	NC_005967.2	47557	51280	+	3724	1266
CAGL0A00473g	NC_005967.2	50737	53497	-	2761	1086
CAGL0A00495g	NC_005967.2	54614	57722	-	3109	1311
CAGL0A00517g	NC_005967.2	58830	62598	+	3769	1807
CAGL0A00539g	NC_005967.2	62016	63225	-	1210	175
CAGL0A00561g	NC_005967.2	63310	64948	-	1639	91
CAGL0A00583g	NC_005967.2	65286	67626	+	2341	319
CAGL0A00605g	NC_005967.2	66881	69203	-	2323	525
CAGL0A00627g	NC_005967.2	69832	70885	+	1054	956
CAGL0A00649g	NC_005967.2	70937	71720	+	784	4
CAGL0A00715g	NC_005967.2	73333	74023	+	691	0
CAGL0A00737g	NC_005967.2	74767	76816	+	2050	10
CAGL0A00781g	NC_005967.2	77746	81766	+	4021	635
CAGL0A00803g	NC_005967.2	81025	84913	-	3889	736
CAGL0A00825g	NC_005967.2	85331	86825	+	1495	1609
CAGL0A00847g	NC_005967.2	86151	87540	-	1390	420
CAGL0A00869g	NC_005967.2	87841	90796	+	2956	101
CAGL0A00891g	NC_005967.2	90094	92752	-	2659	1124
CAGL0A00913g	NC_005967.2	92985	97665	+	4681	616
CAGL0A00935g	NC_005967.2	96972	98052	-	1081	74
CAGL0A00957g	NC_005967.2	98272	99883	+	1612	350
CAGL0A00979g	NC_005967.2	100010	100646	-	637	52398
CAGL0A01001g	NC_005967.2	101642	102701	+	1060	651
CAGL0A01023g	NC_005967.2	102793	104428	+	1636	307
CAGL0A01045g	NC_005967.2	104465	106316	-	1852	7703
