# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "start_to_stop" "-g" "ID" "-a" "/Users/s1964600/Work/isoform_analysis_Dec2023/data/mock_annotations/BG2_GCA_014217725.1/mock_long_gene_400.gtf" "-o" "85_counts.txt" "85_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	85_aln.bam
GWK60_A00011	CP048230.1	2887	16984	-	14098	0
GWK60_A00033	CP048230.1	26033	28541	-	2509	170
GWK60_A00055	CP048230.1	32265	33504	-	1240	2214
GWK60_A00077	CP048230.1	33715	36385	-	2671	6207
GWK60_A00099	CP048230.1	36888	39468	+	2581	16986
GWK60_A00121	CP048230.1	39869	42650	+	2782	633
GWK60_A00143	CP048230.1	42144	43215	-	1072	4563
GWK60_A00165	CP048230.1	43698	44898	+	1201	8457
GWK60_A00187	CP048230.1	44408	45404	-	997	2585
GWK60_A00209	CP048230.1	45607	47536	+	1930	4386
GWK60_A00231	CP048230.1	47685	48654	+	970	1264
GWK60_A00253	CP048230.1	48224	50978	-	2755	4485
GWK60_A00275	CP048230.1	51406	55015	-	3610	2605
GWK60_A00297	CP048230.1	56199	57363	+	1165	23144
GWK60_A00319	CP048230.1	56879	58673	-	1795	4966
GWK60_A00341	CP048230.1	62211	65934	+	3724	6540
GWK60_A00363	CP048230.1	65391	68151	-	2761	4439
GWK60_A00385	CP048230.1	69266	72374	-	3109	8134
GWK60_A00407	CP048230.1	73476	77244	+	3769	11609
GWK60_A00429	CP048230.1	76662	77871	-	1210	2553
GWK60_A00451	CP048230.1	77956	79594	-	1639	1063
GWK60_A00473	CP048230.1	79931	82271	+	2341	2231
GWK60_A00495	CP048230.1	81526	83848	-	2323	3753
GWK60_A00517	CP048230.1	84469	85522	+	1054	3232
GWK60_A00539	CP048230.1	85576	86359	+	784	126
GWK60_A00583	CP048230.1	87402	88626	+	1225	12
GWK60_A00605	CP048230.1	89315	92315	+	3001	574
GWK60_A00627	CP048230.1	94544	95234	+	691	0
GWK60_A00649	CP048230.1	95979	98028	+	2050	77
GWK60_A00671	CP048230.1	98790	102978	+	4189	4785
GWK60_A00693	CP048230.1	102237	106125	-	3889	4769
GWK60_A00715	CP048230.1	106542	108036	+	1495	4878
GWK60_A00737	CP048230.1	107362	108751	-	1390	1391
GWK60_A00759	CP048230.1	109052	112007	+	2956	476
GWK60_A00781	CP048230.1	111305	113963	-	2659	6536
GWK60_A00803	CP048230.1	114196	118876	+	4681	2326
GWK60_A00825	CP048230.1	118183	119263	-	1081	96
GWK60_A00847	CP048230.1	119483	121094	+	1612	3324
GWK60_A00869	CP048230.1	121221	121857	-	637	420330
GWK60_A00891	CP048230.1	122845	123904	+	1060	2643
GWK60_A00913	CP048230.1	123980	125615	+	1636	1927
GWK60_A00935	CP048230.1	125650	127501	-	1852	41463
GWK60_A00957	CP048230.1	128085	130410	+	2326	4492
GWK60_A00979	CP048230.1	129828	131835	-	2008	49483
GWK60_A01001	CP048230.1	132712	133321	+	610	41050
GWK60_A01023	CP048230.1	133262	136067	+	2806	2965
GWK60_A01045	CP048230.1	136034	138263	+	2230	1783
GWK60_A01067	CP048230.1	138245	141197	+	2953	174
GWK60_A01089	CP048230.1	140956	141667	+	712	8288
GWK60_A01111	CP048230.1	142280	144521	+	2242	1922
GWK60_A01133	CP048230.1	147012	148293	+	1282	320
GWK60_A01155	CP048230.1	148337	150332	-	1996	188
GWK60_A01177	CP048230.1	152581	157171	+	4591	14
GWK60_A01199	CP048230.1	157478	159317	+	1840	5220
GWK60_A01221	CP048230.1	161505	166287	+	4783	33
GWK60_A01243	CP048230.1	166594	168433	+	1840	320
GWK60_A01265	CP048230.1	168514	171037	+	2524	27964
GWK60_A01287	CP048230.1	170951	173795	+	2845	620
GWK60_A01309	CP048230.1	174356	176477	+	2122	1733
GWK60_A01353	CP048230.1	176606	177486	-	881	297443
GWK60_A01375	CP048230.1	178790	179657	+	868	301029
GWK60_A01397	CP048230.1	179925	180582	+	658	266
GWK60_A01419	CP048230.1	179910	181059	-	1150	4643
GWK60_A01441	CP048230.1	182472	184146	+	1675	39777
GWK60_A01463	CP048230.1	184908	185664	+	757	17369
GWK60_A01485	CP048230.1	185577	188061	-	2485	11776
GWK60_A01507	CP048230.1	187983	190308	-	2326	1492
GWK60_A01529	CP048230.1	190708	191743	+	1036	20540
GWK60_A01551	CP048230.1	192070	193879	+	1810	18475
GWK60_A01573	CP048230.1	193338	195555	-	2218	2754
GWK60_A01595	CP048230.1	195748	197854	-	2107	157258
GWK60_A01617	CP048230.1	200917	203008	-	2092	59865
GWK60_A01639	CP048230.1	204737	206903	-	2167	30144
GWK60_A01661	CP048230.1	208625	211829	-	3205	6770
GWK60_A01683	CP048230.1	212060	214844	-	2785	1942
GWK60_A01705	CP048230.1	215685	216351	+	667	4
GWK60_A01727	CP048230.1	216271	227902	+	11632	15927
GWK60_A01771	CP048230.1	228106	229726	+	1621	4992
GWK60_A01793	CP048230.1	229036	231463	-	2428	2696
GWK60_A01815	CP048230.1	231432	232212	-	781	5685
GWK60_A01837	CP048230.1	232556	235028	-	2473	1828
GWK60_A01859	CP048230.1	236896	239626	+	2731	6584
GWK60_A01903	CP048230.1	239387	241808	-	2422	27038
GWK60_A01925	CP048230.1	242419	244465	+	2047	34341
GWK60_A01947	CP048230.1	243879	245421	-	1543	863
GWK60_A01969	CP048230.1	246399	247980	+	1582	340
GWK60_A02013	CP048230.1	247686	249903	-	2218	27587
GWK60_A02035	CP048230.1	250300	252358	-	2059	38395
GWK60_A02057	CP048230.1	256575	258624	-	2050	69404
GWK60_A02079	CP048230.1	263580	264801	+	1222	1175
GWK60_A02101	CP048230.1	265990	267244	+	1255	8363
GWK60_A02123	CP048230.1	266943	269013	-	2071	45877
GWK60_A02145	CP048230.1	270009	270675	+	667	12
GWK60_A02167	CP048230.1	270999	272730	-	1732	25098
GWK60_A02189	CP048230.1	273815	275174	+	1360	4405
GWK60_A02211	CP048230.1	274832	276569	-	1738	6787
GWK60_A02233	CP048230.1	276559	278722	-	2164	7510
GWK60_A02277	CP048230.1	278898	281022	-	2125	22519
GWK60_A02299	CP048230.1	281204	284204	+	3001	4289
GWK60_A02321	CP048230.1	284239	285589	+	1351	2506
GWK60_A02343	CP048230.1	285630	286989	+	1360	32749
GWK60_A02365	CP048230.1	286432	288025	-	1594	10893
GWK60_A02387	CP048230.1	292062	293601	+	1540	5523
GWK60_A02409	CP048230.1	293614	296632	+	3019	5183
GWK60_A02431	CP048230.1	295908	296610	-	703	12216
GWK60_A02453	CP048230.1	296784	298950	+	2167	11268
GWK60_A02475	CP048230.1	298381	301912	-	3532	6968
GWK60_A02497	CP048230.1	302046	303276	-	1231	10439
GWK60_A02519	CP048230.1	303102	305559	-	2458	17927
GWK60_A02541	CP048230.1	305706	307197	+	1492	345
GWK60_A02563	CP048230.1	306984	307638	+	655	40924
GWK60_A02585	CP048230.1	307549	309238	+	1690	11957
GWK60_A02607	CP048230.1	308645	310370	-	1726	1937
GWK60_A02629	CP048230.1	310613	311850	+	1238	1817
GWK60_A02651	CP048230.1	311931	313263	+	1333	11786
GWK60_A02673	CP048230.1	312552	315435	-	2884	4782
GWK60_A02695	CP048230.1	315413	317021	-	1609	3407
GWK60_A02717	CP048230.1	317339	318053	+	715	35255
GWK60_A02739	CP048230.1	318016	319921	+	1906	1213
GWK60_A02761	CP048230.1	319468	320854	-	1387	8222
GWK60_A02783	CP048230.1	321432	322404	+	973	7168
GWK60_A02805	CP048230.1	321782	323111	-	1330	0
GWK60_A02827	CP048230.1	323402	324026	+	625	895
GWK60_A02849	CP048230.1	323368	325141	-	1774	505
GWK60_A02871	CP048230.1	325407	327312	+	1906	2106
GWK60_A02893	CP048230.1	327258	327963	+	706	16508
GWK60_A02915	CP048230.1	327409	328415	-	1007	16705
GWK60_A02937	CP048230.1	328743	331521	+	2779	5064
GWK60_A02959	CP048230.1	331247	331886	-	640	14353
GWK60_A02981	CP048230.1	333043	335392	+	2350	77
GWK60_A03003	CP048230.1	335757	338155	+	2399	10666
GWK60_A03025	CP048230.1	337721	338468	-	748	5275
GWK60_A03047	CP048230.1	339100	339829	+	730	441179
GWK60_A03069	CP048230.1	339268	340393	-	1126	3449
GWK60_A03091	CP048230.1	340472	341678	-	1207	15695
GWK60_A03113	CP048230.1	343669	346597	+	2929	32785
GWK60_A03135	CP048230.1	346671	348957	+	2287	1286
GWK60_A03157	CP048230.1;CP048230.1	348514;348514	350161;349481	-;-	1648	154957
GWK60_A03179	CP048230.1	350807	352673	-	1867	31
GWK60_A03201	CP048230.1	353607	355359	+	1753	4709
GWK60_A03223	CP048230.1	355593	357870	+	2278	10064
GWK60_A03245	CP048230.1	358679	360851	-	2173	85031
GWK60_A03267	CP048230.1	361447	362461	-	1015	59642
GWK60_A03289	CP048230.1	363837	364980	+	1144	128
GWK60_A03311	CP048230.1	365013	368868	+	3856	3395
GWK60_A03333	CP048230.1	369013	370873	+	1861	2197
GWK60_A03355	CP048230.1	370349	372164	-	1816	49671
GWK60_A03377	CP048230.1	372366	374805	-	2440	613
GWK60_A03421	CP048230.1	375505	376156	-	652	1056
GWK60_A03443	CP048230.1	376558	379939	-	3382	1911
GWK60_A03465	CP048230.1	379853	380822	-	970	201
GWK60_A03487	CP048230.1	381016	382060	-	1045	715
GWK60_A03509	CP048230.1	384128	387716	-	3589	7124
GWK60_A03531	CP048230.1	387824	390425	-	2602	10631
GWK60_A03553	CP048230.1	390734	392126	+	1393	404
GWK60_A03575	CP048230.1	392385	394032	+	1648	10985
GWK60_A03597	CP048230.1	393604	398962	-	5359	34137
GWK60_A03619	CP048230.1	399955	402601	+	2647	3154
GWK60_A03663	CP048230.1	402592	403537	-	946	2522
GWK60_A03685	CP048230.1	403994	405809	+	1816	4
GWK60_A03707	CP048230.1	405826	407656	+	1831	1614
GWK60_A03751	CP048230.1	407655	409608	-	1954	8942
GWK60_A03773	CP048230.1	409765	410581	+	817	4916
GWK60_A03795	CP048230.1	409971	411312	-	1342	70564
GWK60_A03817	CP048230.1	412336	414049	+	1714	5415
GWK60_A03839	CP048230.1	414376	415582	+	1207	4695
GWK60_A03861	CP048230.1	415047	415767	-	721	8090
GWK60_A03883	CP048230.1	415997	417360	+	1364	3074
GWK60_A03905	CP048230.1	416826	418752	-	1927	21644
GWK60_A03927	CP048230.1	418819	420970	-	2152	20189
GWK60_A03949	CP048230.1	421263	423018	+	1756	8767
GWK60_A03971	CP048230.1	423196	424720	+	1525	11497
GWK60_A03993	CP048230.1	424657	425611	+	955	858
GWK60_A04015	CP048230.1	425760	426957	+	1198	163037
GWK60_A04037	CP048230.1	426408	427983	-	1576	2006
GWK60_A04059	CP048230.1	428322	430431	-	2110	3804
GWK60_A04081	CP048230.1	430649	431318	-	670	13877
GWK60_A04103	CP048230.1	432045	434367	+	2323	5149
GWK60_A04125	CP048230.1	435071	437630	+	2560	2748
GWK60_A04147	CP048230.1	437075	439409	-	2335	10140
GWK60_A04169	CP048230.1	440135	441689	+	1555	9119
GWK60_A04191	CP048230.1	441248	443006	-	1759	2889
GWK60_A04213	CP048230.1	444199	445249	+	1051	4207
GWK60_A04235	CP048230.1	444614	446192	-	1579	20948
GWK60_A04279	CP048230.1	446198	446960	-	763	1357
GWK60_A04257	CP048230.1	447237	448104	+	868	3549
GWK60_A04301	CP048230.1	448654	451021	+	2368	1367
GWK60_A04323	CP048230.1	451222	452404	+	1183	19798
GWK60_A04345	CP048230.1	452620	456316	+	3697	1027
GWK60_A04367	CP048230.1	457166	459878	+	2713	6187
GWK60_A04389	CP048230.1	459763	460411	-	649	632
GWK60_A04411	CP048230.1	462348	463353	+	1006	141060
GWK60_A04433	CP048230.1	463883	465374	+	1492	2627
GWK60_A04455	CP048230.1	465642	469167	+	3526	8657
GWK60_A04477	CP048230.1	469217	470945	+	1729	760
GWK60_A04499	CP048230.1	471201	472686	+	1486	7979
GWK60_A04521	CP048230.1	472235	474263	-	2029	1430
GWK60_A04543	CP048230.1	474804	475560	-	757	301
GWK60_A04565	CP048230.1	476978	477752	+	775	1854
GWK60_A04587	CP048230.1	477364	478561	-	1198	17573
GWK60_A04609	CP048230.1	478948	480958	-	2011	19320
GWK60_A04631	CP048230.1	482292	484494	+	2203	7011
GWK60_A04653	CP048230.1	484709	485906	+	1198	8031
GWK60_A04675	CP048230.1	485444	487304	-	1861	623219
GWK60_A04697	CP048230.1	497983	506875	+	8893	0
GWK60_B00011	CP048231.1	3667	7072	-	3406	2
GWK60_B00055	CP048231.1	13090	13720	+	631	16
GWK60_B00077	CP048231.1	12887	13841	-	955	0
GWK60_B00099	CP048231.1	14175	15207	+	1033	0
GWK60_B00121	CP048231.1	15108	16590	-	1483	3601
GWK60_B00143	CP048231.1	19247	20939	+	1693	2504
GWK60_B00165	CP048231.1	20345	24155	-	3811	4888
GWK60_B00187	CP048231.1	24485	25898	-	1414	5723
GWK60_B00209	CP048231.1	26407	27172	+	766	2944
GWK60_B00231	CP048231.1	26812	27478	-	667	5674
GWK60_B00253	CP048231.1	29305	31936	+	2632	16163
GWK60_B00275	CP048231.1	34232	35441	+	1210	13233
GWK60_B00297	CP048231.1	35873	37247	+	1375	24
GWK60_B00319	CP048231.1	38721	41634	+	2914	14792
GWK60_B00341	CP048231.1	40974	42624	-	1651	2229
GWK60_B00363	CP048231.1	45405	47826	+	2422	2986
GWK60_B00385	CP048231.1	47496	48852	-	1357	16035
GWK60_B00407	CP048231.1	54181	54778	+	598	75031
GWK60_B00429	CP048231.1	55618	57268	+	1651	308
GWK60_B00451	CP048231.1	56568	57795	-	1228	1415
GWK60_B00473	CP048231.1	57743	60383	-	2641	7901
GWK60_B00495	CP048231.1	60491	62342	-	1852	4059
GWK60_B00517	CP048231.1	62678	64649	-	1972	55232
GWK60_B00539	CP048231.1	66062	66692	+	631	480
GWK60_B00561	CP048231.1	66607	68257	+	1651	91
GWK60_B00583	CP048231.1	68432	71270	+	2839	9675
GWK60_B00605	CP048231.1	70592	72617	-	2026	3268
GWK60_B00627	CP048231.1	73165	74902	-	1738	1477
GWK60_B00649	CP048231.1	76074	77562	+	1489	33620
GWK60_B00671	CP048231.1	77070	77961	-	892	13440
GWK60_B00693	CP048231.1	78603	79971	+	1369	6207
GWK60_B00715	CP048231.1	79361	80678	-	1318	2205
GWK60_B00737	CP048231.1	80661	83469	-	2809	8700
GWK60_B00759	CP048231.1	83764	85480	-	1717	541
GWK60_B00781	CP048231.1	85815	87399	+	1585	36296
GWK60_B00803	CP048231.1	87385	89023	+	1639	717
GWK60_B00825	CP048231.1	88499	89480	-	982	60536
GWK60_B00847	CP048231.1	93991	96262	+	2272	5387
GWK60_B00891	CP048231.1	98961	101589	+	2629	2525
GWK60_B00913	CP048231.1	101303	102335	-	1033	20690
GWK60_B00935	CP048231.1	103080	104628	+	1549	11382
GWK60_B00957	CP048231.1	104275	105850	-	1576	5058
GWK60_B00979	CP048231.1	106169	108995	+	2827	9356
GWK60_B01001	CP048231.1	108425	110411	-	1987	7265
GWK60_B01023	CP048231.1	111567	112894	+	1328	367356
GWK60_B01045	CP048231.1	114776	115865	+	1090	14075
GWK60_B01067	CP048231.1	115211	116133	-	923	1660
GWK60_B01089	CP048231.1	117247	121390	+	4144	1555
GWK60_B01133	CP048231.1	122063	123083	+	1021	5132
GWK60_B01155	CP048231.1	122477	124934	-	2458	9558
GWK60_B01177	CP048231.1	125344	129076	-	3733	34165
GWK60_B01199	CP048231.1	129799	131743	+	1945	8153
GWK60_B01221	CP048231.1	131233	132139	-	907	11529
GWK60_B01243	CP048231.1	132241	133942	-	1702	9104
GWK60_B01265	CP048231.1	134237	135341	+	1105	2936
GWK60_B01287	CP048231.1	135293	137717	+	2425	7572
GWK60_B01309	CP048231.1	137847	139530	+	1684	1978
GWK60_B01331	CP048231.1	139599	141108	+	1510	2940
GWK60_B01353	CP048231.1	141251	146741	+	5491	5318
GWK60_B01375	CP048231.1	146125	147196	-	1072	4981
GWK60_B01397	CP048231.1	147557	148313	+	757	11540
GWK60_B01419	CP048231.1	148951	151549	+	2599	625
GWK60_B01441	CP048231.1	150817	153343	-	2527	2067
GWK60_B01463	CP048231.1	153259	155692	-	2434	7410
GWK60_B01507	CP048231.1	156284	158759	-	2476	6267
GWK60_B01529	CP048231.1	159653	162071	+	2419	1922
GWK60_B01551	CP048231.1	161381	163514	-	2134	2497
GWK60_B01573	CP048231.1	164194	165463	+	1270	2075
GWK60_B01595	CP048231.1	165472	167482	+	2011	1207
GWK60_B01617	CP048231.1	167384	168158	+	775	3829
GWK60_B01639	CP048231.1	167657	168929	-	1273	2419
GWK60_B01661	CP048231.1	168962	171071	-	2110	2267
GWK60_B01683	CP048231.1	171385	173653	+	2269	2113
GWK60_B01705	CP048231.1	174528	175152	+	625	23
GWK60_B01727	CP048231.1	174871	176932	-	2062	2357
GWK60_B01749	CP048231.1	177545	178520	+	976	7217
GWK60_B01771	CP048231.1	178729	181963	+	3235	9073
GWK60_B01793	CP048231.1	181416	183114	-	1699	2637
GWK60_B01815	CP048231.1	183420	185091	-	1672	272
GWK60_B01837	CP048231.1	185308	186700	+	1393	1578
GWK60_B01859	CP048231.1	186666	190428	+	3763	5529
GWK60_B01881	CP048231.1	189872	192206	-	2335	31305
GWK60_B01903	CP048231.1	192347	193550	-	1204	260
GWK60_B01925	CP048231.1	193750	196024	-	2275	0
GWK60_B01947	CP048231.1	196865	198602	+	1738	1655
GWK60_B01969	CP048231.1	197962	199189	-	1228	1352
GWK60_B01991	CP048231.1	201213	203478	+	2266	1923
