"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"1","CAGL0A00495g",1690.99678549882,-1.57026935501764,0.278583523904242,1.87909846496948e-07,"PMA1","CAL0126953","YGL008C","PMA1","S000002976"
"2","CAGL0A01155g",497.159332338749,-1.17848546049383,0.224460264715776,1.38458604638238e-06,"","CAL0126855","YPL269W","KAR9","S000006190"
"3","CAGL0A01474g",849.369149899918,-1.09741190717045,0.319893155781594,0.00249612919786576,"","CAL0126657","YGL028C","SCW11","S000002996"
"4","CAGL0A01628g",4141.66534770881,-1.0362667128899,0.221856970373375,2.14789545030332e-05,"MIG1","CAL0126537","YGL035C","MIG1","S000003003"
"5","CAGL0A02090g",6994.22558586871,-1.02802691159451,0.232671648554898,6.1692933537591e-05,"","CAL0126885","YHR020W","YHR020W","S000001062"
"6","CAGL0A03212g",5707.43362764717,-1.01230072229395,0.1808920359615,2.33420025594547e-07,"","CAL0126709","YDR384C","ATO3","S000002792"
"7","CAGL0A03652g",2080.19533505045,-1.46058701084262,0.23889454737911,1.30103336512239e-08,"","CAL0126771","YBR142W","MAK5","S000000346"
"8","CAGL0A03674g",309.955910019483,-1.21900071048072,0.253472508907775,1.15110180561192e-05,"","CAL0126823","YBR141C","BMT2","S000000345"
"9","CAGL0A04015g",6378.52774345534,-1.53438199062738,0.238570731824264,1.92762830792843e-09,"","CAL0126595","YLR197W","NOP56","S000004187"
"10","CAGL0A04037g",5093.88190747548,-1.11140784563807,0.257901949165139,9.81314936582605e-05,"","CAL0126779","YLR196W","PWP1","S000004186"
"11","CAGL0A04169g",1220.57267314039,-1.35129487802246,0.17077230808956,7.8221587288946e-14,"","CAL0126951","YLR190W","MMR1","S000004180"
"12","CAGL0A04213g",1002.87060359999,-1.05845445413408,0.268891522778925,0.000424310051947803,"","CAL0126849","YBL051C","PIN4","S000000147"
"13","CAGL0A04257g",3929.94273210715,-1.03222802783842,0.208910262088182,6.18533758567649e-06,"","CAL0126879","YBL054W","TOD6","S000000150"
"14","CAGL0B00352g",1692.28620332034,-1.60894581032443,0.174247554481923,1.8437242265412e-18,"","CAL0127796","YCL059C","KRR1","S000000564"
"15","CAGL0B00374g",665.436815900131,-1.1610763344931,0.196901336756556,4.50478528399408e-08,"","CAL0127054","YCL058W-A","ADF1","S000028518"
"16","CAGL0B00484g",5199.04725985546,-1.0331282172501,0.175405358265463,4.64884253366317e-08,"","CAL0127852","YCL054W","SPB1","S000000559"
"17","CAGL0B00594g",31109.1508914912,-1.02683793116148,0.186589441047032,3.80263482709805e-07,"","CAL0127790","YCL048W-A","YCL048W-A","S000087203"
"18","CAGL0B00792g",267.020790441015,-2.03985125608946,0.32600485265944,5.60891445401502e-09,"","CAL0127048","YCL037C","SRO9","S000000542"
"19","CAGL0B01397g",2338.56760908134,-1.03396125432782,0.232573028203801,5.5356384348741e-05,"NOP8","CAL0126980","YOL144W","NOP8","S000005504"
"20","CAGL0B01507g",794.584483362709,-1.53440132688441,0.206510259230637,2.66196686125324e-12,"ARG8","CAL0127072","YOL140W","ARG8","S000005500"
"21","CAGL0B01771g",420.431848789905,-1.09192354384616,0.207023322745257,1.23245744735194e-06,"","CAL0127066","YDR110W","FOB1","S000002517"
"22","CAGL0B01881g",1568.98071559367,-1.1224330775514,0.202788644951975,3.23257257337222e-07,"","CAL0127664","YDR120C","TRM1","S000002527"
"23","CAGL0B02277g",550.024525716728,-1.17929922246135,0.220153811150317,8.19059874087627e-07,"","CAL0126994","YML113W","DAT1","S000004581"
"24","CAGL0B04125g",2378.18461845068,-1.33652902389612,0.195854092840097,1.64038734483835e-10,"","CAL0127122","YPR110C","RPC40","S000006314"
"25","CAGL0B04169g",1754.9997630304,-1.55135572924779,0.167972039729844,1.83340629473485e-18,"","CAL0127894","YPR112C","MRD1","S000006316"
"26","CAGL0B04873g",201.202933988466,-1.18466373994308,0.245032752028212,1.02061110004675e-05,"","CAL0126972","YCL016C","DCC1","S000000521"
"27","CAGL0C00737g",1211.48457384477,-1.34411835078241,0.221625685515626,1.73122711325761e-08,"","CAL0127366","YLR222C","UTP13","S000004212"
"28","CAGL0C00759g",1653.39855228917,-1.4486694423663,0.16362337686835,4.70997748741012e-17,"","CAL0127602","YLR223C","IFH1","S000004213"
