Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	sacCer_protein	n0	1.0	Terminal	sacCer_protein_NP_058181.1	sacCer_protein_NP_011064.3, sacCer_protein_NP_058152.1, sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1, sacCer_protein_NP_058140.1, sacCer_protein_NP_058160.1, sacCer_protein_NP_058189.1, sacCer_protein_NP_058169.1, sacCer_protein_NP_013672.1, sacCer_protein_NP_012560.1, sacCer_protein_NP_058171.1, sacCer_protein_NP_058195.1, sacCer_protein_NP_058193.1, sacCer_protein_NP_058150.1, sacCer_protein_NP_058158.1, sacCer_protein_NP_058191.1, sacCer_protein_NP_009549.1, sacCer_protein_NP_013759.1, sacCer_protein_NP_058178.1, sacCer_protein_NP_001268465.1, sacCer_protein_NP_012562.1, sacCer_protein_NP_013136.1, sacCer_protein_NP_058147.3, sacCer_protein_NP_058174.3, sacCer_protein_NP_058163.1, sacCer_protein_NP_116653.1, sacCer_protein_NP_009909.2, sacCer_protein_NP_620389.3, sacCer_protein_NP_058142.3, sacCer_protein_NP_058185.3, sacCer_protein_NP_058138.3, sacCer_protein_NP_058146.3, sacCer_protein_NP_009450.1, sacCer_protein_NP_009451.1, sacCer_protein_NP_058143.1, sacCer_protein_NP_620390.1, sacCer_protein_NP_058157.1, sacCer_protein_NP_058164.1, sacCer_protein_NP_009910.2, sacCer_protein_NP_058175.1, sacCer_protein_NP_058139.1, sacCer_protein_NP_058186.1, sacCer_protein_NP_058148.1, sacCer_protein_NP_009406.1, sacCer_protein_NP_058183.1, sacCer_protein_NP_013765.1, sacCer_protein_NP_013668.1
OG0000000	sacCer_protein	n1	1.0	Terminal	sacCer_protein_NP_011064.3, sacCer_protein_NP_058152.1, sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1, sacCer_protein_NP_058140.1, sacCer_protein_NP_058160.1, sacCer_protein_NP_058189.1, sacCer_protein_NP_058169.1, sacCer_protein_NP_013672.1	sacCer_protein_NP_012560.1, sacCer_protein_NP_058171.1, sacCer_protein_NP_058195.1, sacCer_protein_NP_058193.1, sacCer_protein_NP_058150.1, sacCer_protein_NP_058158.1, sacCer_protein_NP_058191.1, sacCer_protein_NP_009549.1, sacCer_protein_NP_013759.1, sacCer_protein_NP_058178.1, sacCer_protein_NP_001268465.1, sacCer_protein_NP_012562.1, sacCer_protein_NP_013136.1, sacCer_protein_NP_058147.3, sacCer_protein_NP_058174.3, sacCer_protein_NP_058163.1, sacCer_protein_NP_116653.1, sacCer_protein_NP_009909.2, sacCer_protein_NP_620389.3, sacCer_protein_NP_058142.3, sacCer_protein_NP_058185.3, sacCer_protein_NP_058138.3, sacCer_protein_NP_058146.3, sacCer_protein_NP_009450.1, sacCer_protein_NP_009451.1, sacCer_protein_NP_058143.1, sacCer_protein_NP_620390.1, sacCer_protein_NP_058157.1, sacCer_protein_NP_058164.1, sacCer_protein_NP_009910.2, sacCer_protein_NP_058175.1, sacCer_protein_NP_058139.1, sacCer_protein_NP_058186.1, sacCer_protein_NP_058148.1, sacCer_protein_NP_009406.1, sacCer_protein_NP_058183.1, sacCer_protein_NP_013765.1, sacCer_protein_NP_013668.1
OG0000000	sacCer_protein	n2	1.0	Terminal	sacCer_protein_NP_011064.3, sacCer_protein_NP_058152.1, sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1, sacCer_protein_NP_058140.1, sacCer_protein_NP_058160.1, sacCer_protein_NP_058189.1, sacCer_protein_NP_058169.1	sacCer_protein_NP_013672.1
OG0000000	sacCer_protein	n3	1.0	Terminal	sacCer_protein_NP_011064.3	sacCer_protein_NP_058152.1, sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1, sacCer_protein_NP_058140.1, sacCer_protein_NP_058160.1, sacCer_protein_NP_058189.1, sacCer_protein_NP_058169.1
OG0000000	sacCer_protein	n4	1.0	Terminal	sacCer_protein_NP_058152.1, sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1, sacCer_protein_NP_058140.1, sacCer_protein_NP_058160.1	sacCer_protein_NP_058189.1, sacCer_protein_NP_058169.1
OG0000000	sacCer_protein	n5	1.0	Terminal	sacCer_protein_NP_058152.1	sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1, sacCer_protein_NP_058140.1, sacCer_protein_NP_058160.1
OG0000000	sacCer_protein	n6	1.0	Terminal	sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1, sacCer_protein_NP_058140.1	sacCer_protein_NP_058160.1
OG0000000	sacCer_protein	n7	1.0	Terminal	sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3, sacCer_protein_NP_620387.1	sacCer_protein_NP_058140.1
OG0000000	sacCer_protein	n8	1.0	Terminal	sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1, sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3	sacCer_protein_NP_620387.1
OG0000000	sacCer_protein	n9	1.0	Terminal	sacCer_protein_NP_011087.3, sacCer_protein_NP_012086.1	sacCer_protein_NP_009567.1, sacCer_protein_NP_058165.3
