Orthogroup	BG2_protein	sacCer_protein
OG0000006	QNG12741.1, QNG15599.1	NP_010052.1, NP_014190.1
OG0000006	QNG12893.1	NP_012500.3
OG0000006	QNG13867.1	NP_013076.1, NP_009396.2
OG0000006	QNG13844.1	NP_011029.3, NP_009478.1
OG0000008	QNG12177.1	NP_011960.2
OG0000008	QNG12179.1	NP_011964.1
OG0000008	QNG12198.1, QNG12178.1	NP_010632.1, NP_011962.1
OG0000011	QNG16285.1	NP_009624.4
OG0000011	QNG15643.1, QNG12349.1	NP_010796.1, NP_009905.3
OG0000011	QNG14508.1	NP_009625.1
OG0000015	QNG16316.1	NP_010203.1
OG0000015	QNG13829.1, QNG17053.1	NP_011601.3, NP_013235.1, NP_013145.1
OG0000016	QNG15303.1	NP_014333.1, NP_012143.2
OG0000016	QNG16474.1	NP_012968.4
OG0000016	QNG14072.1	NP_012419.1
OG0000017	QNG15054.1	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1
OG0000018	QNG16542.1, QNG15861.1, QNG16033.1, QNG16058.1	NP_015154.1, NP_012049.1
OG0000021	QNG12521.1	NP_013275.1
OG0000021	QNG12792.1	NP_010217.1
OG0000021	QNG14288.1	NP_014389.3
OG0000022	QNG12529.1, QNG14616.1, QNG14994.1	NP_010981.3, NP_010982.1, NP_010976.1
OG0000023	QNG15385.1	NP_013719.1
OG0000023	QNG13141.1	NP_014632.1
OG0000023	QNG15386.1	NP_013721.1
OG0000024	QNG15568.1, QNG13744.1	NP_013446.1, NP_011546.3
OG0000024	QNG17312.1	NP_014036.1
OG0000025	QNG13910.1	NP_013473.1
OG0000025	QNG16084.1, QNG16013.1	NP_010884.1, NP_012579.1
OG0000027	QNG14100.1	NP_011713.1
OG0000027	QNG12479.1, QNG12480.1	NP_012549.3
OG0000028	QNG13208.1	NP_013029.3, NP_011828.1
OG0000028	QNG12656.1	NP_013052.1, NP_013030.1
OG0000029	QNG14571.1, QNG12687.1	NP_009564.1
OG0000029	QNG16999.1	NP_014367.1
OG0000030	QNG17000.1, QNG14570.1, QNG12688.1	NP_014368.1, NP_009563.1
OG0000031	QNG13714.1, QNG17313.1	NP_014038.1
OG0000031	QNG13745.1	NP_013447.1
OG0000032	QNG16519.1	NP_015321.1
OG0000032	QNG13774.1, QNG13828.1	NP_011600.3
OG0000033	QNG12157.1, QNG14608.1	NP_015518.1, NP_013048.1, NP_013047.1
OG0000034	QNG12407.1	NP_013591.1
OG0000034	QNG16835.1	NP_015023.1, NP_014006.1
OG0000035	QNG13430.1	NP_010694.1
OG0000035	QNG16780.1	NP_014973.1, NP_014796.3
OG0000036	QNG14086.1	NP_015121.1
OG0000036	QNG17073.1	NP_012371.2, NP_012755.1
OG0000037	QNG14893.1	NP_012483.3
OG0000037	QNG14105.1	NP_012542.1, NP_011708.3
OG0000038	QNG14561.1, QNG14560.1	NP_010927.1, NP_014653.1, NP_014652.1
OG0000039	QNG17076.1, QNG14678.1, QNG14679.1	NP_012757.1
OG0000040	QNG14937.1, QNG14750.1	NP_014032.1, NP_014555.1, NP_009703.3
OG0000041	QNG15709.1	NP_012257.1, NP_013974.1
OG0000041	QNG14838.1	NP_014962.3
OG0000042	QNG15031.1	NP_014873.3
OG0000042	QNG15038.1	NP_015186.1, NP_014872.1
OG0000043	QNG15810.1, QNG15505.1	NP_013565.3, NP_010026.1, NP_014265.3
OG0000044	QNG15720.1, QNG15719.1, QNG15718.1	NP_012794.1
OG0000045	QNG16695.1	NP_013173.1
OG0000045	QNG15942.1	NP_116611.1, NP_013290.1
OG0000046	QNG16154.1	NP_010294.1
OG0000046	QNG17028.1	NP_014468.3, NP_015267.1
OG0000047	QNG16335.1, QNG17219.1	NP_014442.1, NP_010013.2, NP_013211.1
OG0000048	QNG16678.1	NP_015277.1
OG0000048	QNG16390.1	NP_012842.1, NP_011717.4
OG0000051	QNG12176.1	NP_011959.1
OG0000051	QNG12193.1	NP_010628.3
OG0000052	QNG15999.1	NP_010640.1
OG0000052	QNG12207.1	NP_011974.1
OG0000053	QNG12221.1	NP_009707.3
OG0000053	QNG15996.1	NP_014763.1
OG0000054	QNG14647.1, QNG12296.1	NP_009486.3, NP_011024.1
OG0000055	QNG14472.1, QNG12310.1	NP_011261.1, NP_116711.3
OG0000056	QNG12315.1	NP_009868.3, NP_009866.1, NP_010020.1
OG0000057	QNG12350.1	NP_013278.1
OG0000057	QNG15240.1	NP_010793.2
OG0000058	QNG12352.1	NP_013281.1
OG0000058	QNG15238.1	NP_010790.3
OG0000059	QNG12388.1	NP_010407.1
OG0000059	QNG17203.1	NP_013197.1
OG0000060	QNG14615.1	NP_009347.1
OG0000060	QNG12424.1	NP_013254.1
OG0000061	QNG12430.1	NP_013461.1
OG0000061	QNG15583.1	NP_011570.1
OG0000062	QNG15648.1	NP_013880.1
OG0000062	QNG12454.1	NP_013357.1
OG0000063	QNG12487.1, QNG13833.1	NP_011606.3, NP_015436.1
OG0000064	QNG12497.1	NP_009580.1
OG0000064	QNG16151.1	NP_009593.1
OG0000065	QNG12531.1	NP_010822.1, NP_015043.1, NP_014055.1, NP_015036.3
OG0000066	QNG13648.1	NP_010499.1
OG0000066	QNG12561.1	NP_013329.1
OG0000067	QNG12585.1	NP_009804.1
OG0000067	QNG14826.1	NP_014948.1
OG0000068	QNG13854.1	NP_011039.1
OG0000068	QNG12593.1	NP_009468.1
OG0000069	QNG12643.1	NP_014913.3
OG0000069	QNG13581.1	NP_013770.1
OG0000070	QNG12665.1	NP_014446.3
OG0000070	QNG13057.1	NP_010018.1
OG0000071	QNG12696.1, QNG17164.1	NP_009555.1, NP_010284.1
OG0000072	QNG15886.1, QNG12699.1	NP_010511.3, NP_009552.1
OG0000073	QNG16367.1	NP_012405.2
OG0000073	QNG12719.1	NP_012643.3
OG0000074	QNG12726.1	NP_009421.3
OG0000074	QNG15466.1	NP_010265.1
OG0000075	QNG12730.1	NP_014582.1
OG0000075	QNG15463.1	NP_010262.1
OG0000076	QNG13531.1	NP_013517.1
OG0000076	QNG12776.1	NP_012734.1
OG0000077	QNG12811.1, QNG15731.1	NP_015405.1, NP_009676.1
OG0000078	QNG12839.1	NP_011318.2
OG0000078	QNG15481.1	NP_011058.3
OG0000079	QNG12907.1	NP_013120.1
OG0000079	QNG13002.1	NP_013089.1
OG0000080	QNG14195.1	NP_010586.3
OG0000080	QNG12934.1	NP_011898.1
OG0000081	QNG12943.1, QNG17271.1	NP_011910.1, NP_011909.1
OG0000082	QNG15327.1	NP_012832.1
OG0000082	QNG12951.1	NP_013796.1
OG0000083	QNG12976.1, QNG14867.1	NP_015464.1, NP_011636.3
OG0000084	QNG13032.1	NP_011466.1
OG0000084	QNG13181.1	NP_011678.3
OG0000085	QNG13036.1	NP_013407.1
OG0000085	QNG13417.1	NP_012335.1
OG0000086	QNG13047.1	NP_015019.1
OG0000086	QNG15005.1	NP_010996.2
OG0000087	QNG16869.1	NP_014100.2
OG0000087	QNG13131.1	NP_014526.1
OG0000088	QNG13183.1	NP_013086.1
OG0000088	QNG16336.1	NP_010419.3
OG0000089	QNG13237.1, QNG16783.1	NP_009634.2, NP_010340.1
OG0000090	QNG13253.1, QNG14075.1	NP_014332.1, NP_011368.3
OG0000091	QNG13292.1, QNG14530.1	NP_015103.1, NP_011376.3
OG0000092	QNG14527.1	NP_013902.1
OG0000092	QNG13295.1	NP_015100.2
OG0000093	QNG13305.1	NP_012765.3
OG0000093	QNG14888.1	NP_011913.1
OG0000094	QNG15412.1	NP_012719.2
OG0000094	QNG13340.1	NP_012600.1
OG0000095	QNG13973.1	NP_009373.1
OG0000095	QNG13348.1	NP_014971.1
OG0000096	QNG13352.1	NP_014966.1
OG0000096	QNG15250.1	NP_009379.2
OG0000097	QNG14409.1	NP_009385.2
OG0000097	QNG13357.1	NP_014597.1
OG0000098	QNG14411.1	NP_009387.1
OG0000098	QNG13360.1	NP_014599.1
OG0000099	QNG16764.1	NP_010613.1
OG0000099	QNG13455.1	NP_011948.1
OG0000100	QNG13460.1	NP_014000.1
OG0000100	QNG15159.1	NP_013598.1
OG0000101	QNG15161.1	NP_014467.3
OG0000101	QNG13462.1	NP_014002.1
OG0000102	QNG13466.1	NP_015149.1
OG0000102	QNG15781.1	NP_014899.1
OG0000103	QNG15850.1	NP_116670.1
OG0000103	QNG13513.1	NP_013359.1
OG0000104	QNG14844.1, QNG13520.1	NP_011659.3, NP_015485.1
OG0000105	QNG16396.1, QNG13580.1	NP_012851.1, NP_013769.1
OG0000106	QNG13609.1, QNG15687.1	NP_011453.1, NP_009777.1
OG0000107	QNG13654.1	NP_011754.3
OG0000107	QNG16036.1	NP_012028.1
OG0000108	QNG13657.1	NP_011757.3
OG0000108	QNG16039.1	NP_012031.1
OG0000109	QNG13666.1, QNG16054.1	NP_011770.3, NP_012044.1
OG0000110	QNG13716.1, QNG17311.1	NP_011795.1, NP_014035.1
OG0000111	QNG15637.1	NP_014724.1
OG0000111	QNG13803.1	NP_013015.1
OG0000112	QNG14425.1	NP_012115.1
OG0000112	QNG13811.1	NP_013022.1
OG0000113	QNG13842.1	NP_012943.1
OG0000113	QNG16843.1	NP_012453.1
OG0000114	QNG13987.1, QNG13902.1	NP_014751.1, NP_014295.1
OG0000115	QNG13966.1	NP_012003.1
OG0000115	QNG15125.1	NP_014245.1
OG0000116	QNG13978.1	NP_014304.1
OG0000116	QNG16456.1	NP_014735.1
OG0000117	QNG15663.1, QNG14009.1	NP_013684.1, NP_010741.1
OG0000118	QNG14048.1	NP_010378.1
OG0000118	QNG16638.1	NP_011093.3
OG0000120	QNG14076.1	NP_012140.1
OG0000120	QNG16917.1	NP_014933.3
OG0000121	QNG15968.1, QNG14108.1	NP_013403.1, NP_014833.3
OG0000122	QNG14212.1	NP_012595.1
OG0000122	QNG14541.1	NP_012721.1
OG0000123	QNG14542.1	NP_012723.3
