identity,coverage,qlength,slength,alength,bitscore,E-value,norm_bitscore,qcov,scov,query_y,subject_y
33.846,89.0,66.0,98.0,65.0,37.0,1.53e-05,0.5606060606060606,0.9848484848484849,0.6632653061224489,XP_446280.1,NP_001018029.1
65.181,98.0,360.0,360.0,359.0,466.0,3.3800000000000003e-166,1.2944444444444445,0.9972222222222222,0.9972222222222222,XP_444982.1,NP_001018030.1
40.0,94.0,113.0,121.0,110.0,66.2,6.57e-16,0.5858407079646017,0.9734513274336283,0.9090909090909091,XP_444986.1,NP_001018031.2
65.278,99.0,73.0,72.0,72.0,108.0,9.459999999999999e-34,1.4794520547945205,0.9863013698630136,1.0,XP_002999552.1,NP_001027534.1
37.931,43.0,67.0,70.0,29.0,26.9,0.075,0.4014925373134328,0.43283582089552236,0.4142857142857143,XP_449581.1,NP_001032571.3
50.0,26.0,78.0,112.0,20.0,25.0,0.98,0.32051282051282054,0.2564102564102564,0.17857142857142858,XP_446410.1,NP_001032572.1
51.22,62.0,66.0,74.0,41.0,50.4,5.39e-11,0.7636363636363637,0.6212121212121212,0.5540540540540541,XP_002999516.1,NP_001032575.1
41.176,41.0,162.0,90.0,68.0,43.9,3.35e-07,0.27098765432098765,0.41975308641975306,0.7555555555555555,XP_445606.1,NP_001035220.1
65.278,100.0,72.0,71.0,72.0,100.0,1.35e-30,1.3888888888888888,1.0,1.0,XP_002999566.1,NP_001091638.1
68.889,58.0,154.0,91.0,90.0,125.0,3.75e-39,0.8116883116883117,0.5844155844155844,0.989010989010989,XP_002999533.1,NP_001106172.4
87.059,100.0,85.0,85.0,85.0,154.0,1.25e-51,1.811764705882353,1.0,1.0,XP_002999560.1,NP_001106949.1
30.38,96.0,78.0,80.0,79.0,34.7,0.000174,0.4448717948717949,1.0,0.9875,XP_002999525.1,NP_001381966.1
91.199,100.0,534.0,534.0,534.0,974.0,0.0,1.8239700374531835,1.0,1.0,NP_818778.1,NP_009305.1
89.583,100.0,48.0,48.0,48.0,72.4,3.26e-20,1.5083333333333335,1.0,1.0,NP_818782.1,NP_009312.1
73.152,99.0,259.0,260.0,257.0,380.0,1.8e-135,1.4671814671814671,0.9922779922779923,0.9884615384615385,NP_818783.1,NP_009313.1
87.532,100.0,385.0,385.0,385.0,656.0,0.0,1.7038961038961038,1.0,1.0,NP_818777.1,NP_009315.1
84.211,100.0,76.0,76.0,76.0,104.0,3.32e-32,1.368421052631579,1.0,1.0,NP_818784.1,NP_009319.1
61.326,45.0,398.0,339.0,181.0,126.0,1.04e-33,0.3165829145728643,0.4547738693467337,0.5339233038348082,NP_818776.1,NP_009320.1
91.981,84.0,251.0,227.0,212.0,408.0,4.8e-147,1.6254980079681276,0.8446215139442231,0.933920704845815,NP_818785.1,NP_009326.1
83.271,100.0,269.0,269.0,269.0,452.0,9.270000000000001e-164,1.6802973977695168,1.0,1.0,NP_818786.1,NP_009328.1
82.675,99.0,457.0,460.0,456.0,794.0,0.0,1.737417943107221,0.9978118161925602,0.991304347826087,XP_445421.1,NP_009339.1
60.313,100.0,382.0,383.0,383.0,485.0,4.44e-173,1.2696335078534031,1.0,1.0,XP_445422.1,NP_009341.2
52.85,89.0,212.0,189.0,193.0,171.0,8.079999999999999e-55,0.8066037735849056,0.910377358490566,1.0,XP_445423.1,NP_009342.2
