"","gene","baseMean","log2FC","stderror","padj","standard_cg","database_cg","systematic_sc","standard_sc","database_sc"
"1","CAGL0A00341g",269.112198921792,1.26120992781934,0.316601823900885,0.00035398516116419,"","CAL0126869","YGL010W","MPO1","S000002978"
"2","CAGL0A00429g",4111.79678651023,1.95880650805297,0.315710417151662,7.74052048221453e-09,"ERG4","CAL0126621","YGL012W","ERG4","S000002980"
"3","CAGL0A00451g",5965.39308531247,1.49368073894766,0.165636337420869,1.18566463170175e-17,"PDR1","CAL0126583","YGL013C","PDR1","S000002981"
"4","CAGL0A01089g",13696.7847416658,4.47723467781282,0.210367722555544,8.18573128035195e-97,"","CAL0126673","YPL272C","PBI1","S000006193"
"5","CAGL0A01826g",565.356722545206,2.66569141039346,0.764635975911945,0.00208007034967608,"HXT5","CAL0126791","YDR345C","HXT3","S000002753"
"6","CAGL0A02145g",210.163474578575,1.51719243462136,0.308934096619551,7.08564340988351e-06,"","CAL0126901","YHR016C","YSC84","S000001058"
"7","CAGL0A03905g",855.447273492433,2.26785182397371,0.271918218061591,2.92343062035034e-15,"HMX1","CAL0126925","YLR205C","HMX1","S000004195"
"8","CAGL0A04477g",2410.4341806872,1.21188783680175,0.153899025035499,1.03114886301028e-13,"","CAL0126763","YBL067C","UBP13","S000000163"
"9","CAGL0B00946g",18145.2997603536,1.44107002715248,0.166235227865369,2.14210517498212e-16,"","CAL0127160","YCL028W","RNQ1","S000000533"
"10","CAGL0B01012g",256.526457353357,1.28633965787352,0.36142558079173,0.00162855826068786,"","CAL0127012","YCL025C","AGP1","S000000530"
"11","CAGL0B01078g",407.759446508762,1.82033576577912,0.23938185933149,7.83481027599389e-13,"","CAL0127818","YLR177W","YLR177W","S000004167"
"12","CAGL0B01727g",236.808886667719,1.21334657668304,0.265603792016818,3.34955939180335e-05,"","CAL0127060","YDR109C","YDR109C","S000002516"
"13","CAGL0B01925g",2031.1698009506,1.02915375994586,0.179076631471496,1.03822672264125e-07,"","CAL0127716","YDR122W","KIN1","S000002529"
"14","CAGL0B02211g",1501.76967502501,1.28937518630939,0.197262452005215,9.95529972144034e-10,"CCH1","CAL0127760","YGR217W","CCH1","S000003449"
"15","CAGL0B02739g",1384.64170583225,1.42625187315694,0.199734354194169,2.0116568666036e-11,"STE11","CAL0127090","YLR362W","STE11","S000004354"
"16","CAGL0B02755g",6778.49098873008,2.36458375460983,0.148543787933646,3.93873133854672e-54,"","CAL0127150","YLR361C-A","YLR361C-A","S000028845"
"17","CAGL0B02772g",1030.20503200049,1.04581016140189,0.20507418085538,2.8771851804157e-06,"VPS38","CAL0127676","YLR360W","VPS38","S000004352"
"18","CAGL0B03465g",298.281802846598,1.56326371853474,0.344316198777376,3.76128782570678e-05,"","CAL0127080","YLR251W","SYM1","S000004241"
"19","CAGL0B03619g",14997.9659093979,1.86525137353562,0.261135482477991,1.99128116348192e-11,"","CAL0127730","YEL060C","PRB1","S000000786"
"20","CAGL0B03663g",5102.43314469307,2.28923927959864,0.297154307752762,3.73335145638452e-13,"","CAL0127902","YCR005C","CIT2","S000000598"
"21","CAGL0B03839g",432.652831026158,1.28585128683104,0.280014792032569,3.00937989579225e-05,"MET3","CAL0127678","YJR010W","MET3","S000003771"
"22","CAGL0C00319g",9571.2218987023,1.78268687609688,0.154302714083416,1.18708011275919e-28,"","CAL0127452","YJL172W","CPS1","S000003708"
"23","CAGL0C01375g",8088.35439275263,1.93859279050786,0.187805847327231,6.21351453870824e-23,"","CAL0127424","YIL108W","YIL108W","S000001370"
"24","CAGL0C01771g",728.56336062652,1.16294149736634,0.371647757722075,0.00618911489704273,"","CAL0127386","YBR241C","VVS1","S000000445"
"25","CAGL0C02233g",5018.47802853642,1.47139906284694,0.260341307195964,1.74297669996813e-07,"","CAL0127568","YER042W","MXR1","S000000844"
"26","CAGL0C02321g",660.554207031051,1.94517899599807,0.346734588617469,2.17356560793522e-07,"PHM8","CAL0127450","YER037W","PHM8","S000000839"
"27","CAGL0C03113g",6093.25247434005,1.13408313964264,0.206367405864765,3.96512435606962e-07,"","CAL0127272","YLR270W","DCS1","S000004260"
"28","CAGL0C03245g",2688.82329303059,1.19185789073785,0.218624688282622,5.00741372312956e-07,"","CAL0127398","YLL042C","ATG10","S000003965"
"29","CAGL0C03509g",1680.4522778014,1.47053141402835,0.198142375606119,2.82589522582113e-12,"","CAL0127406","YNR047W","FPK1","S000005330"
"30","CAGL0C03872g",1261.86756334425,1.26278993233249,0.2926359990164,9.59329093336966e-05,"TIR3","CAL0127436","YIL011W","TIR3","S000001273"
"31","CAGL0C04191g",2247.57819058774,1.20701940539935,0.214619961797482,2.01321106295088e-07,"","CAL0127322","YBR006W","UGA2","S000000210"
"32","CAGL0C04323g",555.860659726859,1.42961410869251,0.26333983716722,5.6246120062457e-07,"NTH2","CAL0127228","YBR001C","NTH2","S000000205"
