Orthogroup	sacCer_protein	CBS138_protein
OG0000006	NP_010052.1, NP_014190.1	XP_448432.1, XP_445408.1
OG0000006	NP_012500.3	XP_445544.1
OG0000006	NP_013076.1, NP_009396.2	XP_446529.1
OG0000006	NP_011029.3, NP_009478.1	XP_446506.1
OG0000011	NP_009624.4	XP_449106.1
OG0000011	NP_010796.1, NP_009905.3	XP_448476.1, XP_445015.1
OG0000011	NP_009625.1	XP_447164.1
OG0000015	NP_010203.1	XP_449074.1
OG0000015	NP_011601.3, NP_013235.1, NP_013145.1	XP_446491.1, XP_449691.1
OG0000016	NP_014333.1, NP_012143.2	XP_448141.1
OG0000016	NP_012968.4	XP_448915.1
OG0000016	NP_012419.1	XP_446739.1
OG0000017	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1	XP_447893.1
OG0000018	NP_015154.1, NP_012049.1	XP_449187.1, XP_448689.1, XP_447339.1, XP_447364.1
OG0000021	NP_013275.1	XP_445184.1
OG0000021	NP_010217.1	XP_445447.1
OG0000021	NP_014389.3	XP_446953.1
OG0000022	NP_010981.3, NP_010982.1, NP_010976.1	XP_445191.1, XP_448803.1, XP_447832.1
OG0000023	NP_013719.1	XP_448224.1
OG0000023	NP_014632.1	XP_445790.1
OG0000023	NP_013721.1	XP_448225.1
OG0000024	NP_013446.1, NP_011546.3	XP_448401.1, XP_446406.1
OG0000024	NP_014036.1	XP_449945.1
OG0000025	NP_013473.1	XP_446574.1
OG0000025	NP_010884.1, NP_012579.1	XP_447392.1, XP_447319.1
OG0000027	NP_011713.1	XP_446765.1
OG0000027	NP_012549.3	XP_445142.1, XP_445143.1
OG0000028	NP_013029.3, NP_011828.1	XP_445860.1
OG0000028	NP_013052.1, NP_013030.1	XP_445319.1
OG0000029	NP_014367.1	XP_445354.1, XP_449637.1, XP_447226.1
OG0000030	NP_014368.1, NP_009563.1	XP_445355.1, XP_447225.1, XP_449638.1
OG0000031	NP_014038.1	XP_446377.1, XP_449946.1
OG0000031	NP_013447.1	XP_446407.1
OG0000032	NP_015321.1	XP_449164.1
OG0000032	NP_011600.3	XP_446436.1, XP_446490.1
OG0000033	NP_015518.1, NP_013048.1, NP_013047.1	XP_444824.1, XP_445420.1
OG0000034	NP_013591.1	XP_445072.1
OG0000034	NP_015023.1, NP_014006.1	XP_449477.1
OG0000035	NP_010694.1	XP_446088.1
OG0000035	NP_014973.1, NP_014796.3	XP_449421.1
OG0000036	NP_015121.1	XP_446753.1
OG0000036	NP_012371.2, NP_012755.1	XP_449711.1
OG0000037	NP_012483.3	XP_447731.1
OG0000037	NP_012542.1, NP_011708.3	XP_446770.1
OG0000038	NP_010927.1, NP_014653.1, NP_014652.1	XP_447215.1, XP_447216.1
OG0000039	NP_012757.1	XP_449714.1, XP_447519.1, XP_447520.1
OG0000040	NP_014032.1, NP_014555.1, NP_009703.3	XP_447774.1, XP_447590.1
OG0000041	NP_012257.1, NP_013974.1	XP_448539.1
OG0000041	NP_014962.3	XP_447677.1
OG0000042	NP_014873.3	XP_447870.1
OG0000042	NP_015186.1, NP_014872.1	XP_447877.1
OG0000043	NP_013565.3, NP_010026.1, NP_014265.3	XP_448640.1, XP_448339.1
OG0000044	NP_012794.1	XP_448550.1, XP_448549.1, XP_448548.1
OG0000045	NP_013173.1	XP_449340.1
OG0000045	NP_116611.1, NP_013290.1	XP_448771.1
OG0000046	NP_010294.1	XP_447461.1
OG0000046	NP_014468.3, NP_015267.1	XP_449665.1
OG0000047	NP_014442.1, NP_010013.2, NP_013211.1	XP_449054.1, XP_449851.1
OG0000048	NP_015277.1	XP_449323.1
OG0000048	NP_012842.1, NP_011717.4	XP_448998.1
OG0000049	NP_009315.1, NP_009327.1, NP_009324.1, NP_009316.1, NP_009317.1, NP_009318.1	NP_818777.1
OG0000051	NP_011959.1	XP_444842.1
OG0000051	NP_010628.3	XP_444859.1
OG0000052	NP_010640.1	XP_447305.1
OG0000052	NP_011974.1	XP_444874.1
OG0000053	NP_009707.3	XP_444888.1
OG0000053	NP_014763.1	XP_447302.1
