Orthogroup	Species	sacCer_protein	Orthologs
OG0000006	BG2_protein	NP_010052.1, NP_014190.1	QNG12741.1, QNG15599.1
OG0000006	CBS138_protein	NP_010052.1, NP_014190.1	XP_448432.1, XP_445408.1
OG0000006	CBS138_protein	NP_012500.3	XP_445544.1
OG0000006	BG2_protein	NP_012500.3	QNG12893.1
OG0000006	CBS138_protein	NP_013076.1, NP_009396.2	XP_446529.1
OG0000006	BG2_protein	NP_013076.1, NP_009396.2	QNG13867.1
OG0000006	CBS138_protein	NP_011029.3, NP_009478.1	XP_446506.1
OG0000006	BG2_protein	NP_011029.3, NP_009478.1	QNG13844.1
OG0000008	BG2_protein	NP_011960.2	QNG12177.1
OG0000008	BG2_protein	NP_011964.1	QNG12179.1
OG0000008	BG2_protein	NP_010632.1, NP_011962.1	QNG12198.1, QNG12178.1
OG0000011	CBS138_protein	NP_009624.4	XP_449106.1
OG0000011	BG2_protein	NP_009624.4	QNG16285.1
OG0000011	CBS138_protein	NP_010796.1, NP_009905.3	XP_448476.1, XP_445015.1
OG0000011	BG2_protein	NP_010796.1, NP_009905.3	QNG15643.1, QNG12349.1
OG0000011	BG2_protein	NP_009625.1	QNG14508.1
OG0000011	CBS138_protein	NP_009625.1	XP_447164.1
OG0000015	BG2_protein	NP_010203.1	QNG16316.1
OG0000015	CBS138_protein	NP_010203.1	XP_449074.1
OG0000015	CBS138_protein	NP_011601.3, NP_013235.1, NP_013145.1	XP_446491.1, XP_449691.1
OG0000015	BG2_protein	NP_011601.3, NP_013235.1, NP_013145.1	QNG13829.1, QNG17053.1
OG0000016	BG2_protein	NP_014333.1, NP_012143.2	QNG15303.1
OG0000016	CBS138_protein	NP_014333.1, NP_012143.2	XP_448141.1
OG0000016	CBS138_protein	NP_012968.4	XP_448915.1
OG0000016	BG2_protein	NP_012968.4	QNG16474.1
OG0000016	CBS138_protein	NP_012419.1	XP_446739.1
OG0000016	BG2_protein	NP_012419.1	QNG14072.1
OG0000017	BG2_protein	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1	QNG15054.1
OG0000017	CBS138_protein	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1	XP_447893.1
OG0000018	CBS138_protein	NP_015154.1, NP_012049.1	XP_449187.1, XP_448689.1, XP_447339.1, XP_447364.1
OG0000018	BG2_protein	NP_015154.1, NP_012049.1	QNG16542.1, QNG15861.1, QNG16033.1, QNG16058.1
OG0000021	BG2_protein	NP_013275.1	QNG12521.1
OG0000021	CBS138_protein	NP_013275.1	XP_445184.1
OG0000021	CBS138_protein	NP_010217.1	XP_445447.1
OG0000021	BG2_protein	NP_010217.1	QNG12792.1
OG0000021	CBS138_protein	NP_014389.3	XP_446953.1
OG0000021	BG2_protein	NP_014389.3	QNG14288.1
OG0000022	CBS138_protein	NP_010981.3, NP_010982.1, NP_010976.1	XP_445191.1, XP_448803.1, XP_447832.1
OG0000022	BG2_protein	NP_010981.3, NP_010982.1, NP_010976.1	QNG12529.1, QNG14616.1, QNG14994.1
OG0000023	CBS138_protein	NP_013719.1	XP_448224.1
OG0000023	BG2_protein	NP_013719.1	QNG15385.1
OG0000023	BG2_protein	NP_014632.1	QNG13141.1
OG0000023	CBS138_protein	NP_014632.1	XP_445790.1
OG0000023	BG2_protein	NP_013721.1	QNG15386.1
OG0000023	CBS138_protein	NP_013721.1	XP_448225.1
OG0000024	BG2_protein	NP_013446.1, NP_011546.3	QNG15568.1, QNG13744.1
OG0000024	CBS138_protein	NP_013446.1, NP_011546.3	XP_448401.1, XP_446406.1
OG0000024	BG2_protein	NP_014036.1	QNG17312.1
OG0000024	CBS138_protein	NP_014036.1	XP_449945.1
OG0000025	BG2_protein	NP_013473.1	QNG13910.1
OG0000025	CBS138_protein	NP_013473.1	XP_446574.1
