# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "start_to_stop" "-g" "ID" "-a" "/Users/s1964600/Work/isoform_analysis_Dec2023/data/mock_annotations/BG2_GCA_014217725.1/mock_long_gene_400.gtf" "-o" "78_counts.txt" "78_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	78_aln.bam
GWK60_A00011	CP048230.1	2887	16984	-	14098	0
GWK60_A00033	CP048230.1	26033	28541	-	2509	29
GWK60_A00055	CP048230.1	32265	33504	-	1240	517
GWK60_A00077	CP048230.1	33715	36385	-	2671	1232
GWK60_A00099	CP048230.1	36888	39468	+	2581	4861
GWK60_A00121	CP048230.1	39869	42650	+	2782	330
GWK60_A00143	CP048230.1	42144	43215	-	1072	1390
GWK60_A00165	CP048230.1	43698	44898	+	1201	1796
GWK60_A00187	CP048230.1	44408	45404	-	997	951
GWK60_A00209	CP048230.1	45607	47536	+	1930	629
GWK60_A00231	CP048230.1	47685	48654	+	970	553
GWK60_A00253	CP048230.1	48224	50978	-	2755	2032
GWK60_A00275	CP048230.1	51406	55015	-	3610	282
GWK60_A00297	CP048230.1	56199	57363	+	1165	3717
GWK60_A00319	CP048230.1	56879	58673	-	1795	1324
GWK60_A00341	CP048230.1	62211	65934	+	3724	1226
GWK60_A00363	CP048230.1	65391	68151	-	2761	1118
GWK60_A00385	CP048230.1	69266	72374	-	3109	3252
GWK60_A00407	CP048230.1	73476	77244	+	3769	3225
GWK60_A00429	CP048230.1	76662	77871	-	1210	674
GWK60_A00451	CP048230.1	77956	79594	-	1639	181
GWK60_A00473	CP048230.1	79931	82271	+	2341	511
GWK60_A00495	CP048230.1	81526	83848	-	2323	662
GWK60_A00517	CP048230.1	84469	85522	+	1054	1018
GWK60_A00539	CP048230.1	85576	86359	+	784	20
GWK60_A00583	CP048230.1	87402	88626	+	1225	2
GWK60_A00605	CP048230.1	89315	92315	+	3001	140
GWK60_A00627	CP048230.1	94544	95234	+	691	0
GWK60_A00649	CP048230.1	95979	98028	+	2050	16
GWK60_A00671	CP048230.1	98790	102978	+	4189	1071
GWK60_A00693	CP048230.1	102237	106125	-	3889	1072
GWK60_A00715	CP048230.1	106542	108036	+	1495	1596
GWK60_A00737	CP048230.1	107362	108751	-	1390	325
GWK60_A00759	CP048230.1	109052	112007	+	2956	96
GWK60_A00781	CP048230.1	111305	113963	-	2659	1078
GWK60_A00803	CP048230.1	114196	118876	+	4681	593
GWK60_A00825	CP048230.1	118183	119263	-	1081	25
GWK60_A00847	CP048230.1	119483	121094	+	1612	528
GWK60_A00869	CP048230.1	121221	121857	-	637	42453
GWK60_A00891	CP048230.1	122845	123904	+	1060	1198
GWK60_A00913	CP048230.1	123980	125615	+	1636	359
GWK60_A00935	CP048230.1	125650	127501	-	1852	14804
GWK60_A00957	CP048230.1	128085	130410	+	2326	3349
GWK60_A00979	CP048230.1	129828	131835	-	2008	687
GWK60_A01001	CP048230.1	132712	133321	+	610	18684
