Orthogroup	sacCer_protein	BG2_protein
OG0000006	NP_010052.1, NP_014190.1	QNG12741.1, QNG15599.1
OG0000006	NP_012500.3	QNG12893.1
OG0000006	NP_013076.1, NP_009396.2	QNG13867.1
OG0000006	NP_011029.3, NP_009478.1	QNG13844.1
OG0000008	NP_011960.2	QNG12177.1
OG0000008	NP_011964.1	QNG12179.1
OG0000008	NP_010632.1, NP_011962.1	QNG12198.1, QNG12178.1
OG0000011	NP_009624.4	QNG16285.1
OG0000011	NP_010796.1, NP_009905.3	QNG15643.1, QNG12349.1
OG0000011	NP_009625.1	QNG14508.1
OG0000015	NP_010203.1	QNG16316.1
OG0000015	NP_011601.3, NP_013235.1, NP_013145.1	QNG13829.1, QNG17053.1
OG0000016	NP_014333.1, NP_012143.2	QNG15303.1
OG0000016	NP_012968.4	QNG16474.1
OG0000016	NP_012419.1	QNG14072.1
OG0000017	NP_010025.1, NP_014464.3, NP_010024.1, NP_012313.1, NP_012095.1, NP_010023.1, NP_009536.1, NP_014463.1	QNG15054.1
OG0000018	NP_015154.1, NP_012049.1	QNG16542.1, QNG15861.1, QNG16033.1, QNG16058.1
OG0000021	NP_013275.1	QNG12521.1
OG0000021	NP_010217.1	QNG12792.1
OG0000021	NP_014389.3	QNG14288.1
OG0000022	NP_010981.3, NP_010982.1, NP_010976.1	QNG12529.1, QNG14616.1, QNG14994.1
OG0000023	NP_013719.1	QNG15385.1
OG0000023	NP_014632.1	QNG13141.1
OG0000023	NP_013721.1	QNG15386.1
OG0000024	NP_013446.1, NP_011546.3	QNG15568.1, QNG13744.1
OG0000024	NP_014036.1	QNG17312.1
OG0000025	NP_013473.1	QNG13910.1
OG0000025	NP_010884.1, NP_012579.1	QNG16084.1, QNG16013.1
OG0000027	NP_011713.1	QNG14100.1
OG0000027	NP_012549.3	QNG12479.1, QNG12480.1
OG0000028	NP_013029.3, NP_011828.1	QNG13208.1
OG0000028	NP_013052.1, NP_013030.1	QNG12656.1
OG0000029	NP_009564.1	QNG14571.1, QNG12687.1
OG0000029	NP_014367.1	QNG16999.1
OG0000030	NP_014368.1, NP_009563.1	QNG17000.1, QNG14570.1, QNG12688.1
OG0000031	NP_014038.1	QNG13714.1, QNG17313.1
OG0000031	NP_013447.1	QNG13745.1
OG0000032	NP_015321.1	QNG16519.1
OG0000032	NP_011600.3	QNG13774.1, QNG13828.1
OG0000033	NP_015518.1, NP_013048.1, NP_013047.1	QNG12157.1, QNG14608.1
OG0000034	NP_013591.1	QNG12407.1
