gene_id_cbs138,gene_id_bg2
CAGL0A01193g,GWK60_A01089
CAGL0A01284g,GWK60_A01177
CAGL0A01366g,GWK60_A01221
CAGL0A03051g,GWK60_A02915
CAGL0B00220g,GWK60_B00055
CAGL0B01589g,GWK60_B01397
CAGL0B01875g,GWK60_B01705
CAGL0B02755g,GWK60_B02607
CAGL0B03855g,GWK60_B03685
CAGL0B03899g,GWK60_B03751
CAGL0C01325g,GWK60_C00891
CAGL0C01435g,GWK60_C01023
CAGL0C01919g,GWK60_C01507
CAGL0C02623g,GWK60_C02233
CAGL0C04933g,GWK60_C04433
CAGL0C05461g,GWK60_C04961
CAGL0D01265g,GWK60_D01375
CAGL0D02018g,GWK60_D02145
CAGL0D02150g,GWK60_D02299
CAGL0D04394g,GWK60_D04565
CAGL0D04834g,GWK60_D05005
CAGL0D05318g,GWK60_D05511
CAGL0D06154g,GWK60_D06325
CAGL0E01567g,GWK60_E01331
CAGL0E02315g,GWK60_E02101
CAGL0E04548g,GWK60_E04235
CAGL0F02513g,GWK60_F02233
CAGL0F03261g,GWK60_F02981
CAGL0F05329g,GWK60_F04917
CAGL0F06693g,GWK60_F06259
CAGL0G02535g,GWK60_G02387
CAGL0G05329g,GWK60_G05115
CAGL0G07529g,GWK60_G07227
CAGL0G07881g,GWK60_G07601
CAGL0H01144g,GWK60_H00935
CAGL0H02491g,GWK60_H02277
CAGL0H04691g,GWK60_H04587
CAGL0H06732g,GWK60_H06677
CAGL0H07023g,GWK60_H06985
CAGL0H08541g,GWK60_H08503
CAGL0H10202g,GWK60_H10153
CAGL0I04125g,GWK60_L03839
CAGL0I04328g,GWK60_L04059
CAGL0I05098g,GWK60_L04851
CAGL0I05934g,GWK60_I01375
CAGL0I06457g,GWK60_I01925
CAGL0I07969g,GWK60_I03465
CAGL0I10147g,GWK60_L17237
CAGL0J01699g,GWK60_J01551
CAGL0J01800g,GWK60_J01661
CAGL0J03245g,GWK60_J03047
CAGL0J06088g,GWK60_J05885
CAGL0J06374g,GWK60_J06193
CAGL0J07980g,GWK60_J07821
CAGL0J11891g,GWK60_J11693
CAGL0K03459g,GWK60_K03311
CAGL0K05813g,GWK60_K05665
CAGL0K06033g,GWK60_K05863
CAGL0K07111g,GWK60_K06963
CAGL0K07755g,GWK60_K07579
CAGL0K09823g,GWK60_K09603
CAGL0K10906g,GWK60_K10681
CAGL0L00157g,GWK60_F08745
CAGL0L00227g,GWK60_D00055
CAGL0L02799g,GWK60_L12441
CAGL0L04350g,GWK60_L10879
CAGL0L04832g,GWK60_L10373
CAGL0L05626g,GWK60_L09603
CAGL0L06374g,GWK60_L08855
CAGL0L08068g,GWK60_L07139
CAGL0L08110g,GWK60_L07073
CAGL0L10015g,GWK60_L14003
CAGL0L10092g,GWK60_L14091
CAGL0M00874g,GWK60_M00781
CAGL0M03305g,GWK60_M03179
CAGL0M05593g,GWK60_M05533
CAGL0M07001g,GWK60_M06963
CAGL0M08552g,GWK60_M08503
CAGL0M10235g,GWK60_M10197
CAGL0M10829g,GWK60_M10747
CAGL0M11000g,GWK60_M10879
CAGL0M11104g,GWK60_M10989
CAGL0M11236g,GWK60_M11143
CAGL0G07183g1,GWK60_A00605
CAGL0A00165g,GWK60_A00055
CAGL0A00187g,GWK60_A00077
CAGL0A00209g,GWK60_A00099
CAGL0A00231g,GWK60_A00121
CAGL0A00253g,GWK60_A00143
CAGL0A00275g,GWK60_A00165
CAGL0A00297g,GWK60_A00187
CAGL0A00319g,GWK60_A00209
CAGL0A00341g,GWK60_A00231
CAGL0A00363g,GWK60_A00253
CAGL0A00385g,GWK60_A00275
CAGL0A00407g,GWK60_A00297
CAGL0A00429g,GWK60_A00319
CAGL0A00451g,GWK60_A00341
CAGL0A00473g,GWK60_A00363
CAGL0A00495g,GWK60_A00385
CAGL0A00517g,GWK60_A00407
CAGL0A00539g,GWK60_A00429
CAGL0A00561g,GWK60_A00451
CAGL0A00583g,GWK60_A00473
